Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Other spirochaetal infections,95883001,158829010,[X]Other bacterial meningitis
Other spirochaetal infections,86735004,143838016,Other specified erythematous conditions
Other spirochaetal infections,86735004,143838016,Other exfoliative erythema
Other spirochaetal infections,86735004,143838016,[X]Erythema in other diseases classified elsewhere
Other spirochaetal infections,38663004,64337016,Other neurolysis of peripheral nerve
Other spirochaetal infections,23502006,481637018,Steere's disease
Other spirochaetal infections,47534009,79241018,Retinaculotomy of carpal tunnel
Other spirochaetal infections,69588003,1233178016,Erythema chronicum migrans
Other spirochaetal infections,86735004,143838016,Erythematous conditions
Other spirochaetal infections,715507005,3302869017,Infection of central nervous system caused by Borrelia burgdorferi
Other spirochaetal infections,69588003,115616014,Erythema chronica migrans
Other spirochaetal infections,718373005,3312536018,Cutaneous B-cell pseudolymphoma caused by Borrelia
Other spirochaetal infections,95883001,3028971018,"Meningitis, bacterial"
Other spirochaetal infections,69588003,3028124013,Erythema chronicum migrans skin condition
Other spirochaetal infections,41116009,68588014,Spirochetal infection
Other spirochaetal infections,41116009,68588014,Other spirochaetal infections
Other spirochaetal infections,41116009,68588014,[X]Other spirochaetal diseases
Other spirochaetal infections,41116009,68588014,Other specified spirochaetal infections
Other spirochaetal infections,41116009,68588014,[X]Other specified spirochaetal infections
Other spirochaetal infections,95883001,158829010,Bacterial meningitis
Other spirochaetal infections,41116009,492887012,Other spirochaetal diseases
Other spirochaetal infections,95883001,158829010,Other specified bacterial meningitis NOS
Other spirochaetal infections,95883001,1235949016,BM - Bacterial meningitis
Other spirochaetal infections,23502006,2923214018,Infection due to Borrelia burgdorferi sensu lato
Other spirochaetal infections,23502006,39462014,Lyme disease
Other spirochaetal infections,77863005,129217018,Lyme carditis
Other spirochaetal infections,33937009,485678014,Arthritis in Lyme disease
Other spirochaetal infections,69588003,2955528012,Erythema migrans
Other spirochaetal infections,718373005,3312055010,Borrelial lymphocytoma
Other spirochaetal infections,41116009,492887012,Other spirochaetal infection NOS
Other spirochaetal infections,41116009,492887012,Spirochaetal infection NOS
Other spirochaetal infections,95883001,158829010,Meningitis in other bacterial disease classified elsewhere
Other spirochaetal infections,95883001,158829010,Unspecified meningitis in bacterial disease EC
Other spirochaetal infections,95883001,158829010,Other specified bacterial meningitis
Other spirochaetal infections,715507005,3302870016,Lyme neuroborreliosis
Other spirochaetal infections,171849009,266151011,Transposition of ulnar nerve
Other spirochaetal infections,38663004,64337016,Neurolysis peripheral nerve transposition peripher nerve NEC
Other spirochaetal infections,41116009,492887012,"[X]Spirochaetal infection, unspecified"
Other spirochaetal infections,41116009,492887012,Other specified spirochaetal infection
Other spirochaetal infections,95883001,158829010,Bacterial meningitis NOS
Other spirochaetal infections,86735004,143838016,Erythematous conditions NOS
Other spirochaetal infections,86735004,143838016,[X]Other specified erythematous conditions
Other spirochaetal infections,23502006,481640018,Lyme borreliosis
Other spirochaetal infections,33937009,56659013,Lyme arthritis
Other spirochaetal infections,86735004,143838016,Other erythematous conditions NOS
Other spirochaetal infections,38663004,64337016,Neurolysis of other trapped periperal nerve
Other spirochaetal infections,41116009,68591014,Spirochetosis
