Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Psoriasis,905681000006108,905681000006112,[RFC] Psoriasis
Psoriasis,1583831000006102,1583831000006118,chronic large plaque psoriasis
Psoriasis,238600001,1876481000006119,flexural psoriasis
Psoriasis,9014002,15886015,Psoriasis and similar disorders
Psoriasis,33339001,55627011,Psoriatic arthropathy
Psoriasis,33339001,55628018,Psoriatic arthritis
Psoriasis,200956002,308727011,Psoriasis spondylitica
Psoriasis,239812005,359321011,Distal interphalangeal psoriatic arthropathy
Psoriasis,19514005,32869011,Arthritis mutilans
Psoriasis,33339001,55627011,Psoriatic arthropathy NOS
Psoriasis,9014002,15886015,Other psoriasis
Psoriasis,9014002,15886015,Psoriasis unspecified
Psoriasis,200962007,308733019,Psoriasis annularis
Psoriasis,200963002,308734013,Psoriasis circinata
Psoriasis,200964008,308735014,Psoriasis diffusa
Psoriasis,200965009,308736010,Psoriasis discoidea
Psoriasis,200966005,308739015,Psoriasis geographica
Psoriasis,37042000,61797015,Guttate psoriasis
Psoriasis,200967001,308740018,Psoriasis gyrata
Psoriasis,200968006,308741019,Psoriasis inveterata
Psoriasis,200969003,308742014,Psoriasis ostracea
Psoriasis,200970002,308744010,Psoriasis palmaris
Psoriasis,200971003,308745011,Psoriasis plantaris
Psoriasis,200972005,308746012,Psoriasis punctata
Psoriasis,200973000,308747015,Pustular psoriasis
Psoriasis,200974006,308749017,Psoriasis universalis
Psoriasis,200975007,308750017,Psoriasis vulgaris
Psoriasis,402307000,1781467015,Chronic large plaque psoriasis
Psoriasis,200977004,308752013,Erythrodermic psoriasis
Psoriasis,238600001,357612014,Flexural psoriasis
Psoriasis,9014002,15886015,Psoriasis NOS
Psoriasis,27520001,483572016,Palmoplantar pustular psoriasis
Psoriasis,399937000,1773474010,Other psoriasis and similar disorders
Psoriasis,238608008,357623013,Scalp psoriasis
Psoriasis,9014002,15886015,Psoriasis and similar disorders NOS
Psoriasis,9014002,15886015,[X]Other psoriasis
Psoriasis,239803008,359310019,Juvenile arthritis in psoriasis
Psoriasis,33339001,55626019,[X]Other psoriatic arthropathies
