Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Retinal detachments and breaks,78917001,503951016,Photocoagulation of retina for detachment
Retinal detachments and breaks,10006000,1221344016,Xenon photocoagulation of retina for detachment
Retinal detachments and breaks,85231002,1235016010,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,78917001,130949012,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,78917001,130949012,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,29555009,49448017,Retinal detachments and defects
Retinal detachments and breaks,95690009,158516016,Retinal tear
Retinal detachments and breaks,19620000,479741018,Retinal detachment with break
Retinal detachments and breaks,19620000,33037011,Unspecified retinal detachment with retinal defect
Retinal detachments and breaks,193319001,297723010,New partial retinal detachment with single defect
Retinal detachments and breaks,193320007,297724016,New partial retinal detachment with multiple defects
Retinal detachments and breaks,232004004,347636019,New partial retinal detachment with giant tear defect
Retinal detachments and breaks,193323009,297727011,Recent total retinal detachment
Retinal detachments and breaks,193324003,297728018,Recent subtotal retinal detachment
Retinal detachments and breaks,193325002,297729014,Old partial retinal detachment
Retinal detachments and breaks,193326001,297730016,Old total retinal detachment
Retinal detachments and breaks,193327005,297731017,Old subtotal retinal detachment
Retinal detachments and breaks,19620000,33037011,Retinal detachment with defect NOS
Retinal detachments and breaks,193338005,297742014,Retinal defects without detachment
Retinal detachments and breaks,51226000,85346010,Round hole of retina without detachment
Retinal detachments and breaks,193341001,297745011,Horseshoe retinal tear without detachment
Retinal detachments and breaks,193342008,297746012,Multiple retinal defects without detachment
Retinal detachments and breaks,40024006,66667015,Retinal break
Retinal detachments and breaks,193338005,297742014,Retinal defects without detachment NOS
Retinal detachments and breaks,42059000,70200018,Other forms of retinal detachment
Retinal detachments and breaks,34711008,1228202019,Traction retinal detachment
Retinal detachments and breaks,42059000,70200018,Other retinal detachments NOS
Retinal detachments and breaks,42059000,70200018,Retinal detachment
Retinal detachments and breaks,42059000,70200018,[X]Other retinal detachments
