Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Spinal degenerative disease ,65260001,890851000006116,Cervical spond.with myelopathy
Spinal degenerative disease ,202677007,890861000006119,Lumbosacral spond + myelopathy
Spinal degenerative disease ,207968008,318465011,"Open fracture lumbar vertebra, spondylolysis"
Spinal degenerative disease ,666611000000101,990511000006110,Spondyloses
Spinal degenerative disease ,666611000000101,1463151000000118,Osteoarthritis of spine NOS
Spinal degenerative disease ,666611000000101,1463161000000115,Spondylosis NOS
Spinal degenerative disease ,192907007,297150011,Myelopathy due to spondylosis
Spinal degenerative disease ,8847002,508047017,Arthritis of spine
Spinal degenerative disease ,8847002,508047017,Osteoarthritis of spine
Spinal degenerative disease ,65260001,108431018,Cervical spondylosis with myelopathy
Spinal degenerative disease ,202661006,311061016,Single-level cervical spondylosis with myelopathy
Spinal degenerative disease ,202662004,311062011,Two-level cervical spondylosis with myelopathy
Spinal degenerative disease ,202663009,311063018,Multiple-level cervical spondylosis with myelopathy
Spinal degenerative disease ,10948005,19006012,Thoracic spondylosis with myelopathy
Spinal degenerative disease ,202670009,311072014,Single-level thoracic spondylosis with myelopathy
Spinal degenerative disease ,202672001,311074010,Multiple-level thoracic spondylosis with myelopathy
Spinal degenerative disease ,48210000,80324016,Lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,202674000,311079017,Single-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,202675004,311080019,Two-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,202676003,311081015,Multiple-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,202677007,311082010,Lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,202678002,311083017,Single-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,202679005,311084011,Two-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,202680008,311085012,Multiple-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,202693003,311106014,Lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,202694009,311108010,Single-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,202695005,311109019,Two-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,202696006,311110012,Multiple-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,8847002,508047017,Osteoarthritis of spine NOS
Spinal degenerative disease ,8847002,15601012,Spondylosis NOS
Spinal degenerative disease ,8847002,508047017,Osteoarthritis spine
Spinal degenerative disease ,68859000,114373013,"Spondylosis without myelopathy, NOS"
