Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Systemic connective tissue disorders,414341000,2534171012,Giant cell arteritis
Systemic connective tissue disorders,400130008,1787109017,Cranial arteritis
Systemic connective tissue disorders,400130008,1779388019,Temporal arteritis
Systemic connective tissue disorders,400130008,1787110010,Horton's disease
Systemic connective tissue disorders,414341000,2534171012,Giant cell arteritis NOS
Systemic connective tissue disorders,239938009,359513016,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,414341000,2534171012,[X]Other giant cell arteritis
Systemic connective tissue disorders,65323003,108529013,Polymyalgia rheumatica
Systemic connective tissue disorders,65323003,108529013,Polymyalgia
Systemic connective tissue disorders,193178008,297542011,Polyneuropathy in disseminated lupus erythematosus
Systemic connective tissue disorders,193248005,297639014,Myopathy due to disseminated lupus erythematosus
Systemic connective tissue disorders,79291003,1234339017,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,196138005,301721015,Lung disease with systemic lupus erythematosus
Systemic connective tissue disorders,68815009,114310015,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,68815009,114310015,Lupus nephritis
Systemic connective tissue disorders,307755009,451122013,Renal tubulo-interstitial disorder in systemic lupus erythematosus
Systemic connective tissue disorders,200936003,308697013,Lupus erythematosus
Systemic connective tissue disorders,200937007,308700012,Lupus erythematosus chronicus
Systemic connective tissue disorders,200938002,308701011,Discoid lupus erythematosus
Systemic connective tissue disorders,200939005,308704015,Lupus erythematosus migrans
Systemic connective tissue disorders,200940007,308705019,Lupus erythematosus nodularis
Systemic connective tissue disorders,15084002,25612013,Lupus erythematosus profundus
Systemic connective tissue disorders,200941006,308706018,Lupus erythematosus tumidus
Systemic connective tissue disorders,200942004,308707010,Lupus erythematosus unguium mutilans
Systemic connective tissue disorders,239891002,359447015,Subacute cutaneous lupus erythematosus
Systemic connective tissue disorders,200936003,308697013,Lupus erythematosus NOS
Systemic connective tissue disorders,7119001,12747019,Cutaneous lupus erythematosus
Systemic connective tissue disorders,55464009,92208011,Systemic lupus erythematosus
Systemic connective tissue disorders,55464009,92209015,Disseminated lupus erythematosus
Systemic connective tissue disorders,54072008,496853017,Libman-Sacks disease
Systemic connective tissue disorders,201436003,309405011,Drug-induced systemic lupus erythematosus
Systemic connective tissue disorders,239887007,359443016,Systemic lupus erythematosus with organ/system involvement
Systemic connective tissue disorders,309762007,453243010,Systemic lupus erythematosus with pericarditis
Systemic connective tissue disorders,95644001,512234017,Cerebral lupus
Systemic connective tissue disorders,55464009,92208011,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,55464009,92208011,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,273862004,409529017,Systemic lupus activity measure
Systemic connective tissue disorders,273862004,409530010,SLAM - Systemic lupus activity measure
Systemic connective tissue disorders,273863009,409532019,Systemic lupus erythematosus disease activity index
Systemic connective tissue disorders,193252005,297644019,Myopathy due to scleroderma
Systemic connective tissue disorders,196133001,301716018,Lung disease with systemic sclerosis
Systemic connective tissue disorders,236503001,354513019,Acute scleroderma renal crisis
Systemic connective tissue disorders,236502006,354512012,Renal involvement in scleroderma
Systemic connective tissue disorders,89155008,147835019,Scleroderma
Systemic connective tissue disorders,298285004,1785104011,Acrosclerosis
Systemic connective tissue disorders,89155008,147833014,Systemic sclerosis
Systemic connective tissue disorders,444133002,2842339011,Progressive systemic sclerosis
Systemic connective tissue disorders,31848007,53211014,CREST syndrome
Systemic connective tissue disorders,201443009,309416016,Systemic sclerosis induced by drugs and chemicals
Systemic connective tissue disorders,89155008,147833014,[X]Other forms of systemic sclerosis
