Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Systemic connective tissue disorders,367542003,492714018,Pulmonary eosinophilia NOS
Systemic connective tissue disorders,155441006,242065019,Polyarteritis nodosa and allied conditions
Systemic connective tissue disorders,155441006,2579114016,PAN - Polyarteritis nodosa
Systemic connective tissue disorders,155441006,1784751012,Periarteritis nodosa
Systemic connective tissue disorders,367542003,1228709010,Andrews syndrome
Systemic connective tissue disorders,367542003,1228706015,PIE - Pulmonary infiltrates with eosinophilia
Systemic connective tissue disorders,367542003,1228707012,Pulmonary infiltrates with eosinophilia
Systemic connective tissue disorders,193179000,297543018,Polyneuropathy in polyarteritis nodosa
Systemic connective tissue disorders,193177003,297540015,Polyneuropathy in collagen vascular disease NOS
Systemic connective tissue disorders,367542003,1228705016,EP - Eosinophilic pneumonia
Systemic connective tissue disorders,367542003,1228708019,Eosinophilic pneumonia
Systemic connective tissue disorders,193177003,297541016,Neuropathy in vasculitis and connective tissue disease
Systemic connective tissue disorders,155441006,242065019,Polyarteritis nodosa
Systemic connective tissue disorders,193177003,297540015,Polyneuropathy in collagen vascular disease
Systemic connective tissue disorders,197607004,303849011,Nephrotic syndrome in polyarteritis nodosa
Systemic connective tissue disorders,367542003,2670764010,Pulmonary eosinophilia
Systemic connective tissue disorders,155441006,990621000006115,Polyarteritis nodosa NOS
Systemic connective tissue disorders,193177003,297540015,[X]Polyneuropathy/systemic connective tissue disorders CE
Systemic connective tissue disorders,155441006,242065019,Polyarteritis nodosa and allied conditions NOS
Systemic connective tissue disorders,155441006,242065019,[X]Other conditions related to polyarteritis nodosa
Systemic connective tissue disorders,367542003,492714018,Eosinophilic asthma
Systemic connective tissue disorders,193249002,297640011,Myopathy due to polyarteritis nodosa
Systemic connective tissue disorders,387718007,1481797017,Diagnostic endoscopic examination of ureter NOS
Systemic connective tissue disorders,387717002,1481796014,Ureteroscopy
Systemic connective tissue disorders,176182008,2160757017,Diagnost endos exam bladder biop lesion bladder rigid cysto
Systemic connective tissue disorders,425786007,2674345011,Diagnostic endoscop exam bladder biop lesion pros rigid cys
Systemic connective tissue disorders,176181001,272739015,Diagnostic endoscopic examination bladder using cystoscope
