Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Tuberculosis,4445009,1230097015,Tuberculosis of genitourinary system
Tuberculosis,39621005,66448010,Other gallbladder disorders
Tuberculosis,56717001,94320019,Tuberculosis of other organs
Tuberculosis,17653001,1494889019,Tuberculosis of bones and joints
Tuberculosis,189361002,290904010,Neop uncertain behaviour of digestive and respiratory system
Tuberculosis,47604008,79348014,Miliary tuberculosis
Tuberculosis,182159002,281631019,Disseminated tuberculosis
Tuberculosis,14188007,476139013,Tuberculosis of hip
Tuberculosis,74181004,123189010,Tuberculosis of other female genital organs
Tuberculosis,24235005,40681016,Tuberculous hydrothorax
Tuberculosis,186195008,286239011,"Tuberculosis of lung, confirmed histologically"
Tuberculosis,186225008,286270015,"Tuberculosis of intestines, peritoneum and mesenteric glands"
Tuberculosis,82796002,137345013,Tuberculosis - scrofuloderma
Tuberculosis,203263006,311912015,Tuberculosis of cervical spine
Tuberculosis,161414005,251538012,[V] Personal history of pulmonary tuberculosis
Tuberculosis,35984006,60049017,Tuberculosis of spine
Tuberculosis,15284007,195678010,Tuberculosis oesophagus
Tuberculosis,203278004,311927015,Tuberculosis of the bones of the shoulder region
Tuberculosis,154283005,239551014,Other respiratory tuberculosis
Tuberculosis,473151000,2956178010,History of tuberculosis drug therapy
Tuberculosis,186192006,286236016,Resp TB bacteriologically and histologically confirmed
Tuberculosis,10893003,18908019,Tuberculous adenitis
Tuberculosis,20372007,34267015,Tuberculosis of prostate
Tuberculosis,190710003,293128014,Tuberculous arthritis
Tuberculosis,44572005,1230111017,Peritonitis - tuberculous
Tuberculosis,84194006,139628019,Tuberculous oophoritis
Tuberculosis,186200004,286245015,"Tuberculous pleurisy, conf bacteriologically/histologically"
Tuberculosis,193787009,298355010,Keratitis due to tuberculosis
Tuberculosis,416903004,2549441013,Tuberculoma of spinal cord
Tuberculosis,49107007,81815010,Tuberculosis of eye
Tuberculosis,11999007,667971000000118,Latent tuberculosis
Tuberculosis,10706006,18595015,Tuberculosis of meninges and central nervous system
Tuberculosis,78436002,130160016,Tuberculosis of intrathoracic lymph nodes
Tuberculosis,80003002,132731014,Tuberculous pneumonia
Tuberculosis,85692003,142044014,Tuberculosis of tracheobronchial lymph nodes
Tuberculosis,78436002,130160016,TB intrathoracic lymph nodes confirm bact histologically
Tuberculosis,14527007,24683016,Tuberculous empyema
Tuberculosis,82495004,136831015,Tuberculosis of mediastinal lymph nodes
Tuberculosis,58437007,97107015,Tuberculous meningitis
Tuberculosis,2028007,4502016,Bazin's disease - erythema induratum - TB hypersensitivity
Tuberculosis,58764007,97655016,Tuberculous osteomylelytis
Tuberculosis,417484006,2548529013,Tuberculous abscess of spinal cord
Tuberculosis,88356006,146495016,Primary tuberculous complex
Tuberculosis,35984006,1228336010,Tuberculosis of vertebral column - Pott's
Tuberculosis,170525009,264413015,TB - tuberculosis notification
Tuberculosis,77038006,127902015,Tuberculosis of peripheral lymph nodes
Tuberculosis,154283005,239551014,Pulmonary tuberculosis
Tuberculosis,44572005,74349016,Tuberculous peritonitis
Tuberculosis,271423008,406201015,Tuberculosis of skin and subcutaneous tissue
Tuberculosis,203264000,311913013,Tuberculosis of thoracic spine
Tuberculosis,192745001,296922015,Tuberculous intracranial abscess
Tuberculosis,74610006,123913018,Tuberculosis with erythema nodosum hypersensitivity reaction
Tuberculosis,34320001,57296016,Tuberculous myelitis
Tuberculosis,35984006,1228335014,Tuberculosis of spine (Pott's)
Tuberculosis,203266003,311915018,Tuberculosis of sacrum/coccyx
Tuberculosis,74610006,123913018,Tuberculous erythema nodosum
Tuberculosis,416265003,2548770013,Tuberculoma of brain
Tuberculosis,80602006,1788181018,Nodular lung tuberculosis
Tuberculosis,17136009,1221477016,Tuberculosis of knee
Tuberculosis,74387008,123534017,Tuberculosis of hilar lymph nodes
Tuberculosis,203269005,311918016,Tuberculosis of the upper arm bone
Tuberculosis,186172004,286214019,Tuberculous pleurisy in primary progressive tuberculosis
Tuberculosis,186269001,286323019,Tuberculosis of ear
Tuberculosis,71375000,118567019,Tuberculous mastoiditis
Tuberculosis,35786001,59684010,Tuberculoma of meninges
Tuberculosis,186202007,286247011,Respiratory TB not confirmed bact or histologically
Tuberculosis,38115001,64723010,Tuberculosis of spinal meninges
Tuberculosis,28399005,47540018,Tuberculosis spleen
Tuberculosis,186270000,286325014,Tuberculosis of adrenal glands - Addison's disease
Tuberculosis,417484006,2548529013,Tuberculous intraspinal abscess
Tuberculosis,187251001,287957010,Late effects of tuberculosis of other specified organs
Tuberculosis,187251001,287958017,Late effects of tuberculosis
