Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Fibrosing alveolitis/unspecified alveolitis,51615001.0,85961019.0,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,266368002.0,3035384014.0,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,51615001.0,885491000006116.0,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,162974009.0,254003016.0,O/E - fibrosis of lung present
Fibrosing alveolitis/unspecified alveolitis,162974009.0,254002014.0,O/E - fibrosis of lung
Fibrosing alveolitis/unspecified alveolitis,266368002.0,396123011.0,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,266368002.0,396123011.0,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,700250006.0,2989716019.0,Idiopathic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,236302005.0,2579204016.0,Hamman - Rich syndrome
Fibrosing alveolitis/unspecified alveolitis,700250006.0,2989718018.0,Cryptogenic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,700250006.0,2989760019.0,Idiopathic pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,196125002.0,301706014.0,Diffuse pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,51615001.0,85960018.0,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,196125002.0,2475606014.0,Usual interstitial pneumonitis
Fibrosing alveolitis/unspecified alveolitis,700250006.0,2989716019.0,Idiopathic fibrosing alveolitis NOS
Fibrosing alveolitis/unspecified alveolitis,233703007.0,350185018.0,[X]Other interstitial pulmonary diseases with fibrosis
