Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Hypoparathyroidism,57958006.0,96350012.0,Myopathy due to endocrine disease EC
Hypoparathyroidism,57958006.0,96353014.0,Muscle disease related to endocrine disease
Hypoparathyroidism,36976004.0,61681019.0,Deficiency of parathyrin
Hypoparathyroidism,36976004.0,61682014.0,Deficiency of PTH
Hypoparathyroidism,57958006.0,1231782017.0,Muscle disorders associated with endocrine disease
Hypoparathyroidism,237654002.0,356185013.0,Idiopathic hypoparathyroidism
Hypoparathyroidism,57958006.0,96350012.0,Myopathy due to endocrine disease NOS
Hypoparathyroidism,57958006.0,96350012.0,Endocrine myopathy
Hypoparathyroidism,36976004.0,61678012.0,Hypoparathyroidism
Hypoparathyroidism,36976004.0,61678012.0,Hypoparathyroidism NOS
Hypoparathyroidism,36976004.0,61678012.0,[X]Other hypoparathyroidism
Hypoparathyroidism,36976004.0,61680018.0,Deficiency of parathyroid hormone
Hypoparathyroidism,20248004.0,34053018.0,Curettage of adenoid
Hypoparathyroidism,118784006.0,183468015.0,Pharynx operations
Hypoparathyroidism,58976002.0,98010014.0,Parathyroid hormone resistant hypoparathyroidism
Hypoparathyroidism,28913000.0,1226092010.0,Ts and As - Tonsillectomy and adenoidectomy
Hypoparathyroidism,58976002.0,98009016.0,Familial pseudohypoparathyroidism
Hypoparathyroidism,119954001.0,460597013.0,As - Adenoidectomy
Hypoparathyroidism,119954001.0,460599011.0,Ads - Adenoidectomy
Hypoparathyroidism,28913000.0,48410019.0,Tonsillectomy with adenoidectomy
Hypoparathyroidism,58976002.0,498307013.0,Constitutional chronic hypocalcaemia
Hypoparathyroidism,28913000.0,48413017.0,Adenotonsillectomy
Hypoparathyroidism,426391000.0,2674424017.0,Plasma mediated ablation tonsillectomy
Hypoparathyroidism,118784006.0,447451016.0,Pharynx procedure
Hypoparathyroidism,118784006.0,183468015.0,Procedure on pharynx
Hypoparathyroidism,118784006.0,447450015.0,Pharyngeal procedure
Hypoparathyroidism,426391000.0,2674425016.0,Coblation tonsillectomy
Hypoparathyroidism,173430005.0,268496017.0,Dissection tonsillectomy and adenoidectomy
Hypoparathyroidism,173431009.0,268497014.0,Guillotine tonsillectomy and adenoidectomy
Hypoparathyroidism,119954001.0,460600014.0,Adenoidectomy
Hypoparathyroidism,28913000.0,484011019.0,Tonsillectomy and adenoidectomy
Hypoparathyroidism,58976002.0,98005010.0,Pseudohypoparathyroidism
Hypoparathyroidism,118784006.0,183468015.0,Pharynx operations NOS
Hypoparathyroidism,237659007.0,356191010.0,Pseudopseudohypoparathyroidism
Hypoparathyroidism,58976002.0,98008012.0,Constitutional chronic hypocalcemia
Hypoparathyroidism,28913000.0,862271000006112.0,Tonsillectomy + adenoidectomy
Hypoparathyroidism,10629009.0,18466010.0,[D]Tetany
Hypoparathyroidism,75140002.0,124801018.0,[D]Carpopedal spasm
Hypoparathyroidism,10629009.0,18466010.0,[D]Tetany NOS
