Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Malignant neoplasms ,421249001.0,2618242015.0,Malignant neoplasm of vermilion border of lip unspecified
Malignant neoplasms ,363372009.0,1217955018.0,Malignant tumor of lipstick area of upper lip
Malignant neoplasms ,421249001.0,2618243013.0,Malignant tumor of vermilion border of lip
Malignant neoplasms ,421249001.0,2618242015.0,"Malignant neoplasm of upper lip, external"
Malignant neoplasms ,363372009.0,482540012.0,Malignant tumor of vermilion border of upper lip
Malignant neoplasms ,187601000.0,288350019.0,"Malignant neoplasm of upper lip, lipstick area"
Malignant neoplasms ,363372009.0,482541011.0,"Malignant neoplasm of upper lip, vermilion border NOS"
Malignant neoplasms ,421249001.0,2618242015.0,"Malignant neoplasm of lip, vermilion border NOS"
Malignant neoplasms ,363372009.0,1216465011.0,Malignant tumour of lipstick area of upper lip
Malignant neoplasms ,363372009.0,1228504019.0,"Malignant neoplasm of upper lip, vermilion border"
Malignant neoplasms ,363373004.0,1217956017.0,Malignant tumor of lipstick area of lower lip
Malignant neoplasms ,363373004.0,482543014.0,Malignant tumor of vermilion border of lower lip
Malignant neoplasms ,187604008.0,288354011.0,"Malignant neoplasm of lower lip, external"
Malignant neoplasms ,363373004.0,1228506017.0,"Malignant neoplasm of lower lip, lipstick area"
Malignant neoplasms ,363373004.0,1228505018.0,"Malignant neoplasm of lower lip, vermilion border"
Malignant neoplasms ,363373004.0,482542016.0,"Malignant neoplasm of lower lip, vermilion border NOS"
Malignant neoplasms ,363373004.0,1216466012.0,Malignant tumour of lipstick area of lower lip
Malignant neoplasms ,275399006.0,411376018.0,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms ,275399006.0,5572871000006116.0,Malignant tumour of lipstick area of lip
Malignant neoplasms ,275399006.0,411377010.0,Malignant tumor of lipstick area of lip
Malignant neoplasms ,187606005.0,288367014.0,Malignant tumor of inner aspect of upper lip
Malignant neoplasms ,187606005.0,288361010.0,Malignant tumor of upper labial mucosa
Malignant neoplasms ,187606005.0,288357016.0,Malignant tumour of inner aspect of upper lip
Malignant neoplasms ,187606005.0,288358014.0,Malignant tumour of buccal aspect of upper lip
Malignant neoplasms ,187606005.0,288366017.0,Malignant tumor of buccal aspect of upper lip
Malignant neoplasms ,187606005.0,288356013.0,Malignant tumour of oral aspect of upper lip
Malignant neoplasms ,187606005.0,288365018.0,Malig tumor of mucosa of upper lip
Malignant neoplasms ,187608006.0,288370013.0,Malignant tumour of fraenum of upper lip
Malignant neoplasms ,187608006.0,288371012.0,Malignant tumor of frenum of upper lip
Malignant neoplasms ,187606005.0,288356013.0,"Malignant neoplasm of upper lip, buccal aspect"
Malignant neoplasms ,187606005.0,288359018.0,Malig tumour of mucosa of upper lip
Malignant neoplasms ,187606005.0,288362015.0,"Malignant neoplasm of upper lip, oral aspect"
Malignant neoplasms ,187606005.0,288363013.0,"Malignant neoplasm of upper lip, inner aspect"
Malignant neoplasms ,187606005.0,288364019.0,"Malignant neoplasm of upper lip, mucosa"
Malignant neoplasms ,187608006.0,288372017.0,"Malignant neoplasm of upper lip, frenulum"
Malignant neoplasms ,187606005.0,288360011.0,Malignant tumour of upper labial mucosa
Malignant neoplasms ,187606005.0,288356013.0,"Malignant neoplasm of upper lip, inner aspect NOS"
Malignant neoplasms ,187606005.0,288368016.0,Malignant tumor of oral aspect of upper lip
Malignant neoplasms ,187614004.0,288383014.0,Malignant tumour of fraenum of lower lip
Malignant neoplasms ,271568003.0,406404013.0,Malignant tumour of buccal aspect of lower lip
Malignant neoplasms ,271568003.0,406403019.0,Malignant tumour of inner aspect of lower lip
Malignant neoplasms ,271568003.0,406402012.0,Malignant tumour of oral aspect of lower lip
Malignant neoplasms ,271568003.0,406409015.0,Malignant tumor of mucosa of lower lip
Malignant neoplasms ,271568003.0,406405014.0,Malignant tumor of lower labial mucosa
Malignant neoplasms ,187614004.0,288381011.0,Malignant tumor of frenum of lower lip
Malignant neoplasms ,271568003.0,406398015.0,"Malignant neoplasm of lower lip, inner aspect NOS"
Malignant neoplasms ,271568003.0,406406010.0,Malignant tumor of buccal aspect of lower lip
Malignant neoplasms ,187613005.0,288380012.0,"Malignant neoplasm of lower lip, buccal aspect"
Malignant neoplasms ,271568003.0,406399011.0,"Malignant neoplasm of lower lip, inner aspect"
Malignant neoplasms ,271568003.0,406400016.0,"Malignant neoplasm of lower lip, mucosa"
Malignant neoplasms ,271568003.0,406401017.0,Malignant tumour of mucosa of lower lip
Malignant neoplasms ,271568003.0,406407018.0,Malignant tumor of inner aspect of lower lip
Malignant neoplasms ,271568003.0,406408011.0,Malignant tumor of oral aspect of lower lip
Malignant neoplasms ,187614004.0,288382016.0,"Malignant neoplasm of lower lip, frenulum"
Malignant neoplasms ,271568003.0,406398015.0,"Malignant neoplasm of lower lip, oral aspect"
Malignant neoplasms ,187622006.0,288392012.0,"Malignant neoplasm of lip, inner aspect NOS"
Malignant neoplasms ,187622006.0,288392012.0,Malignant tumor of labial mucosa
Malignant neoplasms ,187622006.0,4745411000006113.0,Malignant tumour of labial mucosa
Malignant neoplasms ,302815008.0,444722010.0,Malignant tumor of frenum of lip
Malignant neoplasms ,302815008.0,444721015.0,Malignant tumour of fraenum of lip
Malignant neoplasms ,187622006.0,288398011.0,Malignant tumour of inner aspect of lip
Malignant neoplasms ,187622006.0,288394013.0,Malignant tumor of buccal aspect of lip
Malignant neoplasms ,187622006.0,288399015.0,Malignant tumour of buccal aspect of lip
Malignant neoplasms ,187622006.0,288397018.0,Malignant tumor of inner aspect of lip
