Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Other spirochaetal infections,95883001.0,158829010.0,[X]Other bacterial meningitis
Other spirochaetal infections,86735004.0,143838016.0,Other specified erythematous conditions
Other spirochaetal infections,86735004.0,143838016.0,Other exfoliative erythema
Other spirochaetal infections,86735004.0,143838016.0,[X]Erythema in other diseases classified elsewhere
Other spirochaetal infections,38663004.0,64337016.0,Other neurolysis of peripheral nerve
Other spirochaetal infections,23502006.0,481637018.0,Steere's disease
Other spirochaetal infections,47534009.0,79241018.0,Retinaculotomy of carpal tunnel
Other spirochaetal infections,69588003.0,1233178016.0,Erythema chronicum migrans
Other spirochaetal infections,86735004.0,143838016.0,Erythematous conditions
Other spirochaetal infections,24723005.0,481995014.0,Peripheral nerve procedure
Other spirochaetal infections,715507005.0,3302869017.0,Infection of central nervous system caused by Borrelia burgdorferi
Other spirochaetal infections,69588003.0,115616014.0,Erythema chronica migrans
Other spirochaetal infections,718373005.0,3312536018.0,Cutaneous B-cell pseudolymphoma caused by Borrelia
Other spirochaetal infections,95883001.0,3028971018.0,"Meningitis, bacterial"
Other spirochaetal infections,69588003.0,3028124013.0,Erythema chronicum migrans skin condition
Other spirochaetal infections,41116009.0,68588014.0,Spirochetal infection
Other spirochaetal infections,41116009.0,68588014.0,Other spirochaetal infections
Other spirochaetal infections,41116009.0,68588014.0,[X]Other spirochaetal diseases
Other spirochaetal infections,41116009.0,68588014.0,Other specified spirochaetal infections
Other spirochaetal infections,41116009.0,68588014.0,[X]Other specified spirochaetal infections
Other spirochaetal infections,24723005.0,41436018.0,Peripheral nerve operations NOS
Other spirochaetal infections,95883001.0,158829010.0,Bacterial meningitis
Other spirochaetal infections,41116009.0,492887012.0,Other spirochaetal diseases
Other spirochaetal infections,95883001.0,158829010.0,Other specified bacterial meningitis NOS
Other spirochaetal infections,95883001.0,1235949016.0,BM - Bacterial meningitis
Other spirochaetal infections,23502006.0,2923214018.0,Infection due to Borrelia burgdorferi sensu lato
Other spirochaetal infections,23502006.0,39462014.0,Lyme disease
Other spirochaetal infections,77863005.0,129217018.0,Lyme carditis
Other spirochaetal infections,24723005.0,481996010.0,Peripheral nerve operations
Other spirochaetal infections,33937009.0,485678014.0,Arthritis in Lyme disease
Other spirochaetal infections,69588003.0,2955528012.0,Erythema migrans
Other spirochaetal infections,718373005.0,3312055010.0,Borrelial lymphocytoma
Other spirochaetal infections,41116009.0,492887012.0,Other spirochaetal infection NOS
Other spirochaetal infections,41116009.0,492887012.0,Spirochaetal infection NOS
Other spirochaetal infections,95883001.0,158829010.0,Meningitis in other bacterial disease classified elsewhere
Other spirochaetal infections,95883001.0,158829010.0,Unspecified meningitis in bacterial disease EC
Other spirochaetal infections,95883001.0,158829010.0,Other specified bacterial meningitis
Other spirochaetal infections,715507005.0,3302870016.0,Lyme neuroborreliosis
Other spirochaetal infections,171849009.0,266151011.0,Transposition of ulnar nerve
Other spirochaetal infections,38663004.0,64337016.0,Neurolysis peripheral nerve transposition peripher nerve NEC
Other spirochaetal infections,41116009.0,492887012.0,"[X]Spirochaetal infection, unspecified"
Other spirochaetal infections,41116009.0,492887012.0,Other specified spirochaetal infection
Other spirochaetal infections,95883001.0,158829010.0,Bacterial meningitis NOS
Other spirochaetal infections,86735004.0,143838016.0,Erythematous conditions NOS
Other spirochaetal infections,86735004.0,143838016.0,[X]Other specified erythematous conditions
Other spirochaetal infections,23502006.0,481640018.0,Lyme borreliosis
Other spirochaetal infections,33937009.0,56659013.0,Lyme arthritis
Other spirochaetal infections,86735004.0,143838016.0,Other erythematous conditions NOS
Other spirochaetal infections,38663004.0,64337016.0,Neurolysis of other trapped periperal nerve
Other spirochaetal infections,41116009.0,68591014.0,Spirochetosis
