Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Arthopathies,69896004.0,889751000006116.0,Rheum. arth. - ankle/foot
Arthopathies,69896004.0,889801000006111.0,Rheum. arth. - elbow joint
Arthopathies,69896004.0,889781000006112.0,Rheum. arth. - hand joint
Arthopathies,69896004.0,889761000006119.0,Rheum. arth. - knee joint
Arthopathies,69896004.0,889821000006118.0,Rheum. arth. - multiple joint
Arthopathies,69896004.0,889741000006118.0,Rheum. arth. - other joint
Arthopathies,69896004.0,889811000006114.0,Rheum. arth. - shoulder joint
Arthopathies,69896004.0,889791000006110.0,Rheum. arth. - wrist joint
Arthopathies,69896004.0,889731000006111.0,Rheumatoid arthritis NOS
Arthopathies,287006005.0,2692387019.0,Rheumatoid arthritis of multiple joints
Arthopathies,308143008.0,451461014.0,Seropositive errosive rheumatoid arthritis
Arthopathies,164454008.0,255923010.0,O/E - hands - ulnar deviation
Arthopathies,164454008.0,255922017.0,O/E - ulnar deviation
Arthopathies,231041000000107.0,371261000000111.0,Delivery of rehabilitation for rheumatoid arthritis
Arthopathies,239920006.0,359482019.0,Adult Still's Disease
Arthopathies,69896004.0,116082011.0,Rheumatoid arthritis and other inflammatory polyarthropathy
Arthopathies,69896004.0,116082011.0,Rheumatoid arthritis
Arthopathies,9631008.0,16840014.0,Other rheumatoid arthritis of spine
Arthopathies,201766009.0,309789018.0,Rheumatoid arthritis of shoulder
Arthopathies,201767000.0,309790010.0,Rheumatoid arthritis of sternoclavicular joint
Arthopathies,201768005.0,309791014.0,Rheumatoid arthritis of acromioclavicular joint
Arthopathies,201769002.0,309792019.0,Rheumatoid arthritis of elbow
Arthopathies,201770001.0,309793012.0,Rheumatoid arthritis of distal radio-ulnar joint
Arthopathies,201771002.0,309794018.0,Rheumatoid arthritis of wrist
Arthopathies,201772009.0,309795017.0,Rheumatoid arthritis of MCP joint
Arthopathies,201773004.0,309796016.0,Rheumatoid arthritis of PIP joint of finger
Arthopathies,201774005.0,309797013.0,Rheumatoid arthritis of DIP joint of finger
Arthopathies,201775006.0,309798015.0,Rheumatoid arthritis of hip
Arthopathies,201776007.0,309799011.0,Rheumatoid arthritis of sacro-iliac joint
Arthopathies,201777003.0,309800010.0,Rheumatoid arthritis of knee
Arthopathies,201778008.0,309801014.0,Rheumatoid arthritis of tibio-fibular joint
Arthopathies,201779000.0,309802019.0,Rheumatoid arthritis of ankle
Arthopathies,201780002.0,309803012.0,Rheumatoid arthritis of subtalar joint
Arthopathies,201781003.0,309804018.0,Rheumatoid arthritis of talonavicular joint
Arthopathies,429192004.0,2696026017.0,Rheumatoid arthritis of other tarsal joint
Arthopathies,201783000.0,309807013.0,Rheumatoid arthritis of 1st MTP joint
Arthopathies,201784006.0,309808015.0,Rheumatoid arthritis of lesser MTP joint
Arthopathies,201785007.0,309809011.0,Rheumatoid arthritis of IP joint of toe
Arthopathies,400054000.0,1779323014.0,Rheumatoid vasculitis
Arthopathies,239792003.0,359292012.0,Seronegative rheumatoid arthritis
Arthopathies,84017003.0,139318017.0,Rheumatoid bursitis
Arthopathies,33719002.0,485614018.0,Rheumatoid nodule
Arthopathies,287006005.0,426510015.0,Rheumatoid arthritis - multiple joint
Arthopathies,201791009.0,309816012.0,Flare of rheumatoid arthritis
Arthopathies,57160007.0,95067016.0,Felty's syndrome
Arthopathies,239793008.0,359293019.0,Other rheumatoid arthropathy + visceral/systemic involvement
Arthopathies,239793008.0,359293019.0,Rheumatoid arthropathy + visceral/systemic involvement NOS
