Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Dermatitis and eczema,24079001.0,889161000006118.0,Atopic eczema/dermatitis
Dermatitis and eczema,23012005.0,889211000006110.0,Contact dermatitis : solvents
Dermatitis and eczema,200821000.0,889231000006116.0,Contact dermatitis:food/plants
Dermatitis and eczema,93423006.0,883471000006116.0,Dermatitis of eyelid
Dermatitis and eczema,24079001.0,889171000006113.0,Dermatitis/eczemas
Dermatitis and eczema,24079001.0,889151000006115.0,Dermatitis/eczemas NOS
Dermatitis and eczema,238932004.0,358088015.0,Genital lichen sclerosus
Dermatitis and eczema,414492009.0,2534172017.0,Infective eczematoid dermatitis
Dermatitis and eczema,402276007.0,1781440014.0,Irritant contact dermatitis due to incontinence
Dermatitis and eczema,25674000.0,196453012.0,Lichen sclerosus
Dermatitis and eczema,198033005.0,304496019.0,Lichen sclerosus of penis
Dermatitis and eczema,53891004.0,89585011.0,Lichen simplex chronicus
Dermatitis and eczema,238585003.0,889181000006111.0,Neurodermatitis
Dermatitis and eczema,235049008.0,352261014.0,Oral lichen planus
Dermatitis and eczema,402567004.0,2536678019.0,Pompholyx eczema
Dermatitis and eczema,50563003.0,84228013.0,Seborrheic dermatitis
Dermatitis and eczema,50563003.0,889121000006112.0,Seborrhoeic dermat/eczema NOS
Dermatitis and eczema,50563003.0,889131000006110.0,Seborrhoeic dermatitis/eczema
Dermatitis and eczema,402222007.0,1787525019.0,Cheiropompholyx
Dermatitis and eczema,40275004.0,1494721011.0,Contact eczema
Dermatitis and eczema,3014005.0,484504011.0,Cutaneous autosensitization
Dermatitis and eczema,200854003.0,3300317010.0,Irritant contact dermatitis due to food in contact with skin
Dermatitis and eczema,53891004.0,89586012.0,Neurodermatitis circumscripta
Dermatitis and eczema,237463009.0,355885017.0,Nipple eczema
Dermatitis and eczema,36070007.0,60191017.0,Thrombocytopenic eczema with immunodeficiency
Dermatitis and eczema,93423006.0,154630014.0,Eczematous eyelid dermatitis
Dermatitis and eczema,93423006.0,154630014.0,Contact or allergic eyelid dermatitis
Dermatitis and eczema,68670009.0,114057013.0,Allergic dermatitis - eyelid
Dermatitis and eczema,93423006.0,154630014.0,Contact eczema - eyelids
Dermatitis and eczema,27023008.0,45197011.0,Other eyelid infective dermatitis
Dermatitis and eczema,95812002.0,512310013.0,Eczema of external ear
Dermatitis and eczema,123700004.0,192189011.0,Pustular eczema
Dermatitis and eczema,703938007.0,3039229010.0,Infected dermatitis
Dermatitis and eczema,703938007.0,3012078018.0,Dermatitis/dermatoses
Dermatitis and eczema,414492009.0,3317202015.0,Infectious eczematoid dermatitis
