Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
"Disease of arteries, arterioles and capilleries",81817003.0,2923328010.0,Atherosclerosis aorta
"Disease of arteries, arterioles and capilleries",233956002.0,350530011.0,Aortoiliac atherosclerosis
"Disease of arteries, arterioles and capilleries",81817003.0,135728018.0,Aortic atherosclerosis
"Disease of arteries, arterioles and capilleries",233956002.0,350529018.0,Aorto-iliac disease
"Disease of arteries, arterioles and capilleries",45281005.0,1230210013.0,Renal artery atheroma
"Disease of arteries, arterioles and capilleries",45281005.0,2923323018.0,Atherosclerosis renal artery
"Disease of arteries, arterioles and capilleries",45281005.0,1230211012.0,Renal artery atherosclerosis
"Disease of arteries, arterioles and capilleries",302233006.0,443819010.0,RAS - Renal artery stenosis
"Disease of arteries, arterioles and capilleries",45281005.0,75487016.0,Atherosclerosis of renal artery
"Disease of arteries, arterioles and capilleries",302910002.0,444906018.0,Atherosclerotic renal artery stenosis
"Disease of arteries, arterioles and capilleries",302910002.0,444907010.0,ARAS - Atherosclerotic renal artery stenosis
"Disease of arteries, arterioles and capilleries",302233006.0,443820016.0,Renal artery stenosis
"Disease of arteries, arterioles and capilleries",195254008.0,300433019.0,Extremity artery atheroma NOS
"Disease of arteries, arterioles and capilleries",69742007.0,115849015.0,Monckeberg's medial calcinosis
"Disease of arteries, arterioles and capilleries",69742007.0,2839795018.0,Monckeberg medial sclerosis
"Disease of arteries, arterioles and capilleries",69742007.0,115848011.0,Monckeberg's medial sclerosis
"Disease of arteries, arterioles and capilleries",195254008.0,884571000006119.0,Atherosclerosis of extremities
"Disease of arteries, arterioles and capilleries",195254008.0,300433019.0,Extremity artery atheroma
"Disease of arteries, arterioles and capilleries",300920004.0,442119017.0,Carotid artery disease
"Disease of arteries, arterioles and capilleries",300920004.0,442119017.0,Carotid artery atherosclerosis
"Disease of arteries, arterioles and capilleries",95691008.0,158518015.0,Atheroscleritic retinopathy
"Disease of arteries, arterioles and capilleries",95691008.0,158518015.0,Atherosclerotic retinopathy
"Disease of arteries, arterioles and capilleries",95691008.0,158518015.0,Arteriosclerotic retinopathy
"Disease of arteries, arterioles and capilleries",95691008.0,158518015.0,Arterosclerotic retinopathy
"Disease of arteries, arterioles and capilleries",95691008.0,158519011.0,Retinal arteriosclerosis
"Disease of arteries, arterioles and capilleries",300920004.0,442118013.0,Carotid artery atheroma
"Disease of arteries, arterioles and capilleries",72092001.0,119795011.0,Cardiovascular arteriosclerosis unspecified
"Disease of arteries, arterioles and capilleries",72092001.0,119795011.0,[X]Atherosclerosis of other arteries
"Disease of arteries, arterioles and capilleries",72092001.0,119795011.0,Arteriosclerosis
"Disease of arteries, arterioles and capilleries",72092001.0,119795011.0,Atherosclerosis
"Disease of arteries, arterioles and capilleries",72092001.0,119795011.0,Atherosclerotic cardiovascular disease
"Disease of arteries, arterioles and capilleries",72092001.0,119795011.0,Arteriosclerotic vascular disease NOS
"Disease of arteries, arterioles and capilleries",50808002.0,84675016.0,Other specified artery atheroma
"Disease of arteries, arterioles and capilleries",233981004.0,350576010.0,Aneurysm of other artery
"Disease of arteries, arterioles and capilleries",301432000.0,442728013.0,Aneurysm of neck artery NOS
"Disease of arteries, arterioles and capilleries",432119003.0,2766245010.0,Other aneurysm NOS
"Disease of arteries, arterioles and capilleries",432119003.0,2766245010.0,Aneurysm NOS
"Disease of arteries, arterioles and capilleries",705066004.0,3321887013.0,Carotid artery dissection
"Disease of arteries, arterioles and capilleries",58780002.0,1231882010.0,Traumatic arterial aneurysm
"Disease of arteries, arterioles and capilleries",10878002.0,18887011.0,Aneurysm of common carotid art
"Disease of arteries, arterioles and capilleries",58780002.0,97679019.0,Arterial false aneurysm
"Disease of arteries, arterioles and capilleries",61091005.0,1232171018.0,External carotid aneurysm
"Disease of arteries, arterioles and capilleries",301432000.0,442728013.0,Aneurysm of head and neck artery
"Disease of arteries, arterioles and capilleries",705066004.0,3022956010.0,Internal carotid artery dissection
"Disease of arteries, arterioles and capilleries",10878002.0,1219429019.0,Common carotid aneurysm
"Disease of arteries, arterioles and capilleries",24624008.0,41282012.0,Aneurysm of internal carotid artery
"Disease of arteries, arterioles and capilleries",443089001.0,2841788011.0,False aneurysm
"Disease of arteries, arterioles and capilleries",846671000000106.0,2195541000000114.0,Aneurysm of superficialised artery of dialysis AV fistula
"Disease of arteries, arterioles and capilleries",163018009.0,2666842016.0,On examination - arterial wall - aneurysm
"Disease of arteries, arterioles and capilleries",61091005.0,101523017.0,Aneurysm of external carotid artery
"Disease of arteries, arterioles and capilleries",710864009.0,3046504015.0,Dissection of artery
"Disease of arteries, arterioles and capilleries",863331000000100.0,2232261000000110.0,Aneurysm of dialysis vascular access
"Disease of arteries, arterioles and capilleries",846731000000104.0,2195661000000114.0,Aneurysm of dialysis arteriovenous fistula
"Disease of arteries, arterioles and capilleries",432119003.0,2766245010.0,Other aneurysm
"Disease of arteries, arterioles and capilleries",846461000000102.0,2195121000000112.8,Ruptured aneurysm of dialysis vascular access
"Disease of arteries, arterioles and capilleries",163018009.0,254061017.0,O/E - arterial wall - aneurysm
"Disease of arteries, arterioles and capilleries",233981004.0,350576010.0,[X]Aneurysm of other specified arteries
"Disease of arteries, arterioles and capilleries",846761000000109.0,2195721000000112.0,Aneurysm of needle site of dialysis arteriovenous fistula
"Disease of arteries, arterioles and capilleries",24624008.0,1223888010.0,Internal carotid aneurysm
"Disease of arteries, arterioles and capilleries",710864009.0,3046499015.0,Dissection of other specified arteries
"Disease of arteries, arterioles and capilleries",846801000000104.0,2195801000000114.0,Aneurysm of anastomotic site of dialysis AV fistula
"Disease of arteries, arterioles and capilleries",705066004.0,7598011000006114.0,Dissection of internal carotid artery
"Disease of arteries, arterioles and capilleries",10878002.0,18887011.0,Aneurysm of common carotid artery
"Disease of arteries, arterioles and capilleries",29495008.0,49360017.0,Aneurysm of arm artery NOS
"Disease of arteries, arterioles and capilleries",713033007.0,3287761016.0,Dissection of artery of arm
"Disease of arteries, arterioles and capilleries",29495008.0,49360017.0,Aneurysm of artery of upper extremity
"Disease of arteries, arterioles and capilleries",195273007.0,300456011.0,Ulnar artery aneurysm
"Disease of arteries, arterioles and capilleries",29495008.0,484313012.0,Aneurysm of upper limb artery
"Disease of arteries, arterioles and capilleries",40136003.0,1229607012.0,Subclavian artery aneurysm
"Disease of arteries, arterioles and capilleries",40136003.0,63716015.0,Aneurysm of subclavian artery
"Disease of arteries, arterioles and capilleries",41740005.0,69629017.0,Aneurysm of axillary artery
"Disease of arteries, arterioles and capilleries",195271009.0,300453015.0,Aneurysm of brachial artery
"Disease of arteries, arterioles and capilleries",195272002.0,300454014.0,Aneurysm of radial artery
"Disease of arteries, arterioles and capilleries",29495008.0,484314018.0,Aneurysm of artery of arm
"Disease of arteries, arterioles and capilleries",195271009.0,300452013.0,Brachial artery aneurysm
"Disease of arteries, arterioles and capilleries",195272002.0,300455010.0,Radial artery aneurysm
"Disease of arteries, arterioles and capilleries",713033007.0,3287761016.0,Dissection of artery of upper extremity
"Disease of arteries, arterioles and capilleries",195273007.0,300457019.0,Aneurysm of ulnar artery
"Disease of arteries, arterioles and capilleries",41740005.0,1229791011.0,Axillary artery aneurysm
"Disease of arteries, arterioles and capilleries",713036004.0,3287753014.0,Dissection of renal artery
"Disease of arteries, arterioles and capilleries",236493008.0,354499016.0,Acquired renal artery aneurysm
"Disease of arteries, arterioles and capilleries",36184004.0,60377018.0,Aneurysm of renal artery
"Disease of arteries, arterioles and capilleries",13290008.0,22740018.0,Aneurysm of iliac artery NOS
"Disease of arteries, arterioles and capilleries",195277008.0,300465016.0,Internal iliac aneurysm
"Disease of arteries, arterioles and capilleries",195276004.0,300462018.0,External iliac aneurysm
"Disease of arteries, arterioles and capilleries",233999007.0,3321893017.0,Dissection of iliac artery
"Disease of arteries, arterioles and capilleries",13290008.0,22740018.0,Aneurysm of iliac artery
"Disease of arteries, arterioles and capilleries",195275000.0,300460014.0,Aneurysm of common iliac artery
"Disease of arteries, arterioles and capilleries",195276004.0,300463011.0,Aneurysm of external iliac artery
"Disease of arteries, arterioles and capilleries",195277008.0,300464017.0,Aneurysm of internal iliac artery
"Disease of arteries, arterioles and capilleries",233999007.0,2168721000000118.0,Dissection of iliac artery
"Disease of arteries, arterioles and capilleries",195275000.0,300459016.0,Common iliac aneurysm
"Disease of arteries, arterioles and capilleries",20981007.0,35275015.0,Aneurysm of leg artery NOS
"Disease of arteries, arterioles and capilleries",713032002.0,3287757010.0,Dissection of artery of leg
"Disease of arteries, arterioles and capilleries",713032002.0,3287757010.0,Dissection of artery of lower extremity
"Disease of arteries, arterioles and capilleries",312374002.0,456075013.0,Post radiological femoral false aneurysm
"Disease of arteries, arterioles and capilleries",195281008.0,300471010.0,Posterior tibial aneurysm
"Disease of arteries, arterioles and capilleries",195279006.0,300467012.0,Anterior tibial aneurysm
"Disease of arteries, arterioles and capilleries",20981007.0,35275015.0,Aneurysm of artery of lower extremity
"Disease of arteries, arterioles and capilleries",20981007.0,480890010.0,Aneurysm of lower limb artery
"Disease of arteries, arterioles and capilleries",195280009.0,300470011.0,Dorsalis pedis aneurysm
"Disease of arteries, arterioles and capilleries",48273005.0,1230567015.0,Popliteal artery aneurysm
"Disease of arteries, arterioles and capilleries",48273005.0,80421013.0,Aneurysm of popliteal artery
"Disease of arteries, arterioles and capilleries",195279006.0,300468019.0,Aneurysm of anterior tibial artery
"Disease of arteries, arterioles and capilleries",195281008.0,300472015.0,Aneurysm of posterior tibial artery
"Disease of arteries, arterioles and capilleries",311798009.0,455424010.0,Ruptured popliteal artery aneurysm
"Disease of arteries, arterioles and capilleries",20981007.0,480891014.0,Aneurysm of leg artery
"Disease of arteries, arterioles and capilleries",91445000.0,151487012.0,Aneurysm of femoral artery
"Disease of arteries, arterioles and capilleries",312374002.0,456075013.0,Post-radiological femoral false aneurysm
"Disease of arteries, arterioles and capilleries",91445000.0,1235669012.0,Femoral artery aneurysm
"Disease of arteries, arterioles and capilleries",195280009.0,300469010.0,Aneurysm of dorsalis pedis artery
"Disease of arteries, arterioles and capilleries",713035000.0,3287752016.0,Aneurysm and dissection of precerebral artery
"Disease of arteries, arterioles and capilleries",230730001.0,3320226015.0,Dissection of vertebral artery
"Disease of arteries, arterioles and capilleries",230730001.0,345710016.0,Vertebral artery dissection
"Disease of arteries, arterioles and capilleries",297176007.0,437650013.0,Vertebral artery aneurysm
"Disease of arteries, arterioles and capilleries",301433005.0,442729017.0,Aneurysm of other visceral artery
"Disease of arteries, arterioles and capilleries",65498003.0,1232684011.0,Superior mesenteric aneurysm
"Disease of arteries, arterioles and capilleries",111290000.0,1215881019.0,Coeliac artery aneurysm
"Disease of arteries, arterioles and capilleries",25878000.0,1224937019.0,Hepatic artery aneurysm
"Disease of arteries, arterioles and capilleries",111290000.0,199806019.0,Aneurysm of coeliac artery
"Disease of arteries, arterioles and capilleries",301433005.0,442729017.0,Aneurysm of artery of trunk
"Disease of arteries, arterioles and capilleries",111290000.0,1217384017.0,Celiac artery aneurysm
"Disease of arteries, arterioles and capilleries",25878000.0,43353015.0,Aneurysm of hepatic artery
"Disease of arteries, arterioles and capilleries",70405009.0,116959011.0,Aneurysm of splenic artery
"Disease of arteries, arterioles and capilleries",195289005.0,300482019.0,Aneurysm of inferior mesenteric artery
"Disease of arteries, arterioles and capilleries",111290000.0,178513011.0,Aneurysm of celiac artery
"Disease of arteries, arterioles and capilleries",70405009.0,1233266012.0,Splenic artery aneurysm
"Disease of arteries, arterioles and capilleries",195289005.0,300481014.0,Inferior mesenteric aneurysm
"Disease of arteries, arterioles and capilleries",65498003.0,108827017.0,Aneurysm of superior mesenteric artery
"Disease of arteries, arterioles and capilleries",233982006.0,350577018.0,Cirsoid aneurysm
"Disease of arteries, arterioles and capilleries",266259002.0,395790019.0,[X]Other specified disorders of arteries and arterioles
"Disease of arteries, arterioles and capilleries",58729003.0,2474901014.0,Other and unspecified diseases of capillaries
"Disease of arteries, arterioles and capilleries",266259002.0,395790019.0,"Other specified arterial, arteriole or capillary disease"
"Disease of arteries, arterioles and capilleries",247479008.0,369555011.0,Telangiectasia
"Disease of arteries, arterioles and capilleries",195382003.0,300626011.0,Stellar naevus
"Disease of arteries, arterioles and capilleries",195382003.0,300632018.0,Spider telangiectasis of skin
"Disease of arteries, arterioles and capilleries",195382003.0,300631013.0,Spider angioma of skin
"Disease of arteries, arterioles and capilleries",195382003.0,300622013.0,Naevus araneus of skin
"Disease of arteries, arterioles and capilleries",195383008.0,300636015.0,Senile nevus
"Disease of arteries, arterioles and capilleries",5050001.0,495688013.0,Senile naevus of skin
"Disease of arteries, arterioles and capilleries",5050001.0,9453019.0,Senile ectasia
"Disease of arteries, arterioles and capilleries",5050001.0,495684010.0,Campbell de Morgan's spots
"Disease of arteries, arterioles and capilleries",58729003.0,2474901014.0,Diseases of capillaries
