Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Diverticular disease of the intestine,8114009.0,14400014.0,Diverticulosis of the small intestine unspecified
Diverticular disease of the intestine,56165008.0,93400012.0,Diverticulitis of the small intestine unspecified
Diverticular disease of the intestine,56165008.0,93400012.0,Diverticulitis of the small intestine NOS
Diverticular disease of the intestine,307496006.0,450775010.0,Diverticulitis unspecified
Diverticular disease of the intestine,307496006.0,450775010.0,Diverticulitis NOS
Diverticular disease of the intestine,280993006.0,418881013.0,Perforated diverticulum of small intestine unspecified
Diverticular disease of the intestine,280993006.0,418881013.0,Perforated diverticulum of small intestine NOS
Diverticular disease of the intestine,63532004.0,105596011.0,Diverticula of the intestine NOS
Diverticular disease of the intestine,85919009.0,506816016.0,Intestinal disorders NOS
Diverticular disease of the intestine,85919009.0,506815017.0,[X]Other specified diseases of intestine
Diverticular disease of the intestine,8114009.0,195103016.0,Diverticulum of small intestine
Diverticular disease of the intestine,197104005.0,3512575015.0,Perforated diverticulum unspecified
Diverticular disease of the intestine,197104005.0,1.1782171000006116e+16,Perforated diverticulum of intestine
Diverticular disease of the intestine,197104005.0,303147010.0,Perforated diverticulum
Diverticular disease of the intestine,235774002.0,3512385015.0,Abscess of colon co-occurrent and due to diverticular disease of colon
Diverticular disease of the intestine,63532004.0,3512567014.0,Multiple diverticula of intestine
Diverticular disease of the intestine,63532004.0,3028688010.0,Diverticulosis of small intestine and colon
Diverticular disease of the intestine,85919009.0,142436015.0,Enteropathy
Diverticular disease of the intestine,235774002.0,3512387011.0,Abscess with diverticular disease of colon
Diverticular disease of the intestine,235774002.0,353439014.0,Colonic diverticular abscess
Diverticular disease of the intestine,85919009.0,142433011.0,[X]Other specified functional disorders of intestine
Diverticular disease of the intestine,85919009.0,142433011.0,Other intestinal disorders NOS
Diverticular disease of the intestine,85919009.0,142433011.0,[X]Other diseases of intestines
Diverticular disease of the intestine,85919009.0,506815017.0,Other disorders of intestine
Diverticular disease of the intestine,197104005.0,3512575015.0,Perforated diverticulum of intestine NOS
Diverticular disease of the intestine,63532004.0,3512569012.0,Asymptomatic diverticulosis of intestine
Diverticular disease of the intestine,8114009.0,195104010.0,Diverticula of small intestine
Diverticular disease of the intestine,197105006.0,303148017.0,Perforated diverticulum of duodenum
Diverticular disease of the intestine,197106007.0,303149013.0,Perforated diverticulum of jejunum
Diverticular disease of the intestine,197107003.0,303150013.0,Perforated diverticulum of ileum
Diverticular disease of the intestine,235774002.0,353440011.0,Diverticular abscess
Diverticular disease of the intestine,307496006.0,450775010.0,Diverticulitis
Diverticular disease of the intestine,8114009.0,14400014.0,Diverticulosis of the small intestine NOS
Diverticular disease of the intestine,63532004.0,105596011.0,Diverticula of intestine
Diverticular disease of the intestine,85919009.0,506815017.0,Other intestine disorders
Diverticular disease of the intestine,197104005.0,3512575015.0,Perforated diverticulum
Diverticular disease of the intestine,197104005.0,233441000006111.0,Perforated diverticulum unspecified
Diverticular disease of the intestine,63532004.0,3512568016.0,Diverticulosis of intestine
Diverticular disease of the intestine,64915003.0,107901016.0,Heart operations
Diverticular disease of the intestine,78418002.0,130132018.0,Other parts of heart or pericardium operations OS
Diverticular disease of the intestine,428290007.0,2693316014.0,Percutaneous transluminal ablation of atrial wall
Diverticular disease of the intestine,428290007.0,2693316014.0,Percutaneous transluminal ablation of atrial wall NEC
Diverticular disease of the intestine,64915003.0,107901016.0,Cardiac operations
Diverticular disease of the intestine,33838003.0,56484017.0,Diverticulitis of duodenum
Diverticular disease of the intestine,197083003.0,3512600017.0,Diverticulosis of duodenum
Diverticular disease of the intestine,64915003.0,107896018.0,Operative procedure on heart
Diverticular disease of the intestine,197085005.0,303125010.0,Diverticulosis of ileum
Diverticular disease of the intestine,64915003.0,107901016.0,Heart operations NOS
Diverticular disease of the intestine,197084009.0,3512593019.0,Diverticulosis of jejunum
Diverticular disease of the intestine,197084009.0,1494961018.0,Diverticula of jejunum
Diverticular disease of the intestine,175125003.0,271209012.0,Percutaneous transluminal ablation of atrioventricular node
Diverticular disease of the intestine,197083003.0,303123015.0,Diverticulosis of the duodenum
Diverticular disease of the intestine,197084009.0,303124014.0,Diverticulosis of the jejunum
Diverticular disease of the intestine,33838003.0,485644015.0,Diverticulitis of the duodenum
Diverticular disease of the intestine,197085005.0,303126011.0,Diverticulosis of the ileum
Diverticular disease of the intestine,67153004.0,111546010.0,Diverticulitis of ileum
Diverticular disease of the intestine,78418002.0,130132018.0,Other parts of heart and pericardium operations
Diverticular disease of the intestine,78418002.0,130132018.0,Other parts of heart and pericardium operations NOS
Diverticular disease of the intestine,197084009.0,1494960017.0,Diverticulum of jejunum
Diverticular disease of the intestine,67153004.0,500628015.0,Diverticulitis of the ileum
Diverticular disease of the intestine,111358007.0,178594018.0,Diverticulitis of the jejunum
Diverticular disease of the intestine,233154000.0,349318018.0,Procedure for arrhythmia
Diverticular disease of the intestine,64915003.0,107900015.0,Cardiac surgery procedure
Diverticular disease of the intestine,4494009.0,7629011.0,Diverticulitis of the large intestine NOS
Diverticular disease of the intestine,280992001.0,418880014.0,Perforated diverticulum of large intestine unspecified
Diverticular disease of the intestine,398050005.0,1777620011.0,Diverticulosis of the colon
Diverticular disease of the intestine,448042001.0,2900001016.0,Transluminal radiofreq ablation heart conducting system NEC
Diverticular disease of the intestine,76953007.0,127753011.0,Diverticulitis of colon with perforation
Diverticular disease of the intestine,398050005.0,1786077011.0,Diverticulosis of the colon
Diverticular disease of the intestine,448042001.0,2900001016.0,Percut transluminal ablation of heart conducting system NEC
Diverticular disease of the intestine,398050005.0,3512540015.0,Symptomatic diverticulosis of colon
Diverticular disease of the intestine,76953007.0,503419012.0,Perforated diverticulum of colon
Diverticular disease of the intestine,4494009.0,7629011.0,Diverticulitis of the large intestine unspecified
Diverticular disease of the intestine,398050005.0,1786076019.0,Diverticulosis of colon
Diverticular disease of the intestine,280992001.0,418880014.0,Perforated diverticulum of large intestine NOS
Diverticular disease of the intestine,111359004.0,178595017.0,Diverticulitis of the colon
Diverticular disease of the intestine,197112002.0,3515890019.0,Perforation and abscess co-occurrent and due to diverticular disease of both small and large intestine
Diverticular disease of the intestine,428581004.0,2694913017.0,Percutaneous transluminal ablation of accessory pathway
Diverticular disease of the intestine,197112002.0,303155015.0,Divertic disease/both sml+lge intestin with perforat+abscess
Diverticular disease of the intestine,197112002.0,3515889011.0,Perforation and abscess with diverticular disease of small and large intestine
Diverticular disease of the intestine,307823003.0,451208015.0,Heart wall operations
Diverticular disease of the intestine,275028003.0,410951015.0,Heart atria and ventricle operations
Diverticular disease of the intestine,307823003.0,451208015.0,Exploration of heart NEC
Diverticular disease of the intestine,307823003.0,451208015.0,Cardiotomy NEC
Diverticular disease of the intestine,197091007.0,303133011.0,Divertic dis/both sml+lge intestin without perfor or abscess
Diverticular disease of the intestine,275028003.0,410951015.0,Heart chambers operations
Diverticular disease of the intestine,398157006.0,1777716018.0,Diverticulosis of the large intestine unspecified
Diverticular disease of the intestine,397881000.0,1777478012.0,Diverticulosis
Diverticular disease of the intestine,397881000.0,886341000006110.0,Diverticular disease NOS
Diverticular disease of the intestine,398157006.0,3512372018.0,Symptomatic diverticulosis of large intestine
Diverticular disease of the intestine,397881000.0,1786007012.0,Diverticulosis unspecified
Diverticular disease of the intestine,397881000.0,1777478012.0,Diverticulosis NOS
Diverticular disease of the intestine,397881000.0,626841000006115.0,Diverticulosis unspecified
Diverticular disease of the intestine,397881000.0,1777478012.0,Diverticular disease
Diverticular disease of the intestine,398157006.0,1777716018.0,Diverticulosis of the large intestine NOS
Diverticular disease of the intestine,397881000.0,1786006015.0,DD - Diverticular disease
