Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Drug or alcohol misuse,191816009.0,882501000006119.0,Morphine/cocaine dependence
Drug or alcohol misuse,1047881000000106.0,2639961000000113.0,Opioid analgesic dependence
Drug or alcohol misuse,2403008.0,5114014.0,Substance dependence
Drug or alcohol misuse,417284009.0,2548235012.0,Current drug user
Drug or alcohol misuse,228375008.0,342441014.0,Misuses drugs orally
Drug or alcohol misuse,416246006.0,2548750019.0,Prolonged high dose use of cannabis
Drug or alcohol misuse,417471002.0,2548434014.0,Persistent substance misuse
Drug or alcohol misuse,416479009.0,2548992019.0,Previously injecting drug user
Drug or alcohol misuse,279461000000104.0,512651000000113.0,Uses heroin on top of substitution therapy
Drug or alcohol misuse,361055000.0,477158014.0,Misuses drugs
Drug or alcohol misuse,197541000000101.0,297031000000117.0,Occasional drug user
Drug or alcohol misuse,228371004.0,342434015.0,Long-term drug misuser
Drug or alcohol misuse,228372006.0,342435019.0,Poly-drug misuser
Drug or alcohol misuse,228373001.0,342438017.0,Drug addict
Drug or alcohol misuse,44870007.0,494053016.0,Misused drugs in past
Drug or alcohol misuse,307052004.0,450216018.0,Illicit drug use
Drug or alcohol misuse,202991000000100.0,309921000000119.0,Heroin misuse
Drug or alcohol misuse,202961000000106.0,309861000000116.0,Ecstasy misuse
Drug or alcohol misuse,201381000000109.0,2292881000000111.0,Urine methadone positive
Drug or alcohol misuse,371401000000107.0,2292761000000111.0,Urine buprenorphine positive
Drug or alcohol misuse,231221000000105.0,371621000000117.0,Delivery of rehabilitation for drug addiction
Drug or alcohol misuse,191483003.0,294678015.0,Drug psychoses
Drug or alcohol misuse,363101005.0,2670794016.0,Drug withdrawal syndrome
Drug or alcohol misuse,191484009.0,294679011.0,Drug-induced paranoia or hallucinatory states
Drug or alcohol misuse,191485005.0,294680014.0,Drug-induced paranoid state
Drug or alcohol misuse,191486006.0,294681013.0,Drug-induced hallucinosis
Drug or alcohol misuse,191484009.0,294679011.0,Drug-induced paranoia or hallucinatory state NOS
Drug or alcohol misuse,191483003.0,294677013.0,Other drug psychoses
Drug or alcohol misuse,191492000.0,294687012.0,Drug-induced delirium
Drug or alcohol misuse,191493005.0,294688019.0,Drug-induced dementia
Drug or alcohol misuse,191495003.0,294690018.0,Drug-induced depressive state
Drug or alcohol misuse,191496002.0,294691019.0,Drug-induced personality disorder
Drug or alcohol misuse,191483003.0,294677013.0,Other drug psychoses NOS
Drug or alcohol misuse,191483003.0,294678015.0,Drug psychosis NOS
Drug or alcohol misuse,191816009.0,295145018.0,Drug dependence
Drug or alcohol misuse,6525002.0,11819014.0,Drug addiction
Drug or alcohol misuse,75544000.0,125472011.0,Opioid type drug dependence
Drug or alcohol misuse,231477003.0,346947018.0,Heroin dependence
Drug or alcohol misuse,231478008.0,346949015.0,Methadone dependence
Drug or alcohol misuse,231479000.0,346950015.0,Morphine dependence
Drug or alcohol misuse,231480002.0,346951016.0,Opium dependence
Drug or alcohol misuse,75544000.0,125472011.0,Unspecified opioid dependence
Drug or alcohol misuse,191819002.0,295154015.0,Continuous opioid dependence
Drug or alcohol misuse,191820008.0,295155019.0,Episodic opioid dependence
Drug or alcohol misuse,191821007.0,295156018.0,Opioid dependence in remission
Drug or alcohol misuse,75544000.0,125472011.0,Opioid drug dependence NOS
Drug or alcohol misuse,268640002.0,401791011.0,Hypnotic or anxiolytic dependence
Drug or alcohol misuse,231470001.0,346938014.0,Anxiolytic dependence
Drug or alcohol misuse,231472009.0,346941017.0,Barbiturate dependence
Drug or alcohol misuse,231473004.0,346942012.0,Benzodiazepine dependence
Drug or alcohol misuse,231474005.0,346943019.0,Diazepam dependence
Drug or alcohol misuse,231475006.0,346945014.0,Librium dependence
Drug or alcohol misuse,427327003.0,2673574010.0,Sedative dependence
Drug or alcohol misuse,231474005.0,346944013.0,Valium dependence
Drug or alcohol misuse,268640002.0,401791011.0,"Hypnotic or anxiolytic dependence, unspecified"
Drug or alcohol misuse,191825003.0,295168010.0,"Hypnotic or anxiolytic dependence, continuous"
Drug or alcohol misuse,191826002.0,295169019.0,"Hypnotic or anxiolytic dependence, episodic"
Drug or alcohol misuse,191827006.0,295170018.0,Hypnotic or anxiolytic dependence in remission
Drug or alcohol misuse,268640002.0,401791011.0,Hypnotic or anxiolytic dependence NOS
Drug or alcohol misuse,191829009.0,295172014.0,Cocaine type drug dependence
Drug or alcohol misuse,31956009.0,53398019.0,"Cocaine dependence, unspecified"
Drug or alcohol misuse,191831000.0,295176012.0,"Cocaine dependence, continuous"
Drug or alcohol misuse,191832007.0,295177015.0,"Cocaine dependence, episodic"
Drug or alcohol misuse,191833002.0,295178013.0,Cocaine dependence in remission
Drug or alcohol misuse,31956009.0,53398019.0,Cocaine drug dependence NOS
Drug or alcohol misuse,268641003.0,401793014.0,Cannabis type drug dependence
Drug or alcohol misuse,268641003.0,401793014.0,Hashish dependence
Drug or alcohol misuse,268641003.0,401793014.0,Hemp dependence
Drug or alcohol misuse,268641003.0,401793014.0,Marihuana dependence
Drug or alcohol misuse,85005007.0,140938016.0,"Cannabis dependence, unspecified"
Drug or alcohol misuse,191837001.0,295188014.0,"Cannabis dependence, continuous"
Drug or alcohol misuse,191838006.0,295189018.0,"Cannabis dependence, episodic"
Drug or alcohol misuse,191839003.0,295190010.0,Cannabis dependence in remission
Drug or alcohol misuse,85005007.0,140938016.0,Cannabis drug dependence NOS
Drug or alcohol misuse,442406005.0,2819716013.0,Amphetamine or other psychostimulant dependence
Drug or alcohol misuse,275471001.0,411458014.0,Psychostimulant dependence
Drug or alcohol misuse,275471001.0,411458014.0,Stimulant dependence
Drug or alcohol misuse,191816009.0,295145018.0,"Amphetamine or psychostimulant dependence, unspecified"
Drug or alcohol misuse,191816009.0,295145018.0,"Amfetamine or psychostimulant dependence, unspecified"
Drug or alcohol misuse,191843004.0,295198015.0,"Amphetamine or psychostimulant dependence, continuous"
Drug or alcohol misuse,191844005.0,295199011.0,"Amphetamine or psychostimulant dependence, episodic"
Drug or alcohol misuse,191845006.0,295200014.0,Amphetamine or psychostimulant dependence in remission
Drug or alcohol misuse,191816009.0,295145018.0,Amphetamine or psychostimulant dependence NOS
Drug or alcohol misuse,191816009.0,295145018.0,Amfetamine or psychostimulant dependence NOS
Drug or alcohol misuse,38247002.0,64025010.0,Hallucinogen dependence
Drug or alcohol misuse,231468005.0,346936013.0,LSD dependence
Drug or alcohol misuse,231468005.0,346935012.0,Lysergic acid diethylamide dependence
Drug or alcohol misuse,38247002.0,64025010.0,"Hallucinogen dependence, unspecified"
Drug or alcohol misuse,191849000.0,295208019.0,"Hallucinogen dependence, continuous"
