Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,22592012.0,Unspecified peptic ulcer without mention of complication
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,22592012.0,Unspecified peptic ulcer with haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,22592012.0,Unspecified peptic ulcer with haemorrhage and perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,22592012.0,Unspecified peptic ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,22592012.0,Peptic ulcer - (PU) site unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",64915003.0,107901016.0,Heart operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",73544002.0,865131000006110.0,Heart valve operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",585591000000109.0,865161000006118.0,Heart valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",37372002.0,62345010.0,Upper gastrointestinal hemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",78418002.0,130132018.0,Other parts of heart or pericardium operations OS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,22592012.0,Unspec peptic ulcer; unspec haemorrhage and/or perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,22592012.0,Stress ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2901004.0,1226276012.0,Altered blood in stools
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",405729008.0,2920724011.0,Blood in stools altered
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,1220929016.0,PUD - Peptic ulcer disease
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",405729008.0,2163134019.0,Bloody stool
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",37372002.0,486703016.0,Upper GI haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",13200003.0,22595014.0,Gastroduodenal ulcer
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",405729008.0,2920724011.0,Blood in stool
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",64915003.0,107901016.0,Cardiac operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",405729008.0,2163137014.0,Bright red blood per rectum
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",37372002.0,62348012.0,Upper GI bleeding
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",384643000.0,2536640016.0,Tricuspid valvoplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2901004.0,5912014.0,Tarry stools
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",37372002.0,1216567017.0,Upper GI - gastrointestinal haemorrhage
