Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Iron deficiency anaemia,6591000000100.0,2571000000119.0,Complete post-natal care
Iron deficiency anaemia,171106005.0,265147017.0,Screening invite -not attended
Iron deficiency anaemia,191128004.0,293864013.0,Iron deficiency anaemia due to dietary causes
Iron deficiency anaemia,413533008.0,2532901013.0,Iron deficiency anaemia due to chronic blood loss
Iron deficiency anaemia,87522002.0,507616014.0,Asiderotic anaemia
Iron deficiency anaemia,87522002.0,507616014.0,Iron deficiency anaemias
Iron deficiency anaemia,413533008.0,2532901013.0,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,234352004.0,351092018.0,Normocytic anaemia due to chronic blood loss
Iron deficiency anaemia,87522002.0,507616014.0,Sideropenic anaemia
Iron deficiency anaemia,80126007.0,132937017.0,Plummer - Vinson syndrome
Iron deficiency anaemia,87522002.0,507616014.0,[X]Other iron deficiency anaemias
Iron deficiency anaemia,80126007.0,132937017.0,Kelly-Paterson syndrome
Iron deficiency anaemia,87522002.0,507616014.0,Other specified iron deficiency anaemia NOS
Iron deficiency anaemia,87522002.0,507616014.0,Iron deficiency anaemia NOS
Iron deficiency anaemia,80875006.0,504528016.0,Achlorhydric anaemia
Iron deficiency anaemia,80126007.0,132937017.0,Kelly - Paterson syndrome
Iron deficiency anaemia,80126007.0,132937017.0,Plummer-Vinson syndrome
Iron deficiency anaemia,87522002.0,507616014.0,Unspecified iron deficiency anaemia
Iron deficiency anaemia,87522002.0,507623010.0,Chlorotic anaemia
Iron deficiency anaemia,87522002.0,507616014.0,Other specified iron deficiency anaemia
Iron deficiency anaemia,80126007.0,132939019.0,Sideropenic dysphagia
