Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Meniere disease,29904009.0,50047017.0,Lermoyez's syndrome
Meniere disease,13445001.0,710891000006111.0,Unspecified Meniere's disease
Meniere disease,13445001.0,475303017.0,Meniere's disease
Meniere disease,9794007.0,17117015.0,Endolymphatic hydrops
Meniere disease,29904009.0,2842581018.0,Lermoyez's syndrome
Meniere disease,13445001.0,2920410013.0,Unspecified Meniere's disease
Meniere disease,194348002.0,299160012.0,Active cochleovestibular Meniere's disease
Meniere disease,194349005.0,299161011.0,Active cochlear Meniere's disease
Meniere disease,194350005.0,299162016.0,Active vestibular Meniere's disease
Meniere disease,194351009.0,299163014.0,Inactive Meniere's disease
Meniere disease,13445001.0,178783019.0,Meniere's disease NOS
