Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Multiple sclerosis (and optic neuritis),24700007.0,41398015.0,Multiple sclerosis
Multiple sclerosis (and optic neuritis),24700007.0,1223979019.0,Disseminated sclerosis
Multiple sclerosis (and optic neuritis),192926004.0,297176011.0,Multiple sclerosis of the brain stem
Multiple sclerosis (and optic neuritis),192927008.0,297177019.0,Multiple sclerosis of the spinal cord
Multiple sclerosis (and optic neuritis),192928003.0,297179016.0,Generalised multiple sclerosis
Multiple sclerosis (and optic neuritis),192929006.0,297180018.0,Exacerbation of multiple sclerosis
Multiple sclerosis (and optic neuritis),438511000.0,2791037019.0,Benign multiple sclerosis
Multiple sclerosis (and optic neuritis),428700003.0,2692565012.0,Primary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),426373005.0,2674690012.0,Relapsing and remitting multiple sclerosis
Multiple sclerosis (and optic neuritis),425500002.0,2674605012.0,Secondary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),24700007.0,41398015.0,Multiple sclerosis NOS
