Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
"Neurotic, stress-related and somatoform disorders",191722009.0,882381000006115.0,Agoraphobia
"Neurotic, stress-related and somatoform disorders",56576003.0,94086016.0,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",386810004.0,420631000006114.0,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",1402001.0,2665410014.0,Fear
"Neurotic, stress-related and somatoform disorders",395017009.0,1488717011.0,C/O - panic attack
"Neurotic, stress-related and somatoform disorders",247845000.0,370038014.0,Specific fear
"Neurotic, stress-related and somatoform disorders",417676004.0,2549895012.0,O/E - panic attack
"Neurotic, stress-related and somatoform disorders",268957000.0,402503018.0,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",268958005.0,402505013.0,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",111475002.0,1219652011.0,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",197480006.0,303689015.0,Anxiety states
"Neurotic, stress-related and somatoform disorders",198288003.0,304838011.0,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",371631005.0,1210253015.0,Panic disorder
"Neurotic, stress-related and somatoform disorders",225624000.0,339044013.0,Panic attack
"Neurotic, stress-related and somatoform disorders",21897009.0,481154010.0,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",191708009.0,294960010.0,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",198288003.0,304838011.0,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",33693007.0,56251019.0,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",386810004.0,1491809016.0,Phobic disorders
"Neurotic, stress-related and somatoform disorders",25501002.0,42759014.0,Social phobic disorders
"Neurotic, stress-related and somatoform disorders",386810004.0,1491809016.0,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",386808001.0,1480928018.0,Phobia unspecified
"Neurotic, stress-related and somatoform disorders",191722009.0,294992011.0,Agoraphobia with panic attacks
"Neurotic, stress-related and somatoform disorders",61569007.0,102288011.0,Agoraphobia without mention of panic attacks
"Neurotic, stress-related and somatoform disorders",191724005.0,294994012.0,"Social phobia, fear of eating in public"
"Neurotic, stress-related and somatoform disorders",191725006.0,294995013.0,"Social phobia, fear of public speaking"
"Neurotic, stress-related and somatoform disorders",191726007.0,294996014.0,"Social phobia, fear of public washing"
"Neurotic, stress-related and somatoform disorders",54307006.0,1231321013.0,Animal phobia
