Condition,SnomedCTConceptId,SnomedCTDescriptionId,Term
Osteopathies and chondropathies,309745002.0,453226012.0,Osteoporosis localized to spine
Osteopathies and chondropathies,64859006.0,107806013.0,Osteoporosis
Osteopathies and chondropathies,64859006.0,107806013.0,"Osteoporosis, unspecified"
Osteopathies and chondropathies,18040001.0,30475015.0,Senile osteoporosis
Osteopathies and chondropathies,102447009.0,165682016.0,Postmenopausal osteoporosis
Osteopathies and chondropathies,203429007.0,312126010.0,Idiopathic osteoporosis
Osteopathies and chondropathies,53174001.0,88440018.0,Dissuse osteoporosis
Osteopathies and chondropathies,14651005.0,24883018.0,Drug-induced osteoporosis
Osteopathies and chondropathies,203433000.0,312133010.0,Postoophorectomy osteoporosis
Osteopathies and chondropathies,203434006.0,312134016.0,Postsurgical malabsorption osteoporosis
Osteopathies and chondropathies,203438009.0,312139014.0,Vertebral osteoporosis
Osteopathies and chondropathies,309745002.0,453225011.0,Osteoporosis localized to spine
Osteopathies and chondropathies,390833005.0,1484866013.0,Osteoporosis due to corticosteroids
Osteopathies and chondropathies,64859006.0,107806013.0,Osteoporosis NOS
Osteopathies and chondropathies,203444008.0,312156018.0,Postoophorectomy osteoporosis with pathological fracture
Osteopathies and chondropathies,203445009.0,312157010.0,Osteoporosis of disuse with pathological fracture
Osteopathies and chondropathies,203446005.0,312158017.0,Postsurgical malabsorption osteoporosis with path fracture
Osteopathies and chondropathies,203447001.0,312159013.0,Drug-induced osteoporosis with pathological fracture
Osteopathies and chondropathies,203448006.0,312160015.0,Idiopathic osteoporosis with pathological fracture
Osteopathies and chondropathies,203450003.0,312162011.0,Osteoporosis + pathological fracture lumbar vertebrae
Osteopathies and chondropathies,203451004.0,312163018.0,Osteoporosis + pathological fracture thoracic vertebrae
Osteopathies and chondropathies,203452006.0,312164012.0,Osteoporosis + pathological fracture cervical vertebrae
Osteopathies and chondropathies,203453001.0,312165013.0,Postmenopausal osteoporosis with pathological fracture
Osteopathies and chondropathies,311806008.0,455433012.0,Collapse of cervical vertebra due to osteoporosis
Osteopathies and chondropathies,311890007.0,455534015.0,Collapse of lumbar vertebra due to osteoporosis
Osteopathies and chondropathies,311891006.0,455535019.0,Collapse of thoracic vertebra due to osteoporosis
Osteopathies and chondropathies,240198002.0,2920899019.0,Collapse of vertebra due to osteoporosis NOS
Osteopathies and chondropathies,443165006.0,2837900019.0,Fragility fracture due to unspecified osteoporosis
Osteopathies and chondropathies,443165006.0,2837900019.0,Minimal trauma fracture due to unspecified osteoporosis
Osteopathies and chondropathies,203657009.0,312441019.0,Osteoporotic kyphosis
Osteopathies and chondropathies,443165006.0,2837900019.0,[X]Other osteoporosis with pathological fracture
Osteopathies and chondropathies,64859006.0,107806013.0,[X]Other osteoporosis
Osteopathies and chondropathies,64859006.0,107806013.0,[X]Osteoporosis in other disorders classified elsewhere
Osteopathies and chondropathies,443165006.0,2837900019.0,[X]Unspecified osteoporosis with pathological fracture
