Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,^ESCTEX301392,,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,71222,7122200,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,7122y,7122y00,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,7122z,7122z00,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,7122-1,7122.11,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,7122,7122.00,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,7122-98,7122.98,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,7122-99,7122.99,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,485064014,31904001,485064014,71224,7122400,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,266381013,172021003,266381013,71220,7122000,Bilateral adrenalectomy and transposition of adrenal tissue
Adrenal insufficiency and Addison's disease,266382018,302340005,443963019,71221,7122100,Bilateral adrenalectomy
Adrenal insufficiency and Addison's disease,286325014,186270000,286325014,^ESCTAD474131,,Tuberculosis of adrenal glands - Addison's disease
Adrenal insufficiency and Addison's disease,286325014,186270000,286325014,A176,A176.00,Tuberculosis of adrenal glands - Addison's disease
Adrenal insufficiency and Addison's disease,286325014,186270000,286325014,^ESCTTU474132,,Tuberculosis of adrenal glands - Addison's disease
Adrenal insufficiency and Addison's disease,286325014,186270000,286325014,^ESCTTU474129,,Tuberculosis of adrenal glands - Addison's disease
Adrenal insufficiency and Addison's disease,1491626013,386584007,1491626013,C154z,C154z00,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,1491626013,386584007,1491626013,C154z-2,C154z12,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,1491626013,386584007,1491626013,^ESCTHY645770,,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,1491626013,386584007,1491626013,^ESCTAD645769,,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,1491626013,386584007,1491626013,^ESCTAD645768,,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,1491626013,386584007,1491626013,C154,C154.00,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,C1540-1,C154011,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,^ESCT1248198,,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,C1540-2,C154012,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,C1546,C154600,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,C1540,C154000,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,^ESCTSE289712,,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,^ESCTAD289716,,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,^ESCT1248201,,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,24867002,41675016,^ESCT1248231,,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,C1540-1,C154011,Addisonian crisis
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,^ESCT1248198,,Addisonian crisis
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,C1540-2,C154012,Addisonian crisis
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,C1546,C154600,Addisonian crisis
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,C1540,C154000,Addisonian crisis
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,^ESCTSE289712,,Addisonian crisis
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,^ESCTAD289716,,Addisonian crisis
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,^ESCT1248201,,Addisonian crisis
Adrenal insufficiency and Addison's disease,460981000006112,24867002,41675016,^ESCT1248231,,Addisonian crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,C1540-1,C154011,Adrenal crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,^ESCT1248198,,Adrenal crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,C1540-2,C154012,Adrenal crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,C1546,C154600,Adrenal crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,C1540,C154000,Adrenal crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,^ESCTSE289712,,Adrenal crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,^ESCTAD289716,,Adrenal crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,^ESCT1248201,,Adrenal crisis
Adrenal insufficiency and Addison's disease,41676015,24867002,41675016,^ESCT1248231,,Adrenal crisis
Adrenal insufficiency and Addison's disease,485624014,363732003,485624014,C1541,C154100,Addison's disease
Adrenal insufficiency and Addison's disease,485624014,363732003,485624014,^ESCTAD625037,,Addison's disease
Adrenal insufficiency and Addison's disease,41677012,24867002,41675016,C1540-1,C154011,Addisonian crisis
