Condition,MedCodeId,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,ICD10Code,Term
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M050 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M061 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M058 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M080,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M064,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M063,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M068 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M068,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M081,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M062,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M052,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M063 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M058,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M062 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M059 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M059,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M069,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M060,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M052 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M053 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M069 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M45X,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M061,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M064 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M050,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M051 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M060 ,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M051,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,M053,Rheum. arth. - ankle/foot
Arthopathies,889751000006116.0,N040-92,N040.92,69896004.0,889751000006116.0,J990,Rheum. arth. - ankle/foot
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M050 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M061 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M058 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M080,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M064,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M063,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M068 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M068,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M081,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M062,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M052,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M063 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M058,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M062 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M059 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M059,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M069,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M060,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M052 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M053 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M069 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M45X,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M061,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M064 ,Rheum. arth. - elbow joint
Arthopathies,889801000006111.0,N040-97,N040.97,69896004.0,889801000006111.0,M050,Rheum. arth. - elbow joint
