Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Arthrosis,5140621000006112,239874001,359422017,^ESCTOA514062,,OA - Osteoarthritis of ankle
Arthrosis,889931000006113,396275006,889931000006113,N05z7-99,N05z799,Osteoarthritis - ankle/foot
Arthrosis,889881000006119,396275006,889881000006119,N05z2-99,N05z299,Osteoarthritis - elbow joint
Arthrosis,889901000006117,396275006,889901000006117,N05z4-99,N05z499,Osteoarthritis - hand joint
Arthrosis,889911000006119,396275006,889911000006119,N05z5-99,N05z599,Osteoarthritis - hip joint
Arthrosis,889921000006110,637091000000105,889921000006110,N05z6-99,N05z699,Osteoarthritis - knee joint
Arthrosis,889941000006115,666451000000100,889941000006115,N05z8-99,N05z899,Osteoarthritis - other joint
Arthrosis,889891000006116,396275006,889891000006116,N05z3-99,N05z399,Osteoarthritis - wrist joint
Arthrosis,889861000006112,201819000,889861000006112,N0502-99,N050299,Osteoarthritis -multiple joint
Arthrosis,889871000006117,666441000000103,889871000006117,N05z1-99,N05z199,Osteoarthritis -shoulder joint
Arthrosis,5140431000006112,239868001,359414012,^ESCTOS514043,,Osteoarthritis of finger joint
Arthrosis,359420013,239873007,1954201000006110,ESCTOS1,,Osteoarthritis of knee
Arthrosis,309896011,201829007,309881012,N0516,N051600,"Localised, primary osteoarthritis of the lower leg"
Arthrosis,12732531000006116,576511000000100,1280421000000111,^ESCT1273253,,"Osteoarthritis NOS, of elbow"
Arthrosis,12724851000006120,666441000000103,1462811000000116,^ESCT1272485,,"Osteoarthritis NOS, of shoulder region"
Arthrosis,12725571000006110,637091000000105,1403631000000115,^ESCT1272557,,"Osteoarthritis NOS, of the lower leg"
Arthrosis,12724861000006116,666451000000100,1462821000000110,^ESCT1272486,,"Osteoarthritis NOS, other specified site"
Arthrosis,1839121000006116,239863005,1839121000006116,EMISNQOS6,,Osteoarthritis of spinal facet joint
Arthrosis,5140281000006114,239862000,359399017,^ESCTPR514028,,Primary generalized osteoarthrosis
Arthrosis,255924016,164455009,255924016,2G26,2G26.00,O/E - hands - Heberden's nodes
Arthrosis,370721000000116,230771000000108,370721000000116,7P204,7P20400,Delivery of rehabilitation for osteoarthritis
Arthrosis,41261000006115,396275006,1776248011,N05,N05..00,Osteoarthritis and allied disorders
Arthrosis,1776248011,396275006,1776248011,N05-1,N05..11,Osteoarthritis
Arthrosis,800731000006117,201819000,309860012,N050,N050.00,Generalised osteoarthritis - OA
Arthrosis,309862016,201819000,309858010,N0500,N050000,Generalised osteoarthritis of unspecified site
Arthrosis,400175010,267889007,400175010,N0501,N050100,Generalised osteoarthritis of the hand
Arthrosis,819391000006114,371598009,1210227011,N0501-1,N050111,Heberdens' nodes
Arthrosis,523471000006111,20243008,480522017,N0501-2,N050112,Bouchards' nodes
Arthrosis,800751000006112,201819000,309854012,N0502,N050200,Generalised osteoarthritis of multiple sites
Arthrosis,523461000006116,20243008,480522017,N0503,N050300,Bouchard's nodes with arthropathy
Arthrosis,359399017,239862000,359394010,N0504,N050400,Primary generalized osteoarthrosis
Arthrosis,309876015,201825001,309876015,N0505,N050500,Secondary multiple arthrosis
Arthrosis,309877012,201826000,309877012,N0506,N050600,Erosive osteoarthrosis
Arthrosis,309878019,201827009,309878019,N0507,N050700,Heberden's nodes with arthropathy
Arthrosis,309880013,201819000,309860012,N050z,N050z00,Generalised osteoarthritis NOS
Arthrosis,309881012,201829007,309881012,N051,N051.00,"Localised, primary osteoarthritis"
Arthrosis,309884016,201829007,309881012,N0510,N051000,"Localised, primary osteoarthritis of unspecified site"
Arthrosis,309885015,201831003,309885015,N0511,N051100,"Localised, primary osteoarthritis of the shoulder region"
Arthrosis,309888018,313259008,457122015,N0512,N051200,"Localised, primary osteoarthritis of the upper arm"
Arthrosis,309889014,313257005,457118013,N0513,N051300,"Localised, primary osteoarthritis of the forearm"
Arthrosis,309892013,201834006,309892013,N0514,N051400,"Localised, primary osteoarthritis of the hand"
Arthrosis,736911000006116,201835007,309893015,N0515,N051500,"Localised, primary osteoarthritis of the pelvic region/thigh"
Arthrosis,309898012,201837004,309898012,N0517,N051700,"Localised, primary osteoarthritis of the ankle and foot"
Arthrosis,309899016,201829007,309881012,N0518,N051800,"Localised, primary osteoarthritis of other specified site"
Arthrosis,309901013,201839001,309901013,N0519,N051900,"Primary coxarthrosis, bilateral"
Arthrosis,309902018,201840004,309902018,N051A,N051A00,"Coxarthrosis resulting from dysplasia, bilateral"
Arthrosis,309903011,201841000,309903011,N051B,N051B00,"Primary gonarthrosis, bilateral"
Arthrosis,309904017,201842007,309904017,N051C,N051C00,"Primary arthrosis of first carpometacarpal joints, bilateral"
Arthrosis,457118013,313257005,457118013,N051D,N051D00,"Localised, primary osteoarthritis of the wrist"
Arthrosis,457122015,313259008,457122015,N051F,N051F00,"Localised, primary osteoarthritis of elbow"
Arthrosis,359402016,239863005,359402016,N051G,N051G00,Osteoarthritis of spinal facet joint
Arthrosis,309911018,201829007,309881012,N051z,N051z00,"Localised, primary osteoarthritis NOS"
Arthrosis,309914014,201847001,309914014,N052,N052.00,"Localised, secondary osteoarthritis"
Arthrosis,309915010,201847001,309913015,N0520,N052000,"Localised, secondary osteoarthritis of unspecified site"
Arthrosis,309918012,201849003,309918012,N0521,N052100,"Localised, secondary osteoarthritis of the shoulder region"
Arthrosis,309919016,201847001,309913015,N0522,N052200,"Localised, secondary osteoarthritis of the upper arm"
Arthrosis,309922019,201847001,309913015,N0523,N052300,"Localised, secondary osteoarthritis of the forearm"
Arthrosis,309923012,201852006,309923012,N0524,N052400,"Localised, secondary osteoarthritis of the hand"
Arthrosis,736171000006110,267890003,400176011,N0525,N052500,"Localised, secondary osteoarthritis of pelvic region/thigh"
Arthrosis,91728013,55176002,91728013,N0525-1,N052511,Coxae malum senilis
Arthrosis,309930018,201847001,309913015,N0526,N052600,"Localised, secondary osteoarthritis of the lower leg"
