Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Cataract,3390661000006113,54885007,91237012,^ESCTCA339066,,Cataract extraction
Cataract,859771000006116,538661000000100,859771000006116,7266z-99,7266z99,Cataract extraction unspec.
Cataract,2718741000006113,13793006,1221016013,^ESCTEX271874,,Extracapsular cataract extraction
Cataract,883311000006115,193600001,883311000006115,F463-99,F463.99,Secondary cataract
Cataract,859751000006114,172532006,859751000006114,72654-99,7265499,YAG laser post capsulotomy
Cataract,3741271000006115,76309006,126733015,^ESCTCA374127,,Cataract with neovascularization
Cataract,2472224012,47337003,78919019,F4K34-1,F4K3411,Posterior capsule opacification
Cataract,253774010,162811006,253774010,22E5,22E5.00,O/E - cataract present
Cataract,451393017,308088006,451393017,2BT0,2BT0.00,O/E - Right cataract present
Cataract,451394011,308089003,451394011,2BT1,2BT1.00,O/E - Left cataract present
Cataract,659551000006113,13793006,23515018,7263-2,7263.12,Extracapsular extraction of cataract
Cataract,495988011,5130002,495988011,72630-1,7263011,Needling of lens for cataract
Cataract,267088016,172523009,267088016,7264-1,7264.11,Intracapsular extraction of cataract
Cataract,410918012,54885007,91232018,7266-1,7266.11,Other extraction of cataract
Cataract,495989015,5130002,495989015,72661,7266100,Discission of cataract
Cataract,84321000006114,421920002,2618234016,C108F-2,C108F12,Type 1 diabetes mellitus with diabetic cataract
Cataract,913891000006113,43959009,73294018,C10EF-2,C10EF12,Insulin dependent diabetes mellitus with diabetic cataract
Cataract,298076010,193570009,298076010,F46,F46..00,Cataract
Cataract,298078011,193571008,298078011,F460,F460.00,"Infantile, juvenile and presenile cataracts"
Cataract,298079015,193570009,298076010,F4600,F460000,Unspecified infantile cataract
Cataract,298080017,193570009,298076010,F4601,F460100,Unspecified juvenile cataract
Cataract,298081018,399305009,1778757011,F4602,F460200,Unspecified presenile cataract
Cataract,3463017,1412008,3463017,F4603,F460300,Anterior subcapsular polar cataract
Cataract,57632013,34533008,57632013,F4604,F460400,Posterior subcapsular polar cataract
Cataract,298083015,193576003,298083015,F4605,F460500,Cortical cataract
Cataract,298084014,193577007,298084014,F4606,F460600,Lamellar zonular cataract
Cataract,89579016,53889007,89579016,F4607,F460700,Nuclear cataract
Cataract,298086011,193579005,298086011,F460x,F460x00,Combined nonsenile cataract
Cataract,298087019,193571008,298078011,F460y,F460y00,Other nonsenile cataract
Cataract,298088012,193571008,298078011,F460z,F460z00,Nonsenile cataract NOS
Cataract,66160017,39450006,66160017,F461,F461.00,Senile cataract
