Condition,MedCodeId,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,ICD10Code,Term
Cerebrovascular diseases,493147010.0,434,434..00,41902000.0,493147010.0,,Blood cross-matching
Cerebrovascular diseases,257730012.0,433,433..00,365641003.0,488947014.0,,Minor blood groups
Cerebrovascular diseases,437761000006110.0,431,431..00,991901000000101.0,2567581000000118.0,,ABO blood grouping
Cerebrovascular diseases,122371000006118.0,G61-2,G61..12,274100004.0,409860011.0,S068,Stroke due to intracerebral haemorrhage
Cerebrovascular diseases,122371000006118.0,G61-2,G61..12,274100004.0,409860011.0,P524,Stroke due to intracerebral haemorrhage
Cerebrovascular diseases,122371000006118.0,G61-2,G61..12,274100004.0,409860011.0,I619,Stroke due to intracerebral haemorrhage
Cerebrovascular diseases,122371000006118.0,G61-2,G61..12,274100004.0,409860011.0,I618,Stroke due to intracerebral haemorrhage
Cerebrovascular diseases,495394013.0,G610,G610.00,49422009.0,495394013.0,I611,Cortical haemorrhage
Cerebrovascular diseases,300322016.0,G6410,G641000,195190007.0,300322016.0,I634,Cerebral infarction due to embolism of cerebral arteries
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G463,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G468 ,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G463 ,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G466 ,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G468,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G460 ,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,I680,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G466,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G467 ,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G464 ,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G460,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,I681 ,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,300290016.0,G62,G62..00,62914000.0,104563015.0,G462 ,Other and unspecified intracranial haemorrhage
