Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Chronic viral hepatitis,487571000006116,487571000006100,487571000006116,,,Antigen Positive Viral Hepatitis B
Chronic viral hepatitis,1976991000006119,1976991000006103,1976991000006119,,,Hepatitis A total antibody test positive
Chronic viral hepatitis,1977011000006112,1977011000006108,1977011000006112,,,Hepatitis B surface antibody test positive
Chronic viral hepatitis,994021000006115,994021000006104,994021000006115,,,Hepatitis C positive
Chronic viral hepatitis,1761241000006114,1761241000006105,1761241000006114,,,[SHHAPT] Viral hepatitis B (HbsAg positive) - first diagnosis
Chronic viral hepatitis,1676391000006116,1676391000006100,1676391000006116,,,hepatitis c pcr positive
Chronic viral hepatitis,1756531000006116,1756531000006100,1756531000006116,,,hepatitis c resolved
Chronic viral hepatitis,1686831000000111,761381000000102,1686831000000111,2126700,2126700,Hepatitis C resolved
Chronic viral hepatitis,820791000006114,165806002,257840015,43B4.00,43B4.00,Hepatitis B surface antig +ve
Chronic viral hepatitis,257841016,165807006,257841016,43B5.00,43B5.00,Hepatitis e antigen present
Chronic viral hepatitis,459095018,314706002,459095018,43X3.00,43X3.00,Hepatitis C antibody test positive
Chronic viral hepatitis,1786403019,1030511000000102,2595451000000116,43j5.00,43j5.00,Hepatitis C nucleic acid detection
Chronic viral hepatitis,1786360015,1031571000000101,2595441000000119,43jG.00,43jG.00,Hepatitis B nucleic acid detection
Chronic viral hepatitis,1488891017,992751000000109,2576171000000118,4J3B.00,4J3B.00,Hepatitis C viral load
Chronic viral hepatitis,354081000000114,222531000000101,354081000000114,4J3D.00,4J3D.00,Hepatitis B viral load
Chronic viral hepatitis,1783609017,992771000000100,2581311000000111,4JQ3.00,4JQ3.00,Hepatitis C virus genotype
Chronic viral hepatitis,1766481000006112,760421000000100,1681741000000116,4JQD.00,4JQD.00,Hepatitis C viral ribonucleic acid PCR positive
Chronic viral hepatitis,1739601000000111,760421000000100,1739601000000111,4JQD.11,4JQD.11,Hepatitis C PCR positive
Chronic viral hepatitis,2118321000000118,812181000000106,2118321000000118,4JQF.00,4JQF.00,Hepatitis C antigen positive
Chronic viral hepatitis,350841000000119,221021000000103,350841000000119,7Q05200,7Q05200,Hepatitis B treatment drugs Band 1
Chronic viral hepatitis,2155841000000118,829241000000108,2155841000000118,8BB5.00,8BB5.00,12 week virologic response to hepatitis C treatment
Chronic viral hepatitis,1680661000006114,362751000000101,683911000000119,9kV..00,9kV..00,Hepatitis C screening positive - enhanced services admin
Chronic viral hepatitis,683911000000119,362751000000101,683911000000119,9kV..11,9kV..11,Hepatitis C screening positive
Chronic viral hepatitis,1680701000006118,355741000000101,1154311000000113,9kX..00,9kX..00,Hepatitis status 6 months post treatment - enhanced serv adm
Chronic viral hepatitis,1680731000006114,356121000000100,728581000000110,9kZ..00,9kZ..00,Hepatitis B screening positive - enhanced services admin
Chronic viral hepatitis,669601000000113,356121000000100,669601000000113,9kZ..11,9kZ..11,Hepatitis B screening positive
Chronic viral hepatitis,61061000006116,66071002,109733012,A703.00,A703.00,Viral (serum) hepatitis B
Chronic viral hepatitis,286871011,50711007,84513012,A705000,A705000,Viral hepatitis C without mention of hepatic coma
Chronic viral hepatitis,17930015,10295004,17930015,A707.00,A707.00,Chronic viral hepatitis
Chronic viral hepatitis,353580016,235869004,353580016,A707000,A707000,Chronic viral hepatitis B with delta-agent
Chronic viral hepatitis,286879013,186639003,286879013,A707100,A707100,Chronic viral hepatitis B without delta-agent
Chronic viral hepatitis,557071000006112,128302006,206586011,A707200,A707200,Chronic viral hepatitis C
Chronic viral hepatitis,1232261014,61977001,1232261014,A707300,A707300,Chronic viral hepatitis B
Chronic viral hepatitis,557081000006110,10295004,17930015,A707X00,A707X00,"Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,2146441000000112,824841000000105,2146441000000112,A70A.00,,Hepatitis C genotype 1
Chronic viral hepatitis,2146461000000114,824851000000108,2146461000000114,A70B.00,A70B.00,Hepatitis C genotype 2
Chronic viral hepatitis,2146501000000114,824871000000104,2146501000000114,A70C.00,A70C.00,Hepatitis C genotype 3
Chronic viral hepatitis,2146521000000116,824881000000102,2146521000000116,A70D.00,,Hepatitis C genotype 4
Chronic viral hepatitis,84516016,50711007,84516016,A70z000,A70z000,Hepatitis C
Chronic viral hepatitis,288169017,10295004,17930015,AyuB100,AyuB100,[X]Other chronic viral hepatitis
Chronic viral hepatitis,288170016,10295004,17930015,AyuB200,AyuB200,"[X]Chronic viral hepatitis, unspecified"
