Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Dermatitis and eczema,889161000006118,24079001,889161000006118,,,Atopic eczema/dermatitis
Dermatitis and eczema,889191000006114,584621000000108,889191000006114,,,Atopic eczema/dermatitis NOS
Dermatitis and eczema,889251000006111,684861000000105,889251000006111,,,Chronic Eczema
Dermatitis and eczema,889211000006110,23012005,889211000006110,,,Contact dermatitis : solvents
Dermatitis and eczema,889201000006112,666631000000109,889201000006112,,,Contact dermatitis/eczema
Dermatitis and eczema,889221000006119,584651000000103,889221000006119,,,Contact dermatitis: chemicals
Dermatitis and eczema,889231000006116,200821000,889231000006116,,,Contact dermatitis:food/plants
Dermatitis and eczema,154630014,93423006,883471000006116,,,Dermatitis of eyelid
Dermatitis and eczema,889171000006113,24079001,889171000006113,,,Dermatitis/eczemas
Dermatitis and eczema,889151000006115,24079001,889151000006115,,,Dermatitis/eczemas NOS
Dermatitis and eczema,889381000006113,675491000000105,889381000006113,,,Dermatoses NOS
Dermatitis and eczema,889391000006111,603351000000104,889391000006111,,,Dermatoses NOS
Dermatitis and eczema,885291000006115,389145006,885291000006115,,,Extrinsic asthma - atopy
Dermatitis and eczema,358088015,238932004,358088015,,,Genital lichen sclerosus
Dermatitis and eczema,6859231000006111,414492009,2534172017,,,Infective eczematoid dermatitis
Dermatitis and eczema,6663041000006112,402276007,1781440014,,,Irritant contact dermatitis due to incontinence
Dermatitis and eczema,2910831000006115,25674000,196453012,,,Lichen sclerosus
Dermatitis and eczema,4790781000006113,198033005,304496019,,,Lichen sclerosus of penis
Dermatitis and eczema,3373991000006110,53891004,89585011,,,Lichen simplex chronicus
Dermatitis and eczema,982441000006111,982441000006107,982441000006111,,,Lichenified skin
Dermatitis and eczema,889181000006111,238585003,889181000006111,,,Neurodermatitis
Dermatitis and eczema,853841000006115,853841000006104,853841000006115,,,Nickel dermatitis
Dermatitis and eczema,1675561000006111,235049008,352261014,,,Oral lichen planus
Dermatitis and eczema,889511000006112,608901000000107,889511000006112,,,Pompholyx
Dermatitis and eczema,6667221000006118,402567004,2536678019,,,Pompholyx eczema
Dermatitis and eczema,3318721000006113,50563003,84228013,,,Seborrheic dermatitis
Dermatitis and eczema,889121000006112,50563003,889121000006112,,,Seborrhoeic dermat/eczema NOS
Dermatitis and eczema,889131000006110,50563003,889131000006110,,,Seborrhoeic dermatitis/eczema
Dermatitis and eczema,905661000006119,905661000006103,905661000006119,,,[RFC] Eczema
Dermatitis and eczema,939541000006111,939541000006107,939541000006111,,,[RFC] Eczema
Dermatitis and eczema,12733251000006118,584621000000108,1297201000000115,,,atopic dermatitis nos
Dermatitis and eczema,6662121000006114,402222007,1787525019,,,cheiropompholyx
Dermatitis and eczema,12724891000006112,666631000000109,1463201000000111,,,contact dermatitis and other eczemas
Dermatitis and eczema,12733261000006116,584651000000103,1297251000000119,,,contact dermatitis due to other chemical products
Dermatitis and eczema,3148031000006112,40275004,1494721011,,,contact eczema
Dermatitis and eczema,2547311000006117,3014005,484504011,,,cutaneous autosensitization
