Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Diabetes,1667921000000117,713703005,3698412014,,C10FR11,Type II diabetes mellitus with gastroparesis
Diabetes,84531000006118,420436000,2618201018,,C109A12,type 2 diabetes mellitus with mononeuropathy
Diabetes,84541000006111,190388001,292577016,,C109312,type 2 diabetes mellitus with multiple complications
Diabetes,84641000006112,313436004,457329019,,C109912,type 2 diabetes mellitus without complication
Diabetes,459311019,314903002,459311019,,C10FG11,type ii diabetes mellitus with arthropathy
Diabetes,292582011,421631007,2618206011,,C10F511,type ii diabetes mellitus with gangrene
Diabetes,84911000006119,190388001,292576013,,C109311,type ii diabetes mellitus with multiple complications
Diabetes,914271000006114,420279001,3013392012,,C10FC11,type ii diabetes mellitus with nephropathy
Diabetes,12702411000006116,421326000,84931000006113,,,type ii diabetes mellitus with neurological complications
Diabetes,12702421000006112,422099009,12702421000006112,,,type ii diabetes mellitus with ophthalmic complications
Diabetes,459306016,314902007,459306016,,C10FF11,type ii diabetes mellitus with peripheral angiopathy
Diabetes,85011000006119,313436004,457330012,,C109911,type ii diabetes mellitus without complication
Diabetes,84471000006119,44054006,197761014,C109.12,C109.12,Type 2 diabetes mellitus
Diabetes,84841000006113,44054006,493774016,C109.13,C109.13,Type II diabetes mellitus
Diabetes,84981000006114,420279001,3013392012,C109011,C109011,Type II diabetes mellitus with renal complications
Diabetes,84611000006113,420279001,2618208012,C109012,C109012,Type 2 diabetes mellitus with renal complications
Diabetes,84951000006118,422099009,3698440016,C109111,C109111,Type II diabetes mellitus with ophthalmic complications
Diabetes,84581000006117,422099009,3698440016,C109112,C109112,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,84931000006113,421326000,3695406015,C109211,C109211,Type II diabetes mellitus with neurological complications
Diabetes,84561000006110,421326000,3695406015,C109212,C109212,Type 2 diabetes mellitus with neurological complications
Diabetes,85001000006117,190389009,292581016,C109411,C109411,Type II diabetes mellitus with ulcer
Diabetes,84631000006119,190389009,292579018,C109412,C109412,Type 2 diabetes mellitus with ulcer
Diabetes,84881000006119,421631007,2618206011,C109511,C109511,Type II diabetes mellitus with gangrene
Diabetes,84511000006112,421631007,2618206011,C109512,C109512,Type 2 diabetes mellitus with gangrene
Diabetes,84991000006112,422034002,3699410014,C109611,C109611,Type II diabetes mellitus with retinopathy
Diabetes,84621000006117,422034002,3699410014,C109612,C109612,Type 2 diabetes mellitus with retinopathy
Diabetes,84851000006110,443694000,2921019012,C109711,C109711,Type II diabetes mellitus - poor control
Diabetes,84481000006116,443694000,2921019012,C109712,C109712,Type 2 diabetes mellitus - poor control
Diabetes,84901000006117,420436000,3697667019,C109A11,C109A11,Type II diabetes mellitus with mononeuropathy
Diabetes,84971000006111,713706002,3297353013,C109B11,C109B11,Type II diabetes mellitus with polyneuropathy
Diabetes,84921000006110,420279001,3013392012,C109C11,C109C11,Type II diabetes mellitus with nephropathy
Diabetes,84551000006113,420279001,3035432019,C109C12,C109C12,Type 2 diabetes mellitus with nephropathy
Diabetes,84891000006116,719216001,3316336015,C109D11,C109D11,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,84521000006116,719216001,3316336015,C109D12,C109D12,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,84871000006117,420756003,3688522015,C109E11,C109E11,Type II diabetes mellitus with diabetic cataract
Diabetes,84501000006114,420756003,3688522015,C109E12,C109E12,Type 2 diabetes mellitus with diabetic cataract
Diabetes,84961000006116,314902007,459306016,C109F11,C109F11,Type II diabetes mellitus with peripheral angiopathy
Diabetes,84591000006119,314902007,459308015,C109F12,C109F12,Type 2 diabetes mellitus with peripheral angiopathy
Diabetes,84861000006112,314903002,459311019,C109G11,C109G11,Type II diabetes mellitus with arthropathy
Diabetes,84491000006118,314903002,459310018,C109G12,C109G12,Type 2 diabetes mellitus with arthropathy
Diabetes,84941000006115,314904008,459312014,C109H11,C109H11,Type II diabetes mellitus with neuropathic arthropathy
Diabetes,84571000006115,314904008,459313016,C109H12,C109H12,Type 2 diabetes mellitus with neuropathic arthropathy
Diabetes,840951000006119,237599002,2967820013,C109J00,C109J00,Insulin treated Type 2 diabetes mellitus
Diabetes,841351000006110,237599002,1223147012,C109J12,C109J12,Insulin treated Type II diabetes mellitus
Diabetes,850691000006118,395204000,1488898011,C109K00,C109K00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,197761014,44054006,197761014,C10F.00,C10F.00,Type 2 diabetes mellitus
Diabetes,493774016,44054006,493774016,C10F.11,C10F.11,Type II diabetes mellitus
Diabetes,914031000006118,420279001,2618208012,C10F000,C10F000,Type 2 diabetes mellitus with renal complications
Diabetes,914041000006111,420279001,3013392012,C10F011,C10F011,Type II diabetes mellitus with renal complications
Diabetes,914051000006113,422099009,3698440016,C10F100,C10F100,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,914071000006115,421326000,3695406015,C10F200,C10F200,Type 2 diabetes mellitus with neurological complications
Diabetes,914081000006117,421326000,3695406015,C10F211,C10F211,Type II diabetes mellitus with neurological complications
Diabetes,292577016,190388001,292577016,C10F300,C10F300,Type 2 diabetes mellitus with multiple complications
Diabetes,292576013,190388001,292576013,C10F311,C10F311,Type II diabetes mellitus with multiple complications
Diabetes,292579018,190389009,292579018,C10F400,C10F400,Type 2 diabetes mellitus with ulcer
Diabetes,292581016,190389009,292581016,C10F411,C10F411,Type II diabetes mellitus with ulcer
Diabetes,292583018,421631007,2618206011,C10F500,C10F500,Type 2 diabetes mellitus with gangrene
Diabetes,914151000006112,422034002,3699410014,C10F600,C10F600,Type 2 diabetes mellitus with retinopathy
Diabetes,914161000006114,422034002,3699410014,C10F611,C10F611,Type II diabetes mellitus with retinopathy
Diabetes,292590011,443694000,2921019012,C10F700,C10F700,Type 2 diabetes mellitus - poor control
Diabetes,292589019,443694000,2921019012,C10F711,C10F711,Type II diabetes mellitus - poor control
Diabetes,457329019,313436004,457329019,C10F900,C10F900,Type 2 diabetes mellitus without complication
Diabetes,457330012,313436004,457330012,C10F911,C10F911,Type II diabetes mellitus without complication
Diabetes,914221000006113,420436000,2618201018,C10FA00,C10FA00,Type 2 diabetes mellitus with mononeuropathy
Diabetes,914231000006111,420436000,3697667019,C10FA11,C10FA11,Type II diabetes mellitus with mononeuropathy
Diabetes,914241000006118,713706002,3297353013,C10FB00,C10FB00,Type 2 diabetes mellitus with polyneuropathy
Diabetes,914251000006116,713706002,3297353013,C10FB11,C10FB11,Type II diabetes mellitus with polyneuropathy
Diabetes,914261000006119,420279001,3035432019,C10FC00,C10FC00,Type 2 diabetes mellitus with nephropathy
Diabetes,459167016,719216001,3316336015,C10FD00,C10FD00,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,459169018,719216001,3316336015,C10FD11,C10FD11,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,914301000006111,420756003,3688522015,C10FE00,C10FE00,Type 2 diabetes mellitus with diabetic cataract
Diabetes,914311000006114,420756003,3688522015,C10FE11,C10FE11,Type II diabetes mellitus with diabetic cataract
Diabetes,459308015,314902007,459308015,C10FF00,C10FF00,Type 2 diabetes mellitus with peripheral angiopathy
Diabetes,459310018,314903002,459310018,C10FG00,C10FG00,Type 2 diabetes mellitus with arthropathy
Diabetes,459313016,314904008,459313016,C10FH00,C10FH00,Type 2 diabetes mellitus with neuropathic arthropathy
Diabetes,914391000006116,237599002,2967820013,C10FJ00,C10FJ00,Insulin treated Type 2 diabetes mellitus
Diabetes,1223147012,237599002,1223147012,C10FJ11,C10FJ11,Insulin treated Type II diabetes mellitus
Diabetes,1488898011,395204000,1488898011,C10FK00,C10FK00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,928541000006117,421986006,2967751013,C10FL00,C10FL00,Type 2 diabetes mellitus with persistent proteinuria
Diabetes,928551000006115,421986006,2967751013,C10FL11,C10FL11,Type II diabetes mellitus with persistent proteinuria
Diabetes,928561000006118,420715001,2967769016,C10FM00,C10FM00,Type 2 diabetes mellitus with persistent microalbuminuria
Diabetes,928571000006113,420715001,2967769016,C10FM11,C10FM11,Type II diabetes mellitus with persistent microalbuminuria
Diabetes,928581000006111,421750000,2967754017,C10FN00,C10FN00,Type 2 diabetes mellitus with ketoacidosis
Diabetes,928601000006118,421847006,2618218019,C10FP00,C10FP00,Type 2 diabetes mellitus with ketoacidotic coma
Diabetes,938321000006116,421779007,2618237011,C10FQ00,C10FQ00,Type 2 diabetes mellitus with exudative maculopathy
Diabetes,299621000000117,713703005,3698412014,C10FR00,C10FR00,Type 2 diabetes mellitus with gastroparesis
Diabetes,8082941000006118,276651000000107,1676151000000117,,,Attended DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme
Diabetes,8082951000006115,276651000000107,474071000000116,,,Attended diabetes education and self management for ongoing and newly diagnosed structured programme
Diabetes,1873301000006114,1873301000006104,1873301000006114,,,Care contact service: diabetes
Diabetes,8098341000006115,306501000000105,1678371000000113,,,DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme completed
Diabetes,6953901000006115,420422005,3303994013,,,DKA - diabetic ketoacidosis
Diabetes,881501000006110,230572002,881501000006110,,C106.99,Diabetes + neuropathy
Diabetes,1918361000006116,1918361000006100,1918361000006116,,,Diabetes care planning test results sent to patient
Diabetes,1877371000006111,1877371000006107,1877371000006111,,,Diabetes clinical management plan no longer in place
Diabetes,881441000006111,73211009,881441000006111,,C100099,Diabetes mellitus - juvenile
Diabetes,881451000006113,532411000000102,881451000006113,,C100199,Diabetes mellitus -adult onset
Diabetes,1823921000006119,1823921000006103,1823921000006119,,,Diabetes mellitus confirmed
Diabetes,1823471000006110,1823471000006106,1823471000006110,,,Diabetes mellitus high risk review
Diabetes,881461000006110,420422005,881461000006110,,C101.99,Diabetes+ketoacidosis -no coma
Diabetes,856531000006119,856531000006103,856531000006119,,,Diabetic - GP eye check
Diabetes,856551000006114,856551000006105,856551000006114,,,Diabetic - hospital eye check
Diabetes,616891000006119,616891000006103,616891000006119,,,Diabetic - moderate control
Diabetes,1876341000006116,1876341000006100,1876341000006116,,,Diabetic 3 month review
Diabetes,1842001000006118,1842001000006102,1842001000006118,,,Diabetic annual review by practice nurse
Diabetes,3319861000006118,50620007,84344019,,,Diabetic autonomic neuropathy
Diabetes,1841461000006118,1841461000006102,1841461000006118,,,Diabetic foot screening invitation letter
Diabetes,6953861000006110,420422005,2616611010,,,Diabetic ketoacidosis
Diabetes,178798017,111556005,178798017,,,Diabetic ketoacidosis without coma
Diabetes,4808921000006113,201724008,309740011,,,Diabetic neuropathic arthropathy
Diabetes,1780981000006115,1780981000006104,1780981000006115,,,Diabetic on non-insulin injectable
Diabetes,1804191000006114,1804191000006104,1804191000006114,,,Diabetic retinopathy screen done by optician
Diabetes,1839671000006112,1839671000006108,1839671000006112,,,Diabetic short review
Diabetes,1682801000006113,1682801000006109,1682801000006113,,,Diabetic sick day rules advice
Diabetes,8099311000006114,307171000000108,548011000000114,,,Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme
Diabetes,2249991000000118,870761000000105,2249991000000118,,8HgZ.00,Discharge from in-house diabetic foot screening
Diabetes,1994041000006110,1994041000006106,1994041000006110,,,High risk of diabetes mellitus annual review declined
Diabetes,2249871000000112,870701000000106,2249871000000112,,,In-house diabetic foot screening first appointment
Diabetes,2249951000000114,870741000000109,2249951000000114,,9NJy100,In-house diabetic foot screening follow-up appointment
Diabetes,1673591000006119,1673591000006103,1673591000006119,,,Ineligib for diab. eye screening: Learning or mental disability
Diabetes,1583901000006115,1583901000006104,1583901000006115,,,Ineligibility for diab. eye screen: Blind (screening contraind)
Diabetes,1583851000006113,1583851000006109,1583851000006113,,,Ineligibility for diab. eye screen: Discharged for other reason
Diabetes,1583881000006117,1583881000006101,1583881000006117,,,Ineligibility for diab. eye screening: Declined to participate
Diabetes,851051000006110,851051000006106,851051000006110,,,Ins-treat non-ins-dep diab mel
Diabetes,1947161000006114,956921000000109,2439751000000110,,9Na5200,Joint consultation GP & community diabetes specialist nurse
Diabetes,856611000006114,856611000006105,856611000006114,,,Laser treated diabetic retinopathy
Diabetes,856661000006112,856661000006108,856661000006112,,,Left diabetic foot active ulceration
Diabetes,856671000006117,856671000006101,856671000006117,,,Left diabetic foot high risk
Diabetes,856691000006116,856691000006100,856691000006116,,,Left diabetic foot low current risk
Diabetes,856681000006119,856681000006103,856681000006119,,,Left diabetic foot moderate risk
Diabetes,856631000006115,856631000006104,856631000006115,,,Left laser treated diabetic retinopathy
Diabetes,857031000006113,857031000006109,857031000006113,,,Left non-proliferative diabetic retinopathy
Diabetes,856621000006118,856621000006102,856621000006118,,,Left proliferative diabetic retinopathy
Diabetes,2014951000006115,2014951000006104,2014951000006115,,,New diabetic foot ulcer
Diabetes,1694761000006113,405749004,2157525015,,,Newly diagnosed diabetes
Diabetes,1621011000006115,1621011000006104,1621011000006115,,,No evidence of diabetic peripheral neuropathy
Diabetes,887971000006115,199223000,887971000006115,,L180.99,Preg.+ diabetes mellitus
Diabetes,6022721000006112,312907002,456707011,,,Proliferative diabetic retinopathy - high risk
Diabetes,902201000006112,293190009,902201000006112,,TJ23.99,Reaction: insulin/antidiabetic
Diabetes,1850931000006111,1850931000006107,1850931000006111,,,Reason for influenza vaccine - diabetes mellitus
Diabetes,8098931000006110,306741000000104,546911000000114,,,Referral to diabetes education and self management for ongoing and newly diagnosed diabetes structured programme
Diabetes,1775381000006118,1775381000006102,1775381000006118,,,Referred to Diabetes Service
Diabetes,857691000006119,857691000006103,857691000006119,,,Right diabetic foot active ulceration
Diabetes,857721000006112,857721000006108,857721000006112,,,Right diabetic foot high risk
Diabetes,857761000006118,857761000006102,857761000006118,,,Right diabetic foot low current risk
Diabetes,857741000006117,857741000006101,857741000006117,,,Right diabetic foot moderate risk
Diabetes,857421000006119,857421000006103,857421000006119,,,Right laser treated diabetic retinopathy
Diabetes,857971000006110,857971000006106,857971000006110,,,Right non-proliferative diabetic retinopathy
Diabetes,857981000006113,857981000006109,857981000006113,,,Right preproliferative diabetic retinopathy
Diabetes,857411000006110,857411000006106,857411000006110,,,Right proliferative diabetic retinopathy
Diabetes,356078011,237601000,356078011,,,Secondary endocrine diabetes mellitus
Diabetes,2586611000000113,720685006,3320858019,,,Seen by diabetes specialist nurse
Diabetes,1773381000006119,1773381000006103,1773381000006119,,,Seen in in-house nurse-led diabetic clinic
Diabetes,987441000006113,987441000006109,987441000006113,,,Six month diabetic review
Diabetes,2586731000000110,1024571000000100,2586731000000110,,,Under care of community-based diabetes specialist nurse
Diabetes,2586691000000116,1024551000000109,2586691000000116,,,Under care of hospital-based diabetes specialist nurse
Diabetes,2493341000000118,980351000000105,2493341000000118,,38VP.00,Young Townson FootSkin Scale for Diabetic Neuropathy
Diabetes,905621000006113,905621000006109,905621000006113,,,[RFC] Diabetes
Diabetes,908831000006118,908831000006102,908831000006118,,,[RFC] Diabetes mellitus
Diabetes,910501000006113,910501000006109,910501000006113,,,[RFC] Diabetic foot ulcer
Diabetes,906711000006116,906711000006100,906711000006116,,,[RFC] Diabetic foot/leg ulcer
Diabetes,910491000006117,910491000006101,910491000006117,,,[RFC] Diabetic leg ulcer
