Condition,MedCodeId,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,ICD10Code,Term
"Disease of arteries, arterioles and capilleries",3830431000006112.0,^ESCTAT383043,,81817003.0,2923328010.0,I700,Atherosclerosis aorta
"Disease of arteries, arterioles and capilleries",5057931000006110.0,^ESCTAO505793,,233956002.0,350530011.0,I700,Aortoiliac atherosclerosis
"Disease of arteries, arterioles and capilleries",218531000000113.0,G700,G700.00,81817003.0,135728018.0,I700,Aortic atherosclerosis
"Disease of arteries, arterioles and capilleries",223991000000116.0,G700-1,G700.11,233956002.0,350529018.0,I700,Aorto-iliac disease
"Disease of arteries, arterioles and capilleries",3230451000006112.0,^ESCTRE323045,,45281005.0,1230210013.0,I701,Renal artery atheroma
"Disease of arteries, arterioles and capilleries",3230471000006119.0,^ESCTAT323047,,45281005.0,2923323018.0,I701,Atherosclerosis renal artery
"Disease of arteries, arterioles and capilleries",1230211012.0,G701,G701.00,45281005.0,1230211012.0,I701,Renal artery atherosclerosis
"Disease of arteries, arterioles and capilleries",5904501000006119.0,^ESCTRA590450,,302233006.0,443819010.0,I701,RAS - Renal artery stenosis
"Disease of arteries, arterioles and capilleries",3230441000006110.0,^ESCTAT323044,,45281005.0,75487016.0,I701,Atherosclerosis of renal artery
"Disease of arteries, arterioles and capilleries",444906018.0,G7010,G701000,302910002.0,444906018.0,I701,Atherosclerotic renal artery stenosis
"Disease of arteries, arterioles and capilleries",444907010.0,G7010-1,G701011,302910002.0,444907010.0,I701,ARAS - Atherosclerotic renal artery stenosis
"Disease of arteries, arterioles and capilleries",443820016.0,P7690,P769000,302233006.0,443820016.0,I701,Renal artery stenosis
"Disease of arteries, arterioles and capilleries",300434013.0,G702z,G702z00,195254008.0,300433019.0,I702,Extremity artery atheroma NOS
"Disease of arteries, arterioles and capilleries",3634001000006113.0,^ESCTMO363400,,69742007.0,115849015.0,I702,Monckeberg's medial calcinosis
"Disease of arteries, arterioles and capilleries",3634011000006111.0,^ESCTMO363401,,69742007.0,2839795018.0,I702,Monckeberg medial sclerosis
"Disease of arteries, arterioles and capilleries",115848011.0,G7020,G702000,69742007.0,115848011.0,I702,Monckeberg's medial sclerosis
"Disease of arteries, arterioles and capilleries",884571000006119.0,G702-99,G702.99,195254008.0,884571000006119.0,I702,Atherosclerosis of extremities
"Disease of arteries, arterioles and capilleries",300433019.0,G702,G702.00,195254008.0,300433019.0,I702,Extremity artery atheroma
"Disease of arteries, arterioles and capilleries",1228941010.0,G70y0-1,G70y011,300920004.0,442119017.0,I708,Carotid artery disease
"Disease of arteries, arterioles and capilleries",938561000006115.0,G70y0,G70y000,300920004.0,442119017.0,I708,Carotid artery atherosclerosis
