Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Disease of arteries, arterioles and capilleries",251699010,161514008,251699010,14AE,14AE.00,H/O: aortic aneurysm
"Disease of arteries, arterioles and capilleries",251699010,161514008,251699010,^ESCTHI454065,14AE.00,H/O: aortic aneurysm
"Disease of arteries, arterioles and capilleries",1795071000000116,707265005,3029507018,66f3,66f3.00,Aortic aneurysm monitoring
"Disease of arteries, arterioles and capilleries",639721000006114,123679006,192168019,7A134,7A13400,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",639721000006114,123679006,192168019,^ESCTDI435459,7A13400,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",639721000006114,123679006,192168019,^ESCTAR435458,7A13400,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A47-4,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A47-3,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A47-2,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A47-5,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A47-1,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A142,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A140,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A409,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A40D,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A40B,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A40C,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A141,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A163,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A162,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A161,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A419,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A41A,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A41D,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A41B,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A150,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A414,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A415,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A416,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A47D,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,^ESCTAR427147,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,^ESCTCR427152,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,^ESCTCR427149,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,^ESCTCR427151,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,^ESCTCR427148,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A333,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A40y,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A164,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,^ESCTBY427150,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A16,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A332,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A41y,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A41z,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A330,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A331,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A16y,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A16z,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A143,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A40A,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A151,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A40z,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A522,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A523,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A47z,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A160,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,116360008,183983017,7A47C,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A47-4,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A47-3,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A47-2,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A47-5,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A47-1,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A142,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A140,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A409,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A40D,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A40B,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A40C,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A141,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A163,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A162,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A161,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A419,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A41A,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A41D,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A41B,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A150,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A414,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A415,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A416,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A47D,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,^ESCTAR427147,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,^ESCTCR427152,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,^ESCTCR427149,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,^ESCTCR427151,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,^ESCTCR427148,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A333,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A40y,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A164,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,^ESCTBY427150,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A16,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A332,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A41y,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A41z,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A330,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A331,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A16y,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A16z,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A143,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A40A,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A151,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A40z,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A522,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A523,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A47z,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A160,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,116360008,183983017,7A47C,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A47-4,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A47-3,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A47-2,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A47-5,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A47-1,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A142,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A140,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A409,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A40D,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A40B,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A40C,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A141,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A163,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A162,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A161,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A419,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A41A,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A41D,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A41B,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A150,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A414,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A415,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A416,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,116360008,183983017,7A47D,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
