Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",251690014,161509009,251690014,^ESCTHI454057,,H/O: varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",251690014,161509009,251690014,14A9,14A9.00,H/O: varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",254104013,163052007,254104013,^ESCTON455693,,O/E - varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",254104013,163052007,254104013,2482,2482.00,O/E - varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2288411000000115,705031001,2463941000000119,^ESCTLY759748,,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2288411000000115,705031001,2463941000000119,38Q3,38Q3.00,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2288411000000115,705031001,2463941000000119,^ESCTLY759747,,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",571551000006119,302357009,443996017,^ESCTCO590591,,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",571551000006119,302357009,443996017,7A661-1,7A66111,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",571551000006119,302357009,443996017,^ESCTSU590590,,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",571551000006119,302357009,443996017,7A661-2,7A66112,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",124301000006115,302357009,443996017,^ESCTCO590591,,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",124301000006115,302357009,443996017,7A661-1,7A66111,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",124301000006115,302357009,443996017,^ESCTSU590590,,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",124301000006115,302357009,443996017,7A661-2,7A66112,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1221208011,15617002,1221208011,^ESCTLI274763,,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1221208011,15617002,1221208011,^ESCTLO274764,,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1221208011,15617002,1221208011,7A67,7A67.00,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1221208011,15617002,1221208011,7A67-99,7A67.99,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1221208011,15617002,1221208011,7A67y,7A67y00,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1221208011,15617002,1221208011,7A67z,7A67z00,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272209014,175819004,272209014,7A672,7A67200,Ligation of recurrent varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",394358017,265543008,394358017,7A673-1,7A67311,Ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",394358017,265543008,394358017,7A673,7A67300,Ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",743601000006118,265543008,394358017,7A673-1,7A67311,Linton ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",743601000006118,265543008,394358017,7A673,7A67300,Linton ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272214013,15617002,26472016,^ESCTLI274763,,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272214013,15617002,26472016,^ESCTLO274764,,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272214013,15617002,26472016,7A67,7A67.00,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272214013,15617002,26472016,7A67-99,7A67.99,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272214013,15617002,26472016,7A67y,7A67y00,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272214013,15617002,26472016,7A67z,7A67z00,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272215014,15617002,1221208011,^ESCTLI274763,,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272215014,15617002,1221208011,^ESCTLO274764,,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272215014,15617002,1221208011,7A67,7A67.00,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272215014,15617002,1221208011,7A67-99,7A67.99,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272215014,15617002,1221208011,7A67y,7A67y00,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272215014,15617002,1221208011,7A67z,7A67z00,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272216010,449705007,2913093017,7A68z,7A68z00,Injection of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272216010,449705007,2913093017,7A68,7A68.00,Injection of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272219015,449708009,2912878012,7A684,7A68400,Injection sclerotherapy of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272219015,449708009,2912878012,7A680,7A68000,Injection sclerotherapy of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1548941000006119,425542000,2675890017,7A682,7A68200,Ultrasound guided foam sclerotherapy for varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",360251000000111,429623000,2900604011,^ESCTEN710617,,Transilluminated powered phlebectomy for varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",360251000000111,429623000,2900604011,7A683,7A68300,Transilluminated powered phlebectomy for varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1548961000006115,449708009,2912878012,7A684,7A68400,Injection of sclerosing substance into varicose vein leg NEC
