Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Disorders of gallbladder, biliary tract and pancreas",303789013,266474003,396395019,Jyu80,Jyu8000,[X]Other cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",303790016,76581006,127173011,Jyu81,Jyu8100,[X]Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303791017,39621005,492161010,Jyu82,Jyu8200,[X]Other specified diseases of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303544014,25924004,43438012,J641,J641.00,Gallbladder calculus with other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303548012,235919008,353661012,J642-1,J642.11,Gallbladder calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303569014,266474003,396396018,J64zz,J64zz00,Cholelithiasis NOS
"Disorders of gallbladder, biliary tract and pancreas",303570010,70342003,116838015,J64z0,J64z000,Cholelithiasis without obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",303571014,77528005,128698014,J64z1,J64z100,Cholelithiasis with obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",303573012,39621005,66448010,J65,J65..00,Other gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",303580014,65275009,108454010,J650z,J650z00,Acute cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",303581013,76581006,127173011,J651,J651.00,Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303582018,76581006,127173011,J651y,J651y00,Other cholecystitis OS
"Disorders of gallbladder, biliary tract and pancreas",303583011,76581006,127173011,J651z,J651z00,Cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",303621019,30144000,50437010,J662z,J662z00,Obstruction of bile duct NOS
"Disorders of gallbladder, biliary tract and pancreas",303607016,39621005,66445013,J65yz,J65yz00,Other specified gallbladder disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",5493111000006114,266474003,396397010,^ESCTCL549311,,CL - Cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",270901000006111,168036006,261011011,4G2,4G2..00,O/E: gall stone
"Disorders of gallbladder, biliary tract and pancreas",270911000006114,168036006,261011011,4G2Z,4G2Z.00,O/E: gall stone NOS
"Disorders of gallbladder, biliary tract and pancreas",5493141000006113,266474003,396400018,^ESCTCA549314,,Calculus in biliary tract
"Disorders of gallbladder, biliary tract and pancreas",3470731000006110,59771005,99287019,^ESCTCA347073,,Calculus of gallbladder with acute cholecystitis
