Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Disorders of thryoid gland,5108351000006116,237519003,355966019,^ESCTAU510835,,Autoimmune hypothyroidism
Disorders of thryoid gland,881381000006114,111566002,881381000006114,C04-99,C04..99,Hypothyroidism-congen.+ acqui.
Disorders of thryoid gland,3843671000006116,82598004,137019010,^ESCTSE384367,,Secondary hypothyroidism
Disorders of thryoid gland,881371000006111,286909009,881371000006111,C02-99,C02..99,Thyrotoxicosis +/- goitre
Disorders of thryoid gland,292356018,190256007,292356018,C0241,C024100,Thyrotoxicosis from ectopic thyroid nodule with crisis
Disorders of thryoid gland,2933341000006117,27059002,2536050019,^ESCTPO293334,,Postsurgical hypothyroidism
Disorders of thryoid gland,292327018,190241003,292327018,C0200,C020000,Toxic diffuse goitre with no crisis
Disorders of thryoid gland,412221013,276177000,412221013,66B4,66B4.00,Thyroid eye disease
Disorders of thryoid gland,150375010,90739004,150375010,C02,C02..00,Thyrotoxicosis
Disorders of thryoid gland,57561015,34486009,57561015,C02-1,C02..11,Hyperthyroidism
Disorders of thryoid gland,355932011,237498007,355932011,C02-2,C02..12,Toxic goitre
Disorders of thryoid gland,398780011,267374005,398780011,C020,C020.00,Toxic diffuse goitre
Disorders of thryoid gland,490987015,353295004,2912991014,C020-1,C020.11,Basedow's disease
Disorders of thryoid gland,472452010,353295004,472452010,C020-2,C020.12,Graves' disease
Disorders of thryoid gland,292330013,190242005,292330013,C0201,C020100,Toxic diffuse goitre with crisis
Disorders of thryoid gland,356406019,237825005,356406019,C0202,C020200,Thyroid-associated dermopathy
Disorders of thryoid gland,292331012,267374005,398780011,C020z,C020z00,Toxic diffuse goitre NOS
Disorders of thryoid gland,200396013,73869005,200396013,C021,C021.00,Toxic uninodular goitre
Disorders of thryoid gland,292334016,190244006,292334016,C0210,C021000,Toxic uninodular goitre with no crisis
Disorders of thryoid gland,292338018,73869005,200396013,C021z,C021z00,Toxic uninodular goitre NOS
Disorders of thryoid gland,196525014,26389007,196525014,C022,C022.00,Toxic multinodular goitre
Disorders of thryoid gland,292339014,190247004,292339014,C0220,C022000,Toxic multinodular goitre with no crisis
Disorders of thryoid gland,292343013,26389007,196525014,C022z,C022z00,Toxic multinodular goitre NOS
Disorders of thryoid gland,292346017,57777000,497988010,C023,C023.00,Toxic nodular goitre unspecified
Disorders of thryoid gland,292347014,57777000,96075015,C0230,C023000,Toxic nodular goitre unspecified with no crisis
Disorders of thryoid gland,292350012,57777000,96075015,C0231,C023100,Toxic nodular goitre unspecified with crisis
Disorders of thryoid gland,292354015,57777000,497988010,C023z,C023z00,Toxic nodular goitre NOS
Disorders of thryoid gland,398782015,90739004,150375010,C02y,C02y.00,Thyrotoxicosis of other specified origin
Disorders of thryoid gland,292361016,90739004,150375010,C02y0,C02y000,Thyrotoxicosis of other specified origin with no crisis
Disorders of thryoid gland,292362011,90739004,150375010,C02y1,C02y100,Thyrotoxicosis of other specified origin with crisis
Disorders of thryoid gland,48600017,29028009,48600017,C02y3,C02y300,Thyroid crisis
Disorders of thryoid gland,292365013,90739004,150375010,C02yz,C02yz00,Thyrotoxicosis of other specified origin NOS
Disorders of thryoid gland,292366014,90739004,150375010,C02z,C02z.00,Thyrotoxicosis without mention of goitre or other cause
Disorders of thryoid gland,101891000006113,90739004,150375010,C02z0,C02z000,Thyrotoxicosis without mention of goitre or cause no crisis
Disorders of thryoid gland,101911000006110,90739004,150375010,C02z1,C02z100,"Thyrotoxicosis without mention of goitre, cause with crisis"
Disorders of thryoid gland,292372014,90739004,150375010,C02zz,C02zz00,Thyrotoxicosis NOS
Disorders of thryoid gland,178809013,111566002,178809013,C04,C04..00,Acquired hypothyroidism
Disorders of thryoid gland,493538010,43153006,493538010,C04-1,C04..11,Myxoedema
Disorders of thryoid gland,101171000006116,40930008,68268011,C04-2,C04..12,Thyroid deficiency
Disorders of thryoid gland,68268011,40930008,68268011,C04-3,C04..13,Hypothyroidism
Disorders of thryoid gland,2536050019,27059002,45271010,C040,C040.00,Postsurgical hypothyroidism
Disorders of thryoid gland,216181000006112,237527007,355975017,C040-1,C040.11,Post ablative hypothyroidism
Disorders of thryoid gland,292394018,237527007,355975017,C041,C041.00,Other postablative hypothyroidism
Disorders of thryoid gland,292395017,190277005,292395017,C0410,C041000,Irradiation hypothyroidism
Disorders of thryoid gland,292396016,237527007,355975017,C041z,C041z00,Postablative hypothyroidism NOS
Disorders of thryoid gland,292400016,88273006,146340011,C043,C043.00,Other iatrogenic hypothyroidism
Disorders of thryoid gland,292404013,88273006,146340011,C043z,C043z00,Iatrogenic hypothyroidism NOS
Disorders of thryoid gland,355964016,237519003,355964016,C046,C046.00,Autoimmune myxoedema
Disorders of thryoid gland,292408011,111566002,178809013,C04y,C04y.00,Other acquired hypothyroidism
Disorders of thryoid gland,398784019,40930008,68268011,C04z,C04z.00,Hypothyroidism NOS
Disorders of thryoid gland,208391000006113,40930008,68268011,C04z-1,C04z.11,Pretibial myxoedema - hypothyroid
Disorders of thryoid gland,101581000006112,40930008,68268011,C04z-2,C04z.12,Thyroid insufficiency
Disorders of thryoid gland,355961012,237518006,355961012,C04z-3,C04z.13,"Hypothyroid goitre, acquired"
Disorders of thryoid gland,292417011,190291004,292417011,C04z0,C04z000,Premature puberty due to hypothyroidism
Disorders of thryoid gland,35727012,21263006,35727012,C04z1,C04z100,Myxoedema coma
Disorders of thryoid gland,136211012,82119001,136211012,C05,C05..00,Thyroiditis
Disorders of thryoid gland,481187014,21983002,481187014,C052,C052.00,Chronic lymphocytic thyroiditis
Disorders of thryoid gland,481188016,21983002,481188016,C052-1,C052.11,Autoimmune thyroiditis
Disorders of thryoid gland,36888019,21983002,36888019,C052-2,C052.12,Hashimoto's disease
