Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Drug or alcohol misuse,882501000006119,191816009,882501000006119,E24-99,E24..99,Morphine/cocaine dependence
Drug or alcohol misuse,2639961000000113,1047881000000106,2639961000000113,13cM1,,Opioid analgesic dependence
Drug or alcohol misuse,1809471000006115,2403008,5114014,E24-100,,Substance dependence
Drug or alcohol misuse,2548235012,417284009,2548235012,13c7,13c7.00,Current drug user
Drug or alcohol misuse,342441014,228375008,342441014,13cB,13cB.00,Misuses drugs orally
Drug or alcohol misuse,2548750019,416246006,2548750019,13cE,13cE.00,Prolonged high dose use of cannabis
Drug or alcohol misuse,2548434014,417471002,2548434014,13cH,13cH.00,Persistent substance misuse
Drug or alcohol misuse,2548992019,416479009,2548992019,13cJ,13cJ.00,Previously injecting drug user
Drug or alcohol misuse,512651000000113,279461000000104,512651000000113,1TE,1TE..00,Uses heroin on top of substitution therapy
Drug or alcohol misuse,477158014,361055000,477158014,1V0,1V0..00,Misuses drugs
Drug or alcohol misuse,297031000000117,197541000000101,297031000000117,1V00,1V00.00,Occasional drug user
Drug or alcohol misuse,342434015,228371004,342434015,1V01,1V01.00,Long-term drug misuser
Drug or alcohol misuse,342435019,228372006,342435019,1V02,1V02.00,Poly-drug misuser
Drug or alcohol misuse,342438017,228373001,342438017,1V0C,1V0C.00,Drug addict
Drug or alcohol misuse,494053016,44870007,494053016,1V26,1V26.00,Misused drugs in past
Drug or alcohol misuse,450216018,307052004,450216018,1V64,1V64.00,Illicit drug use
Drug or alcohol misuse,309921000000119,202991000000100,309921000000119,1V65,1V65.00,Heroin misuse
Drug or alcohol misuse,309861000000116,202961000000106,309861000000116,1V66,1V66.00,Ecstasy misuse
Drug or alcohol misuse,2292881000000111,201381000000109,2292881000000111,46QB1,46QB100,Urine methadone positive
Drug or alcohol misuse,2292761000000111,371401000000107,2292761000000111,46Qr0,46Qr000,Urine buprenorphine positive
Drug or alcohol misuse,371621000000117,231221000000105,371621000000117,7P220,7P22000,Delivery of rehabilitation for drug addiction
Drug or alcohol misuse,630831000006113,191483003,294678015,E02,E02..00,Drug psychoses
Drug or alcohol misuse,2670794016,363101005,2670794016,E020,E020.00,Drug withdrawal syndrome
Drug or alcohol misuse,294679011,191484009,294679011,E021,E021.00,Drug-induced paranoia or hallucinatory states
Drug or alcohol misuse,294680014,191485005,294680014,E0210,E021000,Drug-induced paranoid state
Drug or alcohol misuse,294681013,191486006,294681013,E0211,E021100,Drug-induced hallucinosis
Drug or alcohol misuse,294682018,191484009,294679011,E021z,E021z00,Drug-induced paranoia or hallucinatory state NOS
Drug or alcohol misuse,294686015,191483003,294677013,E02y,E02y.00,Other drug psychoses
Drug or alcohol misuse,294687012,191492000,294687012,E02y0,E02y000,Drug-induced delirium
Drug or alcohol misuse,294688019,191493005,294688019,E02y1,E02y100,Drug-induced dementia
Drug or alcohol misuse,294690018,191495003,294690018,E02y3,E02y300,Drug-induced depressive state
Drug or alcohol misuse,294691019,191496002,294691019,E02y4,E02y400,Drug-induced personality disorder
Drug or alcohol misuse,294692014,191483003,294677013,E02yz,E02yz00,Other drug psychoses NOS
Drug or alcohol misuse,294693016,191483003,294678015,E02z,E02z.00,Drug psychosis NOS
Drug or alcohol misuse,295145018,191816009,295145018,E24,E24..00,Drug dependence
Drug or alcohol misuse,295146017,6525002,11819014,E24-1,E24..11,Drug addiction
Drug or alcohol misuse,44291000006113,75544000,125472011,E240,E240.00,Opioid type drug dependence
Drug or alcohol misuse,346947018,231477003,346947018,E240-1,E240.11,Heroin dependence
Drug or alcohol misuse,346949015,231478008,346949015,E240-2,E240.12,Methadone dependence
Drug or alcohol misuse,346950015,231479000,346950015,E240-3,E240.13,Morphine dependence
Drug or alcohol misuse,346951016,231480002,346951016,E240-4,E240.14,Opium dependence
Drug or alcohol misuse,295153014,75544000,125472011,E2400,E240000,Unspecified opioid dependence
Drug or alcohol misuse,295154015,191819002,295154015,E2401,E240100,Continuous opioid dependence
Drug or alcohol misuse,295155019,191820008,295155019,E2402,E240200,Episodic opioid dependence
Drug or alcohol misuse,295156018,191821007,295156018,E2403,E240300,Opioid dependence in remission
Drug or alcohol misuse,295157010,75544000,125472011,E240z,E240z00,Opioid drug dependence NOS
Drug or alcohol misuse,401791011,268640002,401791011,E241,E241.00,Hypnotic or anxiolytic dependence
Drug or alcohol misuse,346938014,231470001,346938014,E241-1,E241.11,Anxiolytic dependence
Drug or alcohol misuse,346941017,231472009,346941017,E241-2,E241.12,Barbiturate dependence
Drug or alcohol misuse,346942012,231473004,346942012,E241-3,E241.13,Benzodiazepine dependence
Drug or alcohol misuse,346943019,231474005,346943019,E241-4,E241.14,Diazepam dependence
Drug or alcohol misuse,346945014,231475006,346945014,E241-5,E241.15,Librium dependence
Drug or alcohol misuse,2673574010,427327003,2673574010,E241-6,E241.16,Sedative dependence
Drug or alcohol misuse,346944013,231474005,346944013,E241-7,E241.17,Valium dependence
Drug or alcohol misuse,295167017,268640002,401791011,E2410,E241000,"Hypnotic or anxiolytic dependence, unspecified"
