Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Epilepsy,2014871000006119,2014871000006103,2014871000006119,,,Contraceptive advice for patients on valproate for epilepsy
Epilepsy,1856791000006111,1856791000006107,1856791000006111,,,Epilepsy monitoring default
Epilepsy,1855741000006114,1855741000006104,1855741000006114,,,Epilepsy monitoring in primary care
Epilepsy,1855761000006112,810161000000101,2114081000000110,,,Epilepsy monitoring in secondary care
Epilepsy,1856771000006110,1856771000006106,1856771000006110,,,Epilepsy treatment compliance good
Epilepsy,1856781000006112,1856781000006108,1856781000006112,,,Epilepsy treatment compliance poor
Epilepsy,1673671000006116,1673671000006100,1673671000006116,,,Epilepsy treatment continued
Epilepsy,472411018,352818000,472411018,,F251099,Grand mal epilepsy
Epilepsy,2587911000000119,719131000,3315111011,,,Neurological Disorders Depression Inventory in Epilepsy
Epilepsy,851121000006117,851121000006101,851121000006117,,,Partial epilepsy
Epilepsy,883041000006118,509341000000107,883041000006118,,F250099,Petit mal epilepsy
Epilepsy,8191681000006117,509341000000107,1132501000000111,,,Petit-mal epilepsy
Epilepsy,897431000006113,75023009,897431000006113,,SC20099,Post traumatic epilepsy
Epilepsy,905881000006111,905881000006107,905881000006111,,,[RFC] Epilepsy/convulsion
Epilepsy,11778041000006120,230437002,3513043019,,,dravet syndrome
Epilepsy,918561000006111,918561000006107,918561000006111,,,epilepsy associated problems
Epilepsy,12485141000006112,170709001,264637014,,,epilepsy drug side effects
Epilepsy,918591000006115,918591000006104,918591000006115,,,epilepsy drug side effects
Epilepsy,916571000006117,916571000006101,916571000006117,,,epilepsy monitoring
Epilepsy,1699591000006112,1699591000006108,1699591000006112,,,epilepsy monitoring call first letter
Epilepsy,1699601000006116,1699601000006100,1699601000006116,,,epilepsy monitoring call second letter
Epilepsy,1699611000006118,1699611000006102,1699611000006118,,,epilepsy monitoring call third letter
Epilepsy,4769501000006116,192979009,2550890017,,,generalised nonconvulsive epilepsy
Epilepsy,11926151000006112,28055006,46969011,,,infantile spasms
