Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",203211000006115,9713002,16976011,K21,K21..00,Prostate inflammatory diseases
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",53452019,31992008,53452019,G24,G24..00,Secondary hypertension
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",1846941000006119,843821000000102,2189411000000111,G25,G25..00,Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",119655018,72007001,119655018,J157,J157.00,Duodenitis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",222841000000112,89538001,148452011,J1544,J154400,Helicobacter gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",4151013,1824008,4151013,J1540,J154000,Allergic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",1227775018,424753004,2645393015,ZV653-6,ZV65316,[V]Dietary counselling in gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",819571000006118,89538001,148452011,A0743-3,A074313,Helicobacter gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302634014,196731005,2532163012,J156,J156.00,Gastroduodenitis unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",15005019,8493009,15005019,J151,J151.00,Chronic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302619015,84568007,140221013,J1510,J151000,Chronic atrophic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302616010,196731005,302616010,J15,J15..00,Gastritis and duodenitis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",70968018,42541005,70968018,J1542,J154200,Irritant gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302630017,196740009,302630017,J1543,J154300,Corrosive gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302633015,4556007,7841019,J155,J155.00,Gastritis unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",4525015,2043009,4525015,J153,J153.00,Alcoholic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",99677013,60002000,99677013,J152,J152.00,Gastric mucosal hypertrophy
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",554831000006112,8493009,15005019,J1511,J151100,Chronic inflammatory gastritis
