Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
HIV disease,4200811000006115,111880001,365853018,^ESCTAC420081,,Acute human immunodeficiency virus infection
HIV disease,11989691000006112,88415009,825821000006110,^ESCT1198969,,HIV disease resulting in mycobacterial infection
HIV disease,11989701000006112,363346000,829211000006116,^ESCT1198970,,Human immunodeficiency virus with secondary cancers
HIV disease,257855012,165816005,257855012,43C3-1,43C3.11,HIV positive
HIV disease,264371011,699433000,2984517011,65QA,65QA.00,AIDS carrier
HIV disease,103844015,62479008,103844015,A788,A788.00,Acquired immune deficiency syndrome
HIV disease,143288017,86406008,143288017,A788-1,A788.11,Human immunodeficiency virus infection
HIV disease,365853018,111880001,179043011,A7880,A788000,Acute human immunodeficiency virus infection
HIV disease,152322017,91947003,152322017,A7881,A788100,Asymptomatic human immunodeficiency virus infection
HIV disease,825871000006111,95892003,512343012,A7882,A788200,HIV infection with persistent generalised lymphadenopathy
HIV disease,829181000006115,186706006,287010012,A7883,A788300,Human immunodeficiency virus with constitutional disease
HIV disease,287012016,186707002,287012016,A7884,A788400,Human immunodeficiency virus with neurological disease
HIV disease,829221000006112,186708007,287013014,A7885,A788500,Human immunodeficiency virus with secondary infection
HIV disease,287014015,713572001,3290189011,A7886,A788600,Human immunodeficiency virus with secondary cancers
HIV disease,825731000006117,943041000000105,2412691000000112,A788U,A788U00,"HIV disease result/haematological+immunologic abnorms,NEC"
HIV disease,825841000006115,86406008,143288017,A788W,A788W00,HIV disease resulting in unspecified malignant neoplasm
HIV disease,825861000006116,186708007,287013014,A788X,A788X00,HIV disease resulting/unspcf infectious+parasitic disease
HIV disease,287020019,86406008,143288017,A788y,A788y00,Human immunodeficiency virus with other clinical findings
HIV disease,287021015,86406008,143288017,A788z,A788z00,Acquired human immunodeficiency virus infection syndrome NOS
HIV disease,287022010,81000119104,2967570018,A789,A789.00,Human immunodef virus resulting in other disease
HIV disease,287023017,420818005,2617389018,A7890,A789000,HIV disease resulting in mycobacterial infection
HIV disease,287024011,81000119104,2967570018,A7891,A789100,HIV disease resulting in cytomegaloviral disease
HIV disease,287025012,81000119104,2967570018,A7892,A789200,HIV disease resulting in candidiasis
HIV disease,825831000006113,420403001,2617400016,A7893,A789300,HIV disease resulting in Pneumocystis carinii pneumonia
HIV disease,1814921000006112,420403001,2617400016,A7893-1,A789311,HIV disease resulting in Pneumocystis jirovecii pneumonia
HIV disease,287027016,186708007,287013014,A7894,A789400,HIV disease resulting in multiple infections
HIV disease,825771000006119,420524008,2617386013,A7895,A789500,HIV disease resulting in Kaposi's sarcoma
HIV disease,1814931000006110,420524008,2614767011,A7895-1,A789511,HIV disease resulting in Kaposi sarcoma
HIV disease,287029018,713897006,3297968018,A7896,A789600,HIV disease resulting in Burkitt's lymphoma
HIV disease,825721000006115,442537007,2816358010,A7897,A789700,HIV dis resulting oth types of non-Hodgkin's lymphoma
HIV disease,287031010,713572001,3290189011,A7898,A789800,HIV disease resulting in multiple malignant neoplasms
HIV disease,287032015,421671002,2614782018,A7899,A789900,HIV disease resulting in lymphoid interstitial pneumonitis
HIV disease,2622348012,422003001,2622348012,A789A,A789A00,HIV disease resulting in wasting syndrome
HIV disease,825711000006111,86406008,143288017,A789X,A789X00,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu"
HIV disease,288173019,86406008,143288017,AyuC,AyuC.00,[X]Human immunodeficiency virus disease
HIV disease,288177018,186708007,287013014,AyuC1,AyuC100,[X]HIV disease resulting in other viral infections
HIV disease,389021000006114,186708007,287013014,AyuC3,AyuC300,[X]HIV disease resulting in multiple infections
HIV disease,389101000006117,186708007,287013014,AyuC4,AyuC400,[X]HIV disease resulting/other infectious+parasitic diseases
HIV disease,288182013,442537007,2816358010,AyuC6,AyuC600,[X]HIV disease resulting in other non-Hodgkin's lymphoma
HIV disease,389001000006116,943041000000105,2412691000000112,AyuCB,AyuCB00,"[X]HIV disease result/haematological+immunologic abnorms,NEC"
HIV disease,288190013,86406008,143288017,AyuCC,AyuCC00,[X]HIV disease resulting in other specified conditions
HIV disease,288191012,86406008,143288017,AyuCD,AyuCD00,[X]Unspecified human immunodeficiency virus [HIV] disease
HIV disease,376571000006116,421529006,2622767013,Eu024,Eu02400,[X]Dementia in human immunodef virus [HIV] disease
HIV disease,317670010,165816005,257855012,R109,R109.00,[D]Laboratory evidence of human immunodeficiency virus [HIV]
HIV disease,337231000006117,427921000000108,938141000000118,ZV01A,ZV01A00,[V]Asymptomatic human immunodeficency virus infection status
