Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Hypertensive diseases,3642801000006112,70272006,116721012,,,Malignant hypertension
Hypertensive diseases,884121000006111,78975002,884121000006111,,,Malignant hypertension
Hypertensive diseases,887811000006117,198942000,887811000006117,,,Preg.+ pre-existing hypertensn
Hypertensive diseases,909441000006118,909441000006102,909441000006118,,,[RFC] Hypertension
Hypertensive diseases,12726241000006112,674801000000102,1479611000000118,,,adverse reaction to antihypertensives nos
Hypertensive diseases,12726231000006116,674791000000101,1479581000000112,,,adverse reaction to other antihypertensives
Hypertensive diseases,12483081000006116,170574005,264467014,,,borderline hyperten:yearly obs
Hypertensive diseases,790031000006119,790031000006103,790031000006119,,,hypertension annual review
Hypertensive diseases,12488211000006112,170586008,264485019,,,hypertension treatm. started
Hypertensive diseases,12487991000006112,170587004,264486018,,,hypertensive treatm.changed
Hypertensive diseases,790131000006118,162659009,253532015,2126100,,Hypertension resolved
Hypertensive diseases,253532015,162659009,253532015,212K.00,,Hypertension resolved
Hypertensive diseases,262960017,169465000,262960017,6146200,,Hypertension induced by oral contraceptive pill
Hypertensive diseases,264467014,170574005,2692347012,6624,,Borderline hyperten:yearly obs
Hypertensive diseases,264471012,170577003,264471012,6627,,Good hypertension control
Hypertensive diseases,264472017,170578008,264472017,6628,,Poor hypertension control
Hypertensive diseases,264485019,170586008,2694699015,662F.00,,Hypertension treatm. started
Hypertensive diseases,264486018,170587004,2871342011,662G.00,,Hypertensive treatm.changed
Hypertensive diseases,443764015,302192008,443764015,662O.00,,On treatment for hypertension
Hypertensive diseases,1780318013,401117004,1780318013,662b.00,,Moderate hypertension control
Hypertensive diseases,1780253016,401048005,1780253016,662c.00,,Hypertension six month review
Hypertensive diseases,1780319017,401118009,1780319017,662d.00,,Hypertension annual review
Hypertensive diseases,530221000000112,299561000000105,530221000000112,662r.00,,Trial withdrawal of antihypertensive therapy
Hypertensive diseases,350601000000116,220901000000101,350601000000116,7Q01.00,,High cost hypertension drugs
Hypertensive diseases,451424017,308116003,451424017,8B26.00,,Antihypertensive therapy
Hypertensive diseases,2159168015,407567007,2159168015,8BL0.00,,Patient on maximal tolerated antihypertensive therapy
Hypertensive diseases,1780252014,401047000,1780252014,8I3N.00,,Hypertension treatment refused
Hypertensive diseases,789981000006111,185724004,285723013,9OI9.00,,Hypertens.monitor deleted
Hypertensive diseases,1529013,264008,1529013,F404200,,Blind hypertensive eye
Hypertensive diseases,12496011,6962006,12496011,F421300,,Hypertensive retinopathy
Hypertensive diseases,64168014,38341003,64168014,G2...00,,Hypertensive disease
Hypertensive diseases,523801000006119,38341003,64168014,G2...11,,BP - hypertensive disease
Hypertensive diseases,99042012,59621000,99042012,G20..00,,Essential hypertension
Hypertensive diseases,131046010,78975002,131046010,G200.00,,Malignant essential hypertension
Hypertensive diseases,3135013,1201005,3135013,G201.00,,Benign essential hypertension
Hypertensive diseases,93494011,56218007,93494011,G202.00,,Systolic hypertension
Hypertensive diseases,80224019,48146000,80224019,G203.00,,Diastolic hypertension
Hypertensive diseases,395751018,59621000,99042012,G20z.00,,Essential hypertension NOS
Hypertensive diseases,790121000006116,38341003,64176011,G20z.11,,Hypertension NOS
Hypertensive diseases,107545013,64715009,107545013,G21..00,,Hypertensive heart disease
Hypertensive diseases,90135019,54225002,90135019,G210.00,,Malignant hypertensive heart disease
Hypertensive diseases,728681000006116,36315003,60617018,G210000,,Malignant hypertensive heart disease without CCF
Hypertensive diseases,728671000006119,83105008,1236017010,G210100,,Malignant hypertensive heart disease with CCF
Hypertensive diseases,60444016,36221001,60444016,G211.00,,Benign hypertensive heart disease
Hypertensive diseases,504911000006115,77970009,129404019,G211000,,Benign hypertensive heart disease without CCF
Hypertensive diseases,504901000006118,194767001,299653017,G211100,,Benign hypertensive heart disease with CCF
Hypertensive diseases,741661000006118,64715009,107545013,G21z.00,,Hypertensive heart disease NOS
Hypertensive diseases,741691000006114,64715009,107545013,G21z000,,Hypertensive heart disease NOS without CCF
Hypertensive diseases,411508017,275516004,411508017,G21z011,,Cardiomegaly - hypertensive
Hypertensive diseases,741681000006111,64715009,107545013,G21z100,,Hypertensive heart disease NOS with CCF
Hypertensive diseases,299655012,64715009,107545013,G21zz00,,Hypertensive heart disease NOS
Hypertensive diseases,64282015,38481006,64282015,G22..00,,Hypertensive renal disease
Hypertensive diseases,108730018,65443008,108730018,G220.00,,Malignant hypertensive renal disease
Hypertensive diseases,1409014,193003,1409014,G221.00,,Benign hypertensive renal disease
Hypertensive diseases,299665018,49220004,81984019,G222.00,,Hypertensive renal disease with renal failure
Hypertensive diseases,395753015,38481006,64282015,G22z.00,,Hypertensive renal disease NOS
Hypertensive diseases,47076011,38481006,64282015,G22z.11,,Renal hypertension
