Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
In situ neoplasms,4006901000006117,92605003,1235747011,^ESCTCA400690,,Carcinoma in situ of gingiva
In situ neoplasms,4007771000006112,92668003,1235757012,^ESCTCA400777,,Carcinoma in situ of mesopharynx
In situ neoplasms,4007711000006115,92664001,510063016,^ESCTCA400771,,Carcinoma in situ of epipharynx
In situ neoplasms,4006741000006119,92595004,510042018,^ESCTFO400674,,FOM - Carcinoma in situ of floor of mouth
In situ neoplasms,4007641000006111,92660005,3036137011,^ESCTCA400764,,Cancer in situ of mouth
In situ neoplasms,4007781000006111,92668003,3036227013,^ESCTCA400778,,Cancer in situ of oropharynx
In situ neoplasms,4007721000006111,92664001,510064010,^ESCTCA400772,,Carcinoma in situ of postnasal space
In situ neoplasms,4007001000006116,92612007,1235749014,^ESCTCA400700,,Carcinoma in situ of laryngopharynx
In situ neoplasms,4007761000006117,92668003,1235756015,^ESCTCA400776,,Carcinoma situ of oropharynx
In situ neoplasms,4007701000006119,92664001,510062014,^ESCTPN400770,,PNS - carcinoma in situ of postnasal space
In situ neoplasms,4007961000006119,92681005,3036384017,^ESCTCA400796,,Cancer in situ of pharynx
In situ neoplasms,4006911000006119,92605003,3036107019,^ESCTCA400691,,Cancer in situ of gum
In situ neoplasms,5523431000006112,271325000,3084642019,^ESCTCA552343,,"Carcinoma in situ of lip, oral cavity and/or pharynx"
In situ neoplasms,11923431000006116,271325000,406054011,^ESCT1192343,,"Carcinoma in situ of lip, oral cavity and pharynx"
In situ neoplasms,290718013,92660005,153252016,B800z,B800z00,"Carcinoma in situ of lip, oral cavity and pharynx NOS"
In situ neoplasms,4007011000006119,92612007,3036240015,^ESCTCA400701,,Cancer in situ of hypopharynx
In situ neoplasms,153382013,92769003,153382013,B8001,B800100,Carcinoma in situ of tongue
In situ neoplasms,153229015,92643000,153229015,B8000,B800000,Carcinoma in situ of lip
In situ neoplasms,153265013,92668003,153265013,B8008,B800800,Carcinoma in situ of oropharynx
In situ neoplasms,153268010,92670007,153268010,B8006,B800600,Carcinoma in situ of palate
In situ neoplasms,153283017,92681005,153283017,B800-2,B800.12,Carcinoma in situ of pharynx
In situ neoplasms,290783010,189258000,290783010,B8106,B810600,Carcinoma in situ of aryepiglottic fold
In situ neoplasms,406054011,271325000,406054011,B800,B800.00,"Carcinoma in situ of lip, oral cavity and pharynx"
In situ neoplasms,510061019,92660005,510061019,B800-1,B800.11,Carcinoma in situ of oral cavity
In situ neoplasms,153169012,92595004,153169012,B8004,B800400,Carcinoma in situ of floor of mouth
In situ neoplasms,153258017,92664001,153258017,B8007,B800700,Carcinoma in situ of nasopharynx
In situ neoplasms,535731000006116,92605003,153183014,B8003,B800300,Carcinoma in situ of gums
In situ neoplasms,4006091000006113,92558004,153122019,^ESCTCA400609,,Carcinoma in situ of buccal mucosa
In situ neoplasms,4009001000006111,92769003,3035939018,^ESCTCA400900,,Cancer in situ of tongue
In situ neoplasms,4006121000006112,92558004,510031010,^ESCTCA400612,,Carcinoma in situ of internal cheek
In situ neoplasms,4007811000006112,92670007,510067015,^ESCTCA400781,,Carcinoma in situ of roof of mouth
In situ neoplasms,4007621000006115,92660005,153252016,^ESCTCA400762,,Carcinoma in situ of mouth
In situ neoplasms,4007691000006119,92664001,153261016,^ESCTCA400769,,Carcinoma in situ of nasopharyngeal wall
In situ neoplasms,510029018,92558004,510029018,B8005,B800500,Carcinoma in situ of cheek
In situ neoplasms,153191017,92612007,153191017,B8009,B800900,Carcinoma in situ of hypopharynx
In situ neoplasms,536301000006117,189212001,290717015,B8002,B800200,Carcinoma in situ of salivary glands
In situ neoplasms,4006891000006116,92605003,153183014,^ESCTCA400689,,Carcinoma in situ of gum
In situ neoplasms,4006111000006116,92558004,510030011,^ESCTCA400611,,Carcinoma in situ of cheek mucosa
In situ neoplasms,4009181000006119,92780003,1218764015,^ESCTCA400918,,Carcinoma in situ of upper 1/3 esophagus
In situ neoplasms,4007441000006113,92648009,1218762016,^ESCTCA400744,,Carcinoma in situ of lower 1/3 esophagus
In situ neoplasms,4009151000006113,92780003,201646011,^ESCTCA400915,,Carcinoma in situ of upper third oesophagus
In situ neoplasms,4007421000006119,92648009,153236019,^ESCTCA400742,,Carcinoma in situ of lower third of esophagus
In situ neoplasms,4009161000006111,92780003,201647019,^ESCTCA400916,,Carcinoma in situ of upper third of esophagus
In situ neoplasms,4006571000006115,92585006,153153017,^ESCTCA400657,,Carcinoma in situ of esophagus
In situ neoplasms,4009141000006112,92780003,153396019,^ESCTCA400914,,Carcinoma in situ of upper third esophagus
In situ neoplasms,4006591000006119,92585006,3036455010,^ESCTCA400659,,Cancer in situ of oesophagus
In situ neoplasms,4007581000006115,92658008,153250012,^ESCTCA400758,,Carcinoma in situ of middle third of esophagus
In situ neoplasms,4006581000006117,92585006,3036354013,^ESCTCA400658,,Cancer in situ of esophagus
In situ neoplasms,1217276019,92780003,1217276019,B8010,B801000,Carcinoma in situ of upper 1/3 oesophagus
In situ neoplasms,290732010,92585006,201640017,B801z,B801z00,Carcinoma in situ of oesophagus NOS
