Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Inflammatory polyarthropathies,889751000006116,69896004,889751000006116,,,Rheum. arth. - ankle/foot
Inflammatory polyarthropathies,889801000006111,69896004,889801000006111,,,Rheum. arth. - elbow joint
Inflammatory polyarthropathies,889781000006112,69896004,889781000006112,,,Rheum. arth. - hand joint
Inflammatory polyarthropathies,889761000006119,69896004,889761000006119,,,Rheum. arth. - knee joint
Inflammatory polyarthropathies,889821000006118,69896004,889821000006118,,,Rheum. arth. - multiple joint
Inflammatory polyarthropathies,889741000006118,69896004,889741000006118,,,Rheum. arth. - other joint
Inflammatory polyarthropathies,889811000006114,69896004,889811000006114,,,Rheum. arth. - shoulder joint
Inflammatory polyarthropathies,889791000006110,69896004,889791000006110,,,Rheum. arth. - wrist joint
Inflammatory polyarthropathies,889731000006111,69896004,889731000006111,,,Rheumatoid arthritis NOS
Inflammatory polyarthropathies,5721431000006114,287006005,2692387019,,,Rheumatoid arthritis of multiple joints
Inflammatory polyarthropathies,909191000006119,909191000006103,909191000006119,,,[RFC] Rheumatoid arthritis
Inflammatory polyarthropathies,6608781000006113,398640008,1786505011,,,caplan's syndrome
Inflammatory polyarthropathies,1875561000006119,1875561000006103,1875561000006119,,,rheumatoid arthritis monitoring invitation
Inflammatory polyarthropathies,1875591000006110,1875591000006106,1875591000006110,,,rheumatoid arthritis monitoring invitation first letter
Inflammatory polyarthropathies,1875601000006119,1875601000006103,1875601000006119,,,rheumatoid arthritis monitoring invitation second letter
Inflammatory polyarthropathies,1875611000006116,1875611000006100,1875611000006116,,,rheumatoid arthritis monitoring invitation third letter
Inflammatory polyarthropathies,1875571000006114,1875571000006104,1875571000006114,,,rheumatoid arthritis monitoring telephone invitation
Inflammatory polyarthropathies,1875581000006112,1875581000006108,1875581000006112,,,rheumatoid arthritis monitoring verbal invitation
Inflammatory polyarthropathies,11903911000006112,308143008,451461014,,,seropositive errosive rheumatoid arthritis
Inflammatory polyarthropathies,255923010,164454008,255923010,2G25.00,,O/E - hands - ulnar deviation
Inflammatory polyarthropathies,255922017,164454008,255922017,2G25.11,,O/E - ulnar deviation
Inflammatory polyarthropathies,255925015,164456005,255925015,2G27.00,,O/E-hands-rheumatoid spindling
Inflammatory polyarthropathies,219021000000114,275902004,411871019,66H..13,,Rheumatoid arthrit. monitoring
Inflammatory polyarthropathies,371261000000111,231041000000107,371261000000111,7P20300,,Delivery of rehabilitation for rheumatoid arthritis
Inflammatory polyarthropathies,2275501000000119,882321000000105,2275501000000119,9mM..00,,Rheumatoid arthritis monitoring invitation
Inflammatory polyarthropathies,2275671000000111,882401000000106,2275671000000111,9mM0.00,,Rheumatoid arthritis monitoring invitation first letter
Inflammatory polyarthropathies,2275711000000112,882421000000102,2275711000000112,9mM1.00,,Rheumatoid arthritis monitoring invitation second letter
Inflammatory polyarthropathies,2275751000000111,882441000000109,2275751000000111,9mM2.00,,Rheumatoid arthritis monitoring invitation third letter
Inflammatory polyarthropathies,2275791000000115,882461000000105,2275791000000115,9mM3.00,,Rheumatoid arthritis monitoring verbal invitation
Inflammatory polyarthropathies,2275831000000110,882481000000101,2275831000000110,9mM4.00,,Rheumatoid arthritis monitoring telephone invitation
Inflammatory polyarthropathies,297544012,193180002,297544012,F371200,,Polyneuropathy in rheumatoid arthritis
Inflammatory polyarthropathies,297641010,193250002,297641010,F396400,,Myopathy due to rheumatoid arthritis
Inflammatory polyarthropathies,300221014,195136004,300221014,G5y8.00,,Rheumatoid myocarditis
Inflammatory polyarthropathies,48361011,28880005,48361011,G5yA.00,,Rheumatoid carditis
Inflammatory polyarthropathies,162301000006117,398726004,1786545019,H570.00,,Rheumatoid lung
Inflammatory polyarthropathies,463281000006113,239920006,359482019,N005.00,,Adult Still's Disease
Inflammatory polyarthropathies,168751000006115,69896004,116082011,N04..00,,Rheumatoid arthritis and other inflammatory polyarthropathy
