Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Iron deficiency with and without anaemia,251611012,161456009,251611012,^ESCTHI453969,,H/O: anaemia - iron deficient
Iron deficiency with and without anaemia,251611012,161456009,251611012,^ESCTHO453968,,H/O: anaemia - iron deficient
Iron deficiency with and without anaemia,251611012,161456009,251611012,1451,1451.00,H/O: anaemia - iron deficient
Iron deficiency with and without anaemia,507619019,87522002,507616014,D0-1,D0...11,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,D0-2,D0...12,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,D00yz,D00yz00,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTAS392266,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,D00,D00..00,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTAS392271,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTIR392274,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTCH392267,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTSI392268,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTIR392270,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCT1190238,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCT1276169,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCT1198930,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,D00y,D00y.00,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,D00z,D00z.00,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,D00zz,D00zz00,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTID392269,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,D00z1,D00z100,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,Dyu00,Dyu0000,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTID392272,,Asiderotic anaemia
Iron deficiency with and without anaemia,507619019,87522002,507616014,^ESCTSI392273,,Asiderotic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,D0-1,D0...11,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,D0-2,D0...12,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,D00yz,D00yz00,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTAS392266,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,D00,D00..00,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTAS392271,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTIR392274,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTCH392267,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTSI392268,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTIR392270,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCT1190238,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCT1276169,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCT1198930,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,D00y,D00y.00,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,D00z,D00z.00,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,D00zz,D00zz00,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTID392269,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,D00z1,D00z100,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,Dyu00,Dyu0000,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTID392272,,Sideropenic anaemia
Iron deficiency with and without anaemia,507621012,87522002,507616014,^ESCTSI392273,,Sideropenic anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,D0-1,D0...11,Iron deficiency anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,D0-2,D0...12,Iron deficiency anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,D00yz,D00yz00,Iron deficiency anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,^ESCTAS392266,,Iron deficiency anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,D00,D00..00,Iron deficiency anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,^ESCTAS392271,,Iron deficiency anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,^ESCTIR392274,,Iron deficiency anaemia
