Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Ischaemic heart diseases,271088013,175021005,271087015,7922,7922.00,Allograft replacement of coronary artery
Ischaemic heart diseases,271098019,175029007,271097012,7923,7923.00,Prosthetic replacement of coronary artery
Ischaemic heart diseases,256458014,164870003,256458014,3235,3235.00,ECG: subendocardial infarct
Ischaemic heart diseases,256454011,164867002,256454011,3232,3232.00,ECG: old myocardial infarction
Ischaemic heart diseases,256459018,164871004,256459018,3236,3236.00,ECG: lateral infarction
Ischaemic heart diseases,635641000006111,164861001,1205556017,3222,3222.00,ECG:shows myocardial ischaemia
Ischaemic heart diseases,256457016,164869004,256457016,3234,3234.00,ECG:posterior/inferior infarct
Ischaemic heart diseases,271114019,175045009,271114019,7925,7925.00,Connection of mammary artery to coronary artery
Ischaemic heart diseases,1228282017,3546002,6979016,7920,7920.00,Saphenous vein graft replacement of coronary artery
Ischaemic heart diseases,256455012,164868007,256455012,3233,3233.00,ECG: antero-septal infarct.
Ischaemic heart diseases,262247015,168939002,2666780014,5543,5543.00,Coronary arteriograph.abnormal
Ischaemic heart diseases,271080018,232717009,348640013,7921,7921.00,Other autograft replacement of coronary artery
Ischaemic heart diseases,89711000006118,11101003,19234014,7928,7928.00,Transluminal balloon angioplasty of coronary artery
Ischaemic heart diseases,271129017,232717009,348640013,7926,7926.00,Connection of other thoracic artery to coronary artery
Ischaemic heart diseases,271105012,175036008,271105012,7924,7924.00,Revision of bypass for coronary artery
Ischaemic heart diseases,262243016,168935008,262243016,5533,5533.00,Angiocardiography abnormal
Ischaemic heart diseases,2115181000000110,810681000000101,2115181000000110,G39,G39..00,Coronary microvascular disease
Ischaemic heart diseases,496991000006111,72092001,119795011,G342,G342.00,Atherosclerotic cardiovascular disease
Ischaemic heart diseases,119481012,71908006,119481012,G5740,G574000,Ventricular fibrillation
Ischaemic heart diseases,1550991000000116,698378009,2974157013,8L40,8L40.00,Coronary artery bypass graft operation planned
Ischaemic heart diseases,271101015,736964008,3525952013,79232,7923200,Prosthetic replacement of three coronary arteries
Ischaemic heart diseases,142431000006114,232719007,348647011,79263,7926300,Single implantation thoracic artery into coronary artery NEC
Ischaemic heart diseases,256460011,164865005,256452010,323Z,323Z.00,ECG: myocardial infarct NOS
Ischaemic heart diseases,299742017,194821006,299742017,G312,G312.00,Coronary thrombosis not resulting in myocardial infarction
Ischaemic heart diseases,394286010,265481001,394286010,79250,7925000,Double anastomosis of mammary arteries to coronary arteries
Ischaemic heart diseases,460133017,315614006,460133017,6A2,6A2..00,Coronary heart disease annual review
Ischaemic heart diseases,7845011,4557003,7845011,G3111,G311100,Unstable angina
Ischaemic heart diseases,2117731000000119,811901000000107,2117731000000119,661M0,661M000,Angina self-management plan agreed
Ischaemic heart diseases,271106013,175037004,271106013,79240,7924000,Revision of bypass for one coronary artery
Ischaemic heart diseases,451132018,399261000,1767181012,ZV45K,ZV45K00,[V]Presence of coronary artery bypass graft
Ischaemic heart diseases,627951000006112,232720001,348649014,79260,7926000,Double anastom thoracic arteries to coronary arteries NEC
Ischaemic heart diseases,212061000006119,311792005,455418016,G380,G380.00,Postoperative transmural myocardial infarction anterior wall
Ischaemic heart diseases,456190010,1012701000000104,2574481000000119,44h3,44h3.00,Blood bicarbonate level
Ischaemic heart diseases,258968018,166663004,258968018,44H3,44H3.00,Cardiac enzymes abnormal
Ischaemic heart diseases,354901000000117,232726007,354901000000117,79296,7929600,Percutaneous transluminal atherectomy of coronary artery
Ischaemic heart diseases,98087016,59021001,98087016,G330,G330.00,Angina decubitus
Ischaemic heart diseases,299808017,194856005,299808017,G35,G35..00,Subsequent myocardial infarction
Ischaemic heart diseases,460687010,428375006,2692299011,ZV458,ZV45800,[V]Presence of coronary angioplasty implant and graft
