Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Ischaemic heart diseases,256458014,164870003,256458014,3235,3235.00,ECG: subendocardial infarct
Ischaemic heart diseases,256454011,164867002,256454011,3232,3232.00,ECG: old myocardial infarction
Ischaemic heart diseases,256459018,164871004,256459018,3236,3236.00,ECG: lateral infarction
Ischaemic heart diseases,635641000006111,164861001,1205556017,3222,3222.00,ECG:shows myocardial ischaemia
Ischaemic heart diseases,256457016,164869004,256457016,3234,3234.00,ECG:posterior/inferior infarct
Ischaemic heart diseases,271114019,175045009,271114019,7925,7925.00,Connection of mammary artery to coronary artery
Ischaemic heart diseases,256455012,164868007,256455012,3233,3233.00,ECG: antero-septal infarct.
Ischaemic heart diseases,262247015,168939002,2666780014,5543,5543.00,Coronary arteriograph.abnormal
Ischaemic heart diseases,89711000006118,11101003,19234014,7928,7928.00,Transluminal balloon angioplasty of coronary artery
Ischaemic heart diseases,271129017,232717009,348640013,7926,7926.00,Connection of other thoracic artery to coronary artery
Ischaemic heart diseases,262243016,168935008,262243016,5533,5533.00,Angiocardiography abnormal
Ischaemic heart diseases,2115181000000110,810681000000101,2115181000000110,G39,G39..00,Coronary microvascular disease
Ischaemic heart diseases,496991000006111,72092001,119795011,G342,G342.00,Atherosclerotic cardiovascular disease
Ischaemic heart diseases,119481012,71908006,119481012,G5740,G574000,Ventricular fibrillation
Ischaemic heart diseases,256460011,164865005,256452010,323Z,323Z.00,ECG: myocardial infarct NOS
Ischaemic heart diseases,299742017,194821006,299742017,G312,G312.00,Coronary thrombosis not resulting in myocardial infarction
Ischaemic heart diseases,460133017,315614006,460133017,6A2,6A2..00,Coronary heart disease annual review
Ischaemic heart diseases,7845011,4557003,7845011,G3111,G311100,Unstable angina
Ischaemic heart diseases,2117731000000119,811901000000107,2117731000000119,661M0,661M000,Angina self-management plan agreed
Ischaemic heart diseases,627951000006112,232720001,348649014,79260,7926000,Double anastom thoracic arteries to coronary arteries NEC
Ischaemic heart diseases,212061000006119,311792005,455418016,G380,G380.00,Postoperative transmural myocardial infarction anterior wall
Ischaemic heart diseases,456190010,1012701000000104,2574481000000119,44h3,44h3.00,Blood bicarbonate level
Ischaemic heart diseases,258968018,166663004,258968018,44H3,44H3.00,Cardiac enzymes abnormal
Ischaemic heart diseases,354901000000117,232726007,354901000000117,79296,7929600,Percutaneous transluminal atherectomy of coronary artery
Ischaemic heart diseases,98087016,59021001,98087016,G330,G330.00,Angina decubitus
Ischaemic heart diseases,299808017,194856005,299808017,G35,G35..00,Subsequent myocardial infarction
Ischaemic heart diseases,455422014,311796008,455422014,G384,G384.00,Postoperative subendocardial myocardial infarction
Ischaemic heart diseases,39773018,23687008,39773018,G332,G332.00,Coronary artery spasm
Ischaemic heart diseases,299776014,413838009,2534672016,G34,G34..00,Other chronic ischaemic heart disease
Ischaemic heart diseases,459487012,315025001,459487012,G3113,G311300,Refractory angina
Ischaemic heart diseases,89332015,443502000,2842265012,G3-2,G3...12,Atherosclerotic heart disease
Ischaemic heart diseases,458354017,1003361000000108,2573331000000110,44MH,44MH.00,Plasma troponin T level
Ischaemic heart diseases,1489354011,395699007,1489354011,8F93,8F93.00,Cardiac rehabilitation - phase 4
Ischaemic heart diseases,1232666014,65340007,1232666014,G341-1,G341.11,Cardiac aneurysm
Ischaemic heart diseases,350354017,233823002,350354017,G344,G344.00,Silent myocardial ischaemia
Ischaemic heart diseases,484402013,29843007,484402013,79290,7929000,Percutaneous transluminal laser coronary angioplasty
Ischaemic heart diseases,813961000006116,194862000,299816014,G360,G360.00,Haemopericardium/current comp folow acut myocard infarct
Ischaemic heart diseases,1654891000000110,698377004,2974242014,8L41,8L41.00,Coronary angioplasty planned
Ischaemic heart diseases,1547671000006119,429639007,2694928017,793G3,793G300,Percutaneous cor balloon angiop 3 more stents cor art NEC
Ischaemic heart diseases,2675882017,426674009,2675882017,7A564,7A56400,Percutaneous transluminal balloon angioplasty of artery
Ischaemic heart diseases,238641000006117,68466008,1233048011,79280,7928000,Percut transluminal balloon angioplasty one coronary artery
Ischaemic heart diseases,219521000000119,22298006,37443015,G30-1,G30..11,Attack - heart
Ischaemic heart diseases,494261017,4557003,494261017,G3114,G311400,Worsening angina
Ischaemic heart diseases,7847015,4557003,7847015,G311-1,G311.11,Crescendo angina
