Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663377018,118607005,2663377018,B613-1,B613.11,"Hodgkin lymphoma, lymphocyte-rich"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289626018,188531003,289626018,B6108,B610800,Hodgkin's paragranuloma of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826901000006119,188558005,289654013,B6134,B613400,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926831000006112,118599009,826141000006119,^ESCT1192683,,Hodgkin's disease NOS of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926851000006116,118599009,826161000006115,^ESCT1192685,,Hodgkin's disease NOS of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926861000006120,118599009,826171000006110,^ESCT1192686,,Hodgkin's disease NOS of lymph nodes inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926871000006114,118599009,826181000006113,^ESCT1192687,,Hodgkin's disease NOS of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926881000006112,118599009,826191000006111,^ESCT1192688,,"Hodgkin's disease NOS of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926891000006110,118599009,826201000006114,^ESCT1192689,,Hodgkin's disease NOS of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926901000006114,118599009,826211000006112,^ESCT1192690,,Hodgkin's disease NOS of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",12704881000006116,118605002,826681000006115,^ESCT1270488,,Hodgkin's paragranuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926921000006116,118607005,826991000006114,^ESCT1192692,,"Hodgkin's, lymphocytic-histiocytic predominance unspec site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663473018,118599009,2663473018,B61,B61..00,Hodgkin's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815031000006110,118599009,2663473018,B61-1,B61..11,Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826681000006115,118605002,202988019,B610,B610.00,Hodgkin's paragranuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826751000006118,93542008,154855017,B6101,B610100,"Hodgkin's paragranuloma of lymph nodes of head, face, neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289621011,93493001,3635497016,B6103,B610300,Hodgkin's paragranuloma of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663476014,118602004,2663476014,B611,B611.00,Hodgkin's granuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289629013,188534006,289629013,B6111,B611100,"Hodgkin's granuloma of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663376010,118606001,2663376010,B612,B612.00,Hodgkin's sarcoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289643015,188547001,289643015,B6124,B612400,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826261000006110,118607005,177026017,B613,B613.00,"Hodgkin's disease, lymphocytic-histiocytic predominance"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826991000006114,118607005,177026017,B6130,B613000,"Hodgkin's, lymphocytic-histiocytic predominance unspec site"
