Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663377018,118607005,2663377018,,B613.11,"Hodgkin lymphoma, lymphocyte-rich"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289626018,188531003,289626018,,B610800,Hodgkin's paragranuloma of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826901000006119,188558005,289654013,,B613400,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",12455831000006116,52248008,310051000006114,,,"[m]hodgkin's disease, nodular sclerosis nos"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2730231000006116,14537002,195620018,,,hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2730241000006114,14537002,24700011,,,hodgkin's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926831000006112,118599009,826141000006119,,,hodgkin's disease nos of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926851000006116,118599009,826161000006115,,,hodgkin's disease nos of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926861000006120,118599009,826171000006110,,,hodgkin's disease nos of lymph nodes inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926871000006114,118599009,826181000006113,,,hodgkin's disease nos of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926881000006112,118599009,826191000006111,,,"hodgkin's disease nos of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926891000006110,118599009,826201000006114,,,hodgkin's disease nos of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926901000006114,118599009,826211000006112,,,hodgkin's disease nos of spleen
