Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Mood disorders ,851691000006114,851691000006105,851691000006114,,,Hypomanic
Mood disorders ,882321000006119,268619003,882321000006119,,,Mania/hypomania
Mood disorders ,882311000006110,13746004,882311000006110,,,Manic-depressive psychoses
Mood disorders ,2157096015,405273008,2157096015,1S42.00,,Manic mood
Mood disorders ,492761000000114,285491000000101,492761000000114,212V.00,,Bipolar affective disorder resolved
Mood disorders ,513871000006118,13746004,23447014,E11..11,,Bipolar psychoses
Mood disorders ,223601000000119,231494001,346966018,E11..13,,Manic psychoses
Mood disorders ,401765010,268619003,401765010,E110.00,,"Manic disorder, single episode"
Mood disorders ,789221000006116,231496004,346969013,E110.11,,Hypomanic psychoses
Mood disorders ,294802018,268619003,401765010,E110000,,"Single manic episode, unspecified"
Mood disorders ,294803011,191583000,294803011,E110100,,"Single manic episode, mild"
Mood disorders ,294804017,191584006,294804017,E110200,,"Single manic episode, moderate"
Mood disorders ,294805016,764641000000104,1696281000000112,E110300,,"Single manic episode, severe without mention of psychosis"
Mood disorders ,294806015,191586008,294806015,E110400,,"Single manic episode, severe, with psychosis"
Mood disorders ,294807012,764731000000103,1696461000000116,E110500,,Single manic episode in partial or unspecified remission
Mood disorders ,294808019,191588009,294808019,E110600,,Single manic episode in full remission
Mood disorders ,294809010,268619003,401765010,E110z00,,"Manic disorder, single episode NOS"
Mood disorders ,294810017,191590005,294810017,E111.00,,Recurrent manic episodes
Mood disorders ,294811018,191590005,294810017,E111000,,"Recurrent manic episodes, unspecified"
Mood disorders ,294812013,191592002,294812013,E111100,,"Recurrent manic episodes, mild"
Mood disorders ,294813015,191593007,294813015,E111200,,"Recurrent manic episodes, moderate"
Mood disorders ,182871000006115,764621000000106,1696241000000116,E111300,,"Recurrent manic episodes, severe without mention psychosis"
Mood disorders ,294815010,191595000,294815010,E111400,,"Recurrent manic episodes, severe, with psychosis"
Mood disorders ,182861000006110,764671000000105,1696341000000111,E111500,,"Recurrent manic episodes, partial or unspecified remission"
Mood disorders ,294817019,191597008,294817019,E111600,,"Recurrent manic episodes, in full remission"
Mood disorders ,294818012,191590005,294810017,E111z00,,Recurrent manic episode NOS
Mood disorders ,513801000006112,191618007,294846014,E114.00,,"Bipolar affective disorder, currently manic"
Mood disorders ,294847017,191618007,294847017,E114.11,,Manic-depressive - now manic
Mood disorders ,294848010,191618007,294846014,E114000,,"Bipolar affective disorder, currently manic, unspecified"
Mood disorders ,294849019,191620005,294849019,E114100,,"Bipolar affective disorder, currently manic, mild"
Mood disorders ,294850019,191621009,294850019,E114200,,"Bipolar affective disorder, currently manic, moderate"
Mood disorders ,513691000006116,162004,1352013,E114300,,"Bipolar affect disord, currently manic, severe, no psychosis"
Mood disorders ,513701000006116,191623007,294852010,E114400,,"Bipolar affect disord, currently manic,severe with psychosis"
Mood disorders ,513741000006119,63249007,105141010,E114500,,"Bipolar affect disord,currently manic, part/unspec remission"
Mood disorders ,513811000006110,191625000,294857016,E114600,,"Bipolar affective disorder, currently manic, full remission"
Mood disorders ,294858014,191618007,294846014,E114z00,,"Bipolar affective disorder, currently manic, NOS"
Mood disorders ,513751000006117,191627008,294859018,E115.00,,"Bipolar affective disorder, currently depressed"
Mood disorders ,294860011,191627008,294860011,E115.11,,Manic-depressive - now depressed
Mood disorders ,294861010,191627008,294859018,E115000,,"Bipolar affective disorder, currently depressed, unspecified"
Mood disorders ,294862015,191629006,294862015,E115100,,"Bipolar affective disorder, currently depressed, mild"
Mood disorders ,294863013,191630001,294863013,E115200,,"Bipolar affective disorder, currently depressed, moderate"
Mood disorders ,513731000006112,61403008,102016011,E115300,,"Bipolar affect disord, now depressed, severe, no psychosis"
Mood disorders ,513721000006114,765176007,3657334019,E115400,,"Bipolar affect disord, now depressed, severe with psychosis"
Mood disorders ,513711000006118,49512000,82468013,E115500,,"Bipolar affect disord, now depressed, part/unspec remission"
Mood disorders ,513861000006113,191634005,294867014,E115600,,"Bipolar affective disorder, now depressed, in full remission"
Mood disorders ,294868016,191627008,294859018,E115z00,,"Bipolar affective disorder, currently depressed, NOS"
Mood disorders ,294869012,191636007,294869012,E116.00,,Mixed bipolar affective disorder
Mood disorders ,294870013,191636007,294869012,E116000,,"Mixed bipolar affective disorder, unspecified"
Mood disorders ,294871012,191638008,294871012,E116100,,"Mixed bipolar affective disorder, mild"
Mood disorders ,294872017,191639000,294872017,E116200,,"Mixed bipolar affective disorder, moderate"
Mood disorders ,701071000006111,764591000000108,1696181000000118,E116300,,"Mixed bipolar affective disorder, severe, without psychosis"
Mood disorders ,294874016,191641004,294874016,E116400,,"Mixed bipolar affective disorder, severe, with psychosis"
Mood disorders ,701051000006118,760721000000109,1683621000000116,E116500,,"Mixed bipolar affective disorder, partial/unspec remission"
Mood disorders ,294876019,191643001,294876019,E116600,,"Mixed bipolar affective disorder, in full remission"
Mood disorders ,294877011,191636007,294869012,E116z00,,"Mixed bipolar affective disorder, NOS"
Mood disorders ,294880012,13746004,2839307017,E117.00,,Unspecified bipolar affective disorder
Mood disorders ,294881011,13746004,2839307017,E117000,,"Unspecified bipolar affective disorder, unspecified"
Mood disorders ,294882016,13313007,22777014,E117100,,"Unspecified bipolar affective disorder, mild"
Mood disorders ,294883014,79584002,132034014,E117200,,"Unspecified bipolar affective disorder, moderate"
Mood disorders ,82151000006114,53049002,88241016,E117300,,"Unspecified bipolar affective disorder, severe, no psychosis"
Mood disorders ,82171000006116,4441000,7545018,E117400,,"Unspecified bipolar affective disorder,severe with psychosis"
Mood disorders ,82091000006116,5703000,10501015,E117500,,"Unspecified bipolar affect disord, partial/unspec remission"
Mood disorders ,294887010,41836007,69794013,E117600,,"Unspecified bipolar affective disorder, in full remission"
Mood disorders ,294888017,13746004,2839307017,E117z00,,"Unspecified bipolar affective disorder, NOS"
Mood disorders ,294891017,13746004,1221011015,E11y.00,,Other and unspecified manic-depressive psychoses
Mood disorders ,294892012,13746004,1221011015,E11y000,,Unspecified manic-depressive psychoses
Mood disorders ,294893019,191658009,294893019,E11y100,,Atypical manic disorder
Mood disorders ,294895014,16506000,27929014,E11y300,,Other mixed manic-depressive psychoses
Mood disorders ,294896010,13746004,1221011015,E11yz00,,Other and unspecified manic-depressive psychoses NOS
Mood disorders ,396741000006113,268619003,401765010,Eu30.00,,[X]Manic episode
Mood disorders ,367151000006111,268619003,401765010,Eu30.11,,"[X]Bipolar disorder, single manic episode"
Mood disorders ,389401000006111,231496004,346969013,Eu30000,,[X]Hypomania
Mood disorders ,296110017,231494001,346965019,Eu30100,,[X]Mania without psychotic symptoms
Mood disorders ,401863011,231494001,346965019,Eu30200,,[X]Mania with psychotic symptoms
Mood disorders ,396701000006111,231494001,346965019,Eu30211,,[X]Mania with mood-congruent psychotic symptoms
Mood disorders ,396711000006114,231494001,346965019,Eu30212,,[X]Mania with mood-incongruent psychotic symptoms
Mood disorders ,296118012,231494001,346965019,Eu30y00,,[X]Other manic episodes
Mood disorders ,401864017,268619003,401765010,Eu30z00,,"[X]Manic episode, unspecified"
Mood disorders ,396691000006111,268619003,401765010,Eu30z11,,[X]Mania NOS
Mood disorders ,367101000006112,13746004,2839307017,Eu31.00,,[X]Bipolar affective disorder
Mood disorders ,396791000006116,13746004,1221012010,Eu31.11,,[X]Manic-depressive illness
Mood disorders ,396801000006115,13746004,1221011015,Eu31.12,,[X]Manic-depressive psychosis
Mood disorders ,396071000006119,13746004,23447014,Eu31.13,,[X]Manic-depressive reaction
Mood disorders ,367111000006110,31446002,484876019,Eu31000,,"[X]Bipolar affective disorder, current episode hypomanic"
Mood disorders ,367081000006116,191618007,294846014,Eu31100,,[X]Bipolar affect disorder cur epi manic wout psychotic symp
Mood disorders ,367071000006119,191623007,294852010,Eu31200,,[X]Bipolar affect disorder cur epi manic with psychotic symp
Mood disorders ,367091000006118,191630001,294863013,Eu31300,,[X]Bipolar affect disorder cur epi mild or moderate depressn
Mood disorders ,367051000006112,61403008,102016011,Eu31400,,"[X]Bipol aff disord, curr epis sev depress, no psychot symp"
Mood disorders ,367061000006114,765176007,3657334019,Eu31500,,[X]Bipolar affect dis cur epi severe depres with psyc symp
Mood disorders ,367121000006119,192362008,296129011,Eu31600,,"[X]Bipolar affective disorder, current episode mixed"
Mood disorders ,296130018,85248005,141328010,Eu31700,,"[X]Bipolar affective disorder, currently in remission"
Mood disorders ,1785851000006110,371596008,1210225015,Eu31800,,[X]Bipolar affective disorder type I
Mood disorders ,1785861000006112,83225003,138029017,Eu31900,,[X]Bipolar affective disorder type II
Mood disorders ,1785871000006117,83225003,138029017,Eu31911,,[X]Bipolar II disorder
Mood disorders ,401865016,13746004,23447014,Eu31y00,,[X]Other bipolar affective disorders
Mood disorders ,367161000006113,83225003,138029017,Eu31y11,,[X]Bipolar II disorder
Mood disorders ,424661000006111,191590005,294810017,Eu31y12,,[X]Recurrent manic episodes
Mood disorders ,296135011,13746004,2839307017,Eu31z00,,"[X]Bipolar affective disorder, unspecified"
