Condition,MedCodeId,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,ICD10Code,Term
"Neurotic, stress-related and somatoform disorders",882381000006115.0,E2021-99,E202199,191722009.0,882381000006115.0,F400,Agoraphobia
"Neurotic, stress-related and somatoform disorders",1808521000006110.0,EMISNQPA155,,56576003.0,94086016.0,F410,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",1.1920891000006112e+16,^ESCT1192089,,386810004.0,420631000006114.0,F401,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",1.1920891000006112e+16,^ESCT1192089,,386810004.0,420631000006114.0,F400,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",1.1920891000006112e+16,^ESCT1192089,,386810004.0,420631000006114.0,F409,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",1.1920891000006112e+16,^ESCT1192089,,386810004.0,420631000006114.0,F408,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",1.1920891000006112e+16,^ESCT1192089,,386810004.0,420631000006114.0,F402,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",2665410014.0,1B1H-1,1B1H.11,1402001.0,2665410014.0,R458,Fear
"Neurotic, stress-related and somatoform disorders",1488717011.0,1B1V,1B1V.00,395017009.0,1488717011.0,F410,C/O - panic attack
"Neurotic, stress-related and somatoform disorders",1488717011.0,1B1V,1B1V.00,395017009.0,1488717011.0,F430,C/O - panic attack
"Neurotic, stress-related and somatoform disorders",370038014.0,1Bb,1Bb..00,247845000.0,370038014.0,F402,Specific fear
"Neurotic, stress-related and somatoform disorders",2549895012.0,225J,225J.00,417676004.0,2549895012.0,F430,O/E - panic attack
"Neurotic, stress-related and somatoform disorders",2549895012.0,225J,225J.00,417676004.0,2549895012.0,F410,O/E - panic attack
"Neurotic, stress-related and somatoform disorders",402503018.0,285,285..00,268957000.0,402503018.0,F489,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",402505013.0,286,286..00,268958005.0,402505013.0,F489,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",675881000006115.0,E20,E20..00,111475002.0,1219652011.0,F488,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",675881000006115.0,E20,E20..00,111475002.0,1219652011.0,F489,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",488201000006114.0,E200,E200.00,197480006.0,303689015.0,F413,Anxiety states
"Neurotic, stress-related and somatoform disorders",488201000006114.0,E200,E200.00,197480006.0,303689015.0,F418,Anxiety states
"Neurotic, stress-related and somatoform disorders",488201000006114.0,E200,E200.00,197480006.0,303689015.0,F419,Anxiety states
"Neurotic, stress-related and somatoform disorders",488201000006114.0,E200,E200.00,197480006.0,303689015.0,F410,Anxiety states
"Neurotic, stress-related and somatoform disorders",488201000006114.0,E200,E200.00,197480006.0,303689015.0,F412,Anxiety states
"Neurotic, stress-related and somatoform disorders",488201000006114.0,E200,E200.00,197480006.0,303689015.0,F411,Anxiety states
"Neurotic, stress-related and somatoform disorders",294953016.0,E2000,E200000,198288003.0,304838011.0,F411,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",1210253015.0,E2001,E200100,371631005.0,1210253015.0,F410,Panic disorder
"Neurotic, stress-related and somatoform disorders",1210253015.0,E2001,E200100,371631005.0,1210253015.0,F400,Panic disorder
"Neurotic, stress-related and somatoform disorders",339044013.0,E2001-1,E200111,225624000.0,339044013.0,F410,Panic attack
"Neurotic, stress-related and somatoform disorders",481154010.0,E2002,E200200,21897009.0,481154010.0,F411,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",294960010.0,E2004,E200400,191708009.0,294960010.0,F419,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",294963012.0,E200z,E200z00,198288003.0,304838011.0,F411,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",56251019.0,E201B,E201B00,33693007.0,56251019.0,F680,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",223631000000113.0,E202,E202.00,386810004.0,1491809016.0,F401,Phobic disorders
"Neurotic, stress-related and somatoform disorders",223631000000113.0,E202,E202.00,386810004.0,1491809016.0,F400,Phobic disorders
