Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Neurotic, stress-related and somatoform disorders",882381000006115,191722009,882381000006115,,,Agoraphobia
"Neurotic, stress-related and somatoform disorders",988881000006118,191723004,988881000006118,,,Agoraphobia
"Neurotic, stress-related and somatoform disorders",6025531000006111,313087008,1207928017,,,Anxiety counseling
"Neurotic, stress-related and somatoform disorders",6025541000006118,313087008,2693180015,,,Counseling for anxiety
"Neurotic, stress-related and somatoform disorders",6025551000006116,313087008,2695968012,,,Counselling for anxiety
"Neurotic, stress-related and somatoform disorders",1808521000006110,56576003,94086016,,,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",1809331000006112,1809331000006108,1809331000006112,,,Symptoms of agoraphobia
"Neurotic, stress-related and somatoform disorders",11920891000006112,386810004,420631000006114,,,[x]phobia nos
"Neurotic, stress-related and somatoform disorders",12716981000006116,191723004,294993018,,,agoraphobia without mention of panic attacks
"Neurotic, stress-related and somatoform disorders",6025521000006113,313087008,456917011,,,anxiety counselling
"Neurotic, stress-related and somatoform disorders",853241000006119,853241000006103,853241000006119,,,phobic anxiety
"Neurotic, stress-related and somatoform disorders",12731491000006112,563201000000101,1252611000000113,,,phobic disorder nos
"Neurotic, stress-related and somatoform disorders",2665410014,1402001,2665410014,1B1H.11,,Fear
"Neurotic, stress-related and somatoform disorders",1488717011,395017009,1488717011,1B1V.00,,C/O - panic attack
"Neurotic, stress-related and somatoform disorders",370038014,247845000,370038014,1Bb..00,,Specific fear
"Neurotic, stress-related and somatoform disorders",2549895012,417676004,2549895012,225J.00,,O/E - panic attack
"Neurotic, stress-related and somatoform disorders",2549835014,417620007,2549835014,225K.00,,O/E - fearful mood
"Neurotic, stress-related and somatoform disorders",402503018,268957000,402503018,285..00,,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",402505013,268958005,402505013,286..00,,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",283464017,183399002,283464017,8G52.00,,Antiphobic therapy
"Neurotic, stress-related and somatoform disorders",342665019,228560001,342665019,8G94.00,,Anxiety management training
"Neurotic, stress-related and somatoform disorders",300681000000118,199101000000102,300681000000118,8HHp.00,,Referral for guided self-help for anxiety
"Neurotic, stress-related and somatoform disorders",285365017,185348006,285365017,9N54.00,,Encounter for fear
"Neurotic, stress-related and somatoform disorders",675881000006115,111475002,1219652011,E20..00,,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",488201000006114,197480006,303689015,E200.00,,Anxiety states
"Neurotic, stress-related and somatoform disorders",294953016,198288003,304838011,E200000,,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",1210253015,371631005,1210253015,E200100,,Panic disorder
"Neurotic, stress-related and somatoform disorders",339044013,225624000,339044013,E200111,,Panic attack
"Neurotic, stress-related and somatoform disorders",481154010,21897009,481154010,E200200,,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",488211000006112,231504006,346979010,E200300,,Anxiety with depression
"Neurotic, stress-related and somatoform disorders",294960010,191708009,294960010,E200400,,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",294961014,191709001,294961014,E200500,,Recurrent anxiety
"Neurotic, stress-related and somatoform disorders",294963012,198288003,304838011,E200z00,,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",56251019,33693007,56251019,E201B00,,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",223631000000113,386810004,1491809016,E202.00,,Phobic disorders
"Neurotic, stress-related and somatoform disorders",138401000006119,25501002,42759014,E202.11,,Social phobic disorders
"Neurotic, stress-related and somatoform disorders",223641000000116,386810004,1491809016,E202.12,,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",294991016,386808001,1480928018,E202000,,Phobia unspecified
"Neurotic, stress-related and somatoform disorders",294992011,191722009,294992011,E202100,,Agoraphobia with panic attacks
