Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Organic, including symptomatic, mental disorders",401838011,111479008,178719012,Eu0z,Eu0z.00,[X]Unspecified organic or symptomatic mental disorder
"Organic, including symptomatic, mental disorders",1495056012,111479008,178719012,Eu06z-1,Eu06z11,[X]Organic psychosyndrome
"Organic, including symptomatic, mental disorders",16251000006117,111479008,178719012,E2Ay,E2Ay.00,Other specific mental disorder post-organic brain damage
"Organic, including symptomatic, mental disorders",362211000006118,111479008,178719012,Eu04-2,Eu04.12,"[X]Acute / subacute confusional state, nonalcoholic"
"Organic, including symptomatic, mental disorders",376461000006110,111479008,178719012,Eu04,Eu04.00,"[X]Delirium, not induced by alcohol+other psychoactive subs"
"Organic, including symptomatic, mental disorders",379901000006113,111479008,178719012,Eu05y-1,Eu05y11,[X]Epileptic psychosis NOS
"Organic, including symptomatic, mental disorders",404001000006114,111479008,178719012,Eu05z-2,Eu05z12,[X]Organic mental disorder NOS
"Organic, including symptomatic, mental disorders",404041000006111,111479008,178719012,Eu0z-1,Eu0z.11,[X]Organic psychosis NOS
"Organic, including symptomatic, mental disorders",404911000006113,111479008,178719012,Eu06y,Eu06y00,[X]Oth organ personality behav disorders brain dis dam dysf
"Organic, including symptomatic, mental disorders",405051000006114,111479008,178719012,Eu05y,Eu05y00,[X]Oth sp mental disord brain damag/dysfunction/physcal disd
"Organic, including symptomatic, mental disorders",420411000006117,111479008,178719012,Eu06,Eu06.00,[X]Personality and behav disorder brain dis dam and dysfunct
"Organic, including symptomatic, mental disorders",430371000006115,111479008,178719012,Eu06z,Eu06z00,[X]Unspec organ personality behav disorder brain dam dysfunc
"Organic, including symptomatic, mental disorders",295667018,111479008,178719012,Eu0,Eu0..00,"[X]Organic, including symptomatic, mental disorders"
"Organic, including symptomatic, mental disorders",430341000006111,111479008,178719012,Eu05z,Eu05z00,[X]Unspec mental disorder brain damag/dysfunction/physcal dr
"Organic, including symptomatic, mental disorders",362241000006119,111479008,178719012,Eu04-5,Eu04.15,[X]Acute / subacute psycho-organic reaction
"Organic, including symptomatic, mental disorders",403941000006114,111479008,178719012,Eu05z-1,Eu05z11,[X]Organic brain syndrome NOS
"Organic, including symptomatic, mental disorders",404841000006119,111479008,178719012,Eu05,Eu05.00,[X]Oth mental disorder brain damag/dysfunction/physical disr
"Organic, including symptomatic, mental disorders",294656010,56267009,497559016,E004z,E004z00,Arteriosclerotic dementia NOS
"Organic, including symptomatic, mental disorders",363791000006112,56267009,497559016,Eu01-1,Eu01.11,[X]Arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",399031000006111,56267009,93568017,Eu011,Eu01100,[X]Multi-infarct dementia
"Organic, including symptomatic, mental disorders",431681000006117,429998004,2770951017,Eu01,Eu01.00,[X]Vascular dementia
"Organic, including symptomatic, mental disorders",431691000006119,230285003,345110014,Eu010,Eu01000,[X]Vascular dementia of acute onset
"Organic, including symptomatic, mental disorders",423221000006117,56267009,93568017,Eu011-1,Eu01111,[X]Predominantly cortical dementia
"Organic, including symptomatic, mental disorders",3414251000006112,56267009,497560014,^ESCTVA341425,,VAD - Vascular dementia
"Organic, including symptomatic, mental disorders",294652012,191463004,294652012,E0040,E004000,Uncomplicated arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",294653019,191464005,294653019,E0041,E004100,Arteriosclerotic dementia with delirium
"Organic, including symptomatic, mental disorders",294654013,191465006,294654013,E0042,E004200,Arteriosclerotic dementia with paranoia
