Condition,MedCodeId,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,ICD10Code,Term
Osteopathies and chondropathies,5992471000006115.0,^ESCTOS599247,,309745002.0,453226012.0,M816,Osteoporosis localized to spine
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M800,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M804,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,C900,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,E349,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M800 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M808,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M810 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M818,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M811,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M805 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M814 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M813 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M814,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M815,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M819,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M802 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M803 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M810,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M812,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M809,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M809 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M818 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M485,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M805,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M801,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M815 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M816,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M813,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M803,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M802,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M811 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M808 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M801 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M816 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M812 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M804 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M819 ,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M821,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M820,Osteoporosis
Osteopathies and chondropathies,107806013.0,N330,N330.00,64859006.0,107806013.0,M828,Osteoporosis
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M800,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M804,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,C900,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,E349,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M800 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M808,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M810 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M818,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M811,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M805 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M814 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M813 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M814,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M815,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M819,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M802 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M803 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M810,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M812,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M809,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M809 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M818 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M485,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M805,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M801,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M815 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M816,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M813,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M803,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M802,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M811 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M808 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M801 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M816 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M812 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M804 ,"Osteoporosis, unspecified"
Osteopathies and chondropathies,312124013.0,N3300,N330000,64859006.0,107806013.0,M819 ,"Osteoporosis, unspecified"
