Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Other forms of heart disease,635591000006118,164901004,256490016,^ESCTEL458687,,ECG:complete sinu-atrial block
Other forms of heart disease,635591000006118,164901004,256490016,^ESCTEK458688,,ECG:complete sinu-atrial block
Other forms of heart disease,635591000006118,164901004,256490016,^ESCTEC458686,,ECG:complete sinu-atrial block
Other forms of heart disease,635591000006118,164901004,256490016,3293,3293.00,ECG:complete sinu-atrial block
Other forms of heart disease,634991000006112,164903001,256492012,^ESCTEL458692,,ECG: partial atrioventricular block - 2:1
Other forms of heart disease,634991000006112,164903001,256492012,3295,3295.00,ECG: partial atrioventricular block - 2:1
Other forms of heart disease,635001000006117,164904007,256493019,3296,3296.00,ECG: partial A-V block - 3:1
Other forms of heart disease,635001000006117,164904007,256493019,^ESCTEL458694,,ECG: partial A-V block - 3:1
Other forms of heart disease,635001000006117,164904007,256493019,^ESCTEC458693,,ECG: partial A-V block - 3:1
Other forms of heart disease,256494013,164905008,256494013,^ESCTMO458695,,ECG: Wenckebach phenomenon
Other forms of heart disease,256494013,164905008,256494013,^ESCTMO458698,,ECG: Wenckebach phenomenon
Other forms of heart disease,256494013,164905008,256494013,3297,3297.00,ECG: Wenckebach phenomenon
Other forms of heart disease,256494013,164905008,256494013,3297-1,3297.11,ECG: Wenckebach phenomenon
Other forms of heart disease,256494013,164905008,256494013,^ESCTEL458697,,ECG: Wenckebach phenomenon
Other forms of heart disease,1765921000006112,164905008,1739491000000118,^ESCTMO458695,,Electrocardiogram: Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,1765921000006112,164905008,1739491000000118,^ESCTMO458698,,Electrocardiogram: Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,1765921000006112,164905008,1739491000000118,3297,3297.00,Electrocardiogram: Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,1765921000006112,164905008,1739491000000118,3297-1,3297.11,Electrocardiogram: Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,1765921000006112,164905008,1739491000000118,^ESCTEL458697,,Electrocardiogram: Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,634591000006119,164906009,256495014,3298,3298.00,ECG: complete atrioventricular block
Other forms of heart disease,634591000006119,164906009,256495014,^ESCTEK458702,,ECG: complete atrioventricular block
Other forms of heart disease,634591000006119,164906009,256495014,^ESCTEL458701,,ECG: complete atrioventricular block
Other forms of heart disease,256496010,164907000,256496010,^ESCTRI458704,,ECG: right bundle branch block
Other forms of heart disease,256496010,164907000,256496010,^ESCTEL458705,,ECG: right bundle branch block
Other forms of heart disease,256496010,164907000,256496010,3299,3299.00,ECG: right bundle branch block
Other forms of heart disease,256496010,164907000,256496010,^ESCTEK458706,,ECG: right bundle branch block
Other forms of heart disease,256500012,164909002,256500012,^ESCTEK458711,,ECG: left bundle branch block
Other forms of heart disease,256500012,164909002,256500012,^ESCTEL458710,,ECG: left bundle branch block
Other forms of heart disease,256500012,164909002,256500012,^ESCTEC458709,,ECG: left bundle branch block
Other forms of heart disease,256500012,164909002,256500012,329A,329A.00,ECG: left bundle branch block
Other forms of heart disease,1738951000006119,445309007,2871902010,329B,329B.00,Trifascicular block on electrocardiogram
Other forms of heart disease,1738951000006119,445309007,2871902010,^ESCTTR730609,,Trifascicular block on electrocardiogram
Other forms of heart disease,1765931000006110,426183003,1689181000000114,329H,329H.00,Electrocardiogram: Mobitz type 2 second degree atrioventricular block
Other forms of heart disease,1765931000006110,426183003,1689181000000114,^ESCTEK705521,,Electrocardiogram: Mobitz type 2 second degree atrioventricular block
Other forms of heart disease,1765931000006110,426183003,1689181000000114,^ESCTEL705520,,Electrocardiogram: Mobitz type 2 second degree atrioventricular block
Other forms of heart disease,1765931000006110,426183003,1689181000000114,^ESCTEC705519,,Electrocardiogram: Mobitz type 2 second degree atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,P6y50,P6y5000,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,^ESCTTH294748,,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,^ESCTHI294751,,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,G56y1,G56y100,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,^ESCTCH294750,,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,^ESCTCO294749,,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,P6y5z,P6y5z00,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,G560,G560.00,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,G560-99,G560.99,Complete atrioventricular block
Other forms of heart disease,46670010,27885002,46670010,G560-1,G560.11,Complete atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,P6y50,P6y5000,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,^ESCTTH294748,,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,^ESCTHI294751,,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,G56y1,G56y100,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,^ESCTCH294750,,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,^ESCTCO294749,,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,P6y5z,P6y5z00,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,G560,G560.00,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,G560-99,G560.99,Third degree atrioventricular block
Other forms of heart disease,46671014,27885002,46671014,G560-1,G560.11,Third degree atrioventricular block
Other forms of heart disease,47191011,28189009,47191011,^ESCTSE295242,,Mobitz type II atrioventricular block
Other forms of heart disease,47191011,28189009,47191011,^ESCTMO295241,,Mobitz type II atrioventricular block
Other forms of heart disease,47191011,28189009,47191011,G5612,G561200,Mobitz type II atrioventricular block
Other forms of heart disease,47191011,28189009,47191011,^ESCTMO295243,,Mobitz type II atrioventricular block
Other forms of heart disease,699951000006113,54016002,1231274018,^ESCTWE337617,,Mobitz type I Wenckebach atrioventricular block
Other forms of heart disease,699951000006113,54016002,1231274018,^ESCTMO337615,,Mobitz type I Wenckebach atrioventricular block
Other forms of heart disease,699951000006113,54016002,1231274018,G5613-1,G561311,Mobitz type I Wenckebach atrioventricular block
Other forms of heart disease,699951000006113,54016002,1231274018,G5613,G561300,Mobitz type I Wenckebach atrioventricular block
Other forms of heart disease,699951000006113,54016002,1231274018,^ESCTWE337616,,Mobitz type I Wenckebach atrioventricular block
Other forms of heart disease,1231273012,54016002,1231273012,^ESCTWE337617,,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,1231273012,54016002,1231273012,^ESCTMO337615,,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,1231273012,54016002,1231273012,G5613-1,G561311,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,1231273012,54016002,1231273012,G5613,G561300,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,1231273012,54016002,1231273012,^ESCTWE337616,,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,300073018,195042002,300073018,^ESCTIN477731,,Second degree atrioventricular block
Other forms of heart disease,300073018,195042002,300073018,G5614,G561400,Second degree atrioventricular block
Other forms of heart disease,300073018,195042002,300073018,^ESCTSE477732,,Second degree atrioventricular block
Other forms of heart disease,105498014,63467002,105498014,G562z,G562z00,Left bundle branch block
Other forms of heart disease,105498014,63467002,105498014,G562-1,G562.11,Left bundle branch block
Other forms of heart disease,105498014,63467002,105498014,^ESCTLB353223,,Left bundle branch block
Other forms of heart disease,300079019,195046004,300079019,G563,G563.00,Left main stem bundle branch block
Other forms of heart disease,98239015,59118001,98239015,Gyu5W,Gyu5W00,Right bundle branch block
Other forms of heart disease,98239015,59118001,98239015,G5662,G566200,Right bundle branch block
Other forms of heart disease,98239015,59118001,98239015,^ESCTRB346040,,Right bundle branch block
Other forms of heart disease,98239015,59118001,98239015,G56y4,G56y400,Right bundle branch block
Other forms of heart disease,98239015,59118001,98239015,G564,G564.00,Right bundle branch block
Other forms of heart disease,300080016,6374002,11568018,G565,G565.00,Bundle branch block
Other forms of heart disease,300080016,6374002,11568018,G565z,G565z00,Bundle branch block
Other forms of heart disease,300080016,6374002,11568018,^ESCTFA260148,,Bundle branch block
Other forms of heart disease,300080016,6374002,11568018,Gyu5V,Gyu5V00,Bundle branch block
Other forms of heart disease,300080016,6374002,11568018,G5650,G565000,Bundle branch block
Other forms of heart disease,300080016,6374002,11568018,^ESCTBB260147,,Bundle branch block
Other forms of heart disease,300081017,6374002,11568018,G565,G565.00,Bundle branch block unspecified
Other forms of heart disease,300081017,6374002,11568018,G565z,G565z00,Bundle branch block unspecified
Other forms of heart disease,300081017,6374002,11568018,^ESCTFA260148,,Bundle branch block unspecified
Other forms of heart disease,300081017,6374002,11568018,Gyu5V,Gyu5V00,Bundle branch block unspecified
Other forms of heart disease,300081017,6374002,11568018,G5650,G565000,Bundle branch block unspecified
Other forms of heart disease,300081017,6374002,11568018,^ESCTBB260147,,Bundle branch block unspecified
Other forms of heart disease,300084013,20143001,33890011,G5653,G565300,Bilateral bundle branch block
Other forms of heart disease,142607010,86014007,142607010,^ESCTMU389823,,Trifascicular block
Other forms of heart disease,142607010,86014007,142607010,G5654,G565400,Trifascicular block
Other forms of heart disease,300086010,6374002,11568018,G565,G565.00,Other bundle branch block NOS
Other forms of heart disease,300086010,6374002,11568018,G565z,G565z00,Other bundle branch block NOS
Other forms of heart disease,300086010,6374002,11568018,^ESCTFA260148,,Other bundle branch block NOS
Other forms of heart disease,300086010,6374002,11568018,Gyu5V,Gyu5V00,Other bundle branch block NOS
Other forms of heart disease,300086010,6374002,11568018,G5650,G565000,Other bundle branch block NOS
Other forms of heart disease,300086010,6374002,11568018,^ESCTBB260147,,Other bundle branch block NOS
Other forms of heart disease,251680018,161505003,251680018,^ESCTHI454052,,H/O: heart failure
Other forms of heart disease,251680018,161505003,251680018,14A6,14A6.00,H/O: heart failure
Other forms of heart disease,453099015,309634009,453099015,^ESCTHI599097,,H/O: Heart failure in last year
Other forms of heart disease,453099015,309634009,453099015,14AM,14AM.00,H/O: Heart failure in last year
Other forms of heart disease,1488804017,395105005,1488804017,1O1,1O1..00,Heart failure confirmed
Other forms of heart disease,1165041000000115,521691000000100,1165041000000115,21264,2126400,Heart failure resolved
Other forms of heart disease,833381000006119,762994006,3637504017,388D,388D.00,New York Heart Association Classification class
Other forms of heart disease,833381000006119,762994006,3637504017,^ESCT1199842,,New York Heart Association Classification class
Other forms of heart disease,2117931000000116,812001000000102,2117931000000116,661M5,661M500,Heart failure self-management plan agreed
Other forms of heart disease,2616470012,420300004,2616470012,662f,662f.00,New York Heart Association Classification - Class I
Other forms of heart disease,2616471011,421704003,2616471011,662g,662g.00,New York Heart Association Classification - Class II
Other forms of heart disease,2616472016,420913000,2616472016,662h,662h.00,New York Heart Association Classification - Class III
Other forms of heart disease,2616473014,422293003,2616473014,662i,662i.00,New York Heart Association Classification - Class IV
Other forms of heart disease,404741000000119,247361000000100,404741000000119,662p,662p.00,Heart failure 6 month review
Other forms of heart disease,216184014,134378009,216184014,662T,662T.00,Congestive heart failure monitoring
Other forms of heart disease,1484918019,390885007,1484918019,662W,662W.00,Heart failure annual review
Other forms of heart disease,2122191000000110,813991000000101,2122191000000110,679W1,679W100,Education about deteriorating heart failure
Other forms of heart disease,2645623019,423475008,2645623019,679X,679X.00,Heart failure education
Other forms of heart disease,451426015,308118002,451426015,8B29,8B29.00,Cardiac failure therapy
Other forms of heart disease,1784061000006118,789621000000105,1765351000000114,8CeC,8CeC.00,Preferred place of care for next exacerbation of heart failure
Other forms of heart disease,308301000000118,872361000000105,2253411000000117,8CL3,8CL3.00,Discussion about heart failure care plan
Other forms of heart disease,1746171000000119,781051000000108,1746171000000119,8CMK,8CMK.00,Has heart failure management plan
Other forms of heart disease,2205951000000116,851521000000102,2205951000000116,8CMW8,8CMW800,Heart failure clinical pathway
Other forms of heart disease,2549208013,416683003,3082850014,8H2S,8H2S.00,Emergency hospital admission for heart failure
Other forms of heart disease,2549208013,416683003,3082850014,^ESCTEM689565,,Emergency hospital admission for heart failure
Other forms of heart disease,2549208013,416683003,3082850014,^ESCT1249006,,Emergency hospital admission for heart failure
Other forms of heart disease,1484917012,390884006,1484917012,8HBE,8HBE.00,Heart failure follow-up
Other forms of heart disease,308041000000118,704095000,3011242019,^ESCTRE758634,,Referral to heart failure exercise programme
Other forms of heart disease,308041000000118,704095000,3011242019,8HHz,8HHz.00,Referral to heart failure exercise programme
Other forms of heart disease,311561000000117,203791000000106,311561000000117,8Hk0,8Hk0.00,Referred to heart failure education group
Other forms of heart disease,138971000000111,716551000000107,1569101000000112,9h1,9h1..00,Exception reporting - LVD quality indicators
Other forms of heart disease,139061000000114,717181000000106,1569721000000116,9h11,9h11.00,Excepted from LVD quality indicators - patient unsuitable
Other forms of heart disease,139071000000119,717281000000100,1569821000000111,9h12,9h12.00,Excepted from LVD quality indicators - informed dissent
Other forms of heart disease,407441000000115,715951000000107,1568511000000111,9hH,9hH..00,Exception reporting - heart failure quality indicators
Other forms of heart disease,1561941000006119,717481000000104,1570021000000117,9hH0,9hH0.00,Excepted from heart failure quality indicators - patient unsuitable
Other forms of heart disease,1561951000006117,717491000000102,1570031000000115,9hH1,9hH1.00,Excepted from heart failure quality indicators - informed dissent
Other forms of heart disease,2548316014,417359009,2548316014,9N2p,9N2p.00,Seen by community heart failure nurse
Other forms of heart disease,303361000000111,200171000000102,303361000000111,9N6T,9N6T.00,Referred by heart failure nurse specialist
Other forms of heart disease,226181000000110,713781000000103,1565021000000117,9On,9On..00,Left ventricular dysfunction monitoring administration
Other forms of heart disease,2533628012,414586001,2533628012,9On0,9On0.00,Left ventricular dysfunction monitoring first letter
