Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Other reintal disorders (Macular degeneration),369092019,247153005,369092019,2BBH.00,2BBH.00,Retinal drusen
Other reintal disorders (Macular degeneration),1231068014,52002008,1231068014,F424200,F424200,Retinal pigment epithelium serous detachment
Other reintal disorders (Macular degeneration),1216693019,50165004,1216693019,F424300,F424300,Retinal pigment epithelium haemorrhagic detachment
Other reintal disorders (Macular degeneration),347719019,232067008,347719019,F424400,F424400,Retinal pigment epithelial detachment
Other reintal disorders (Macular degeneration),399433012,267611002,399433012,F425.00,F425.00,Degeneration of macula and posterior pole
Other reintal disorders (Macular degeneration),399676018,267718000,399676018,F425.11,F425.11,Senile macular degeneration
Other reintal disorders (Macular degeneration),78571000006118,267718000,399670012,F425000,F425000,Unspecified senile macular degeneration
Other reintal disorders (Macular degeneration),2537365016,414875008,2537365016,F425100,F425100,Dry senile macular degeneration
Other reintal disorders (Macular degeneration),2538088014,414173003,2538088014,F425200,F425200,Wet senile macular degeneration
Other reintal disorders (Macular degeneration),753461000006116,414173003,2538090010,F425211,F425211,Kuhnt - Junius degeneration
Other reintal disorders (Macular degeneration),31523017,18695008,31523017,F425700,F425700,Drusen
Other reintal disorders (Macular degeneration),297816017,267611002,399433012,F425z00,F425z00,Degeneration of macula or posterior pole NOS
