Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Psoriasis,905681000006112,905681000006108,905681000006112,,,[RFC] Psoriasis
Psoriasis,1583831000006118,1583831000006102,1583831000006118,,,chronic large plaque psoriasis
Psoriasis,357612014,238600001,1876481000006119,,,flexural psoriasis
Psoriasis,308725015,9014002,15886015,M16..00,,Psoriasis and similar disorders
Psoriasis,55627011,33339001,55627011,M160.00,,Psoriatic arthropathy
Psoriasis,55628018,33339001,55628018,M160.11,,Psoriatic arthritis
Psoriasis,198881000006116,200956002,308727011,M160000,,Psoriasis spondylitica
Psoriasis,359321011,239812005,359321011,M160100,,Distal interphalangeal psoriatic arthropathy
Psoriasis,32869011,19514005,32869011,M160200,,Arthritis mutilans
Psoriasis,308730016,33339001,55627011,M160z00,,Psoriatic arthropathy NOS
Psoriasis,308731017,9014002,15886015,M161.00,,Other psoriasis
Psoriasis,308732012,9014002,15886015,M161000,,Psoriasis unspecified
Psoriasis,308733019,200962007,308733019,M161100,,Psoriasis annularis
Psoriasis,308734013,200963002,308734013,M161200,,Psoriasis circinata
Psoriasis,308735014,200964008,308735014,M161300,,Psoriasis diffusa
Psoriasis,198791000006112,200965009,308736010,M161400,,Psoriasis discoidea
Psoriasis,308739015,200966005,308739015,M161500,,Psoriasis geographica
Psoriasis,61797015,37042000,61797015,M161600,,Guttate psoriasis
Psoriasis,308740018,200967001,308740018,M161700,,Psoriasis gyrata
Psoriasis,308741019,200968006,308741019,M161800,,Psoriasis inveterata
Psoriasis,198841000006110,200969003,308742014,M161900,,Psoriasis ostracea
Psoriasis,308744010,200970002,308744010,M161A00,,Psoriasis palmaris
Psoriasis,308745011,200971003,308745011,M161B00,,Psoriasis plantaris
Psoriasis,308746012,200972005,308746012,M161C00,,Psoriasis punctata
Psoriasis,308747015,200973000,308747015,M161D00,,Pustular psoriasis
Psoriasis,308749017,200974006,308749017,M161E00,,Psoriasis universalis
Psoriasis,308750017,200975007,308750017,M161F00,,Psoriasis vulgaris
Psoriasis,1629311000006117,402307000,1781467015,M161F11,,Chronic large plaque psoriasis
Psoriasis,308752013,200977004,308752013,M161H00,,Erythrodermic psoriasis
Psoriasis,1887571000006111,238600001,357612014,M161J00,,Flexural psoriasis
Psoriasis,308753015,9014002,15886015,M161z00,,Psoriasis NOS
Psoriasis,483572016,27520001,483572016,M166.00,,Palmoplantar pustular psoriasis
Psoriasis,308775018,399937000,1773474010,M16y.00,,Other psoriasis and similar disorders
Psoriasis,357623013,238608008,357623013,M16y000,,Scalp psoriasis
Psoriasis,308776017,9014002,15886015,M16z.00,,Psoriasis and similar disorders NOS
Psoriasis,309331014,9014002,15886015,Myu3000,,[X]Other psoriasis
Psoriasis,359310019,239803008,359310019,N045200,,Juvenile arthritis in psoriasis
Psoriasis,312521010,33339001,55626019,Nyu1300,,[X]Other psoriatic arthropathies
