Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Rhinitis and Sinusitis,61668014,36971009,61668014,H01..11,H01..11,Sinusitis
Rhinitis and Sinusitis,66718013,40055000,66718013,H13..00,H13..00,Chronic sinusitis
Rhinitis and Sinusitis,1229598015,40055000,1229598015,H13..11,H13..11,Chronic rhinosinusitis
Rhinitis and Sinusitis,59944016,35923002,59944016,H130.00,H130.00,Chronic maxillary sinusitis
Rhinitis and Sinusitis,488111000006118,35923002,486320019,H130.11,H130.11,Antritis - chronic
Rhinitis and Sinusitis,146480018,88348008,146480018,H130.12,H130.12,Maxillary sinusitis
Rhinitis and Sinusitis,99894013,60130002,99894013,H131.00,H131.00,Chronic frontal sinusitis
Rhinitis and Sinusitis,130650014,78737005,130650014,H131.11,H131.11,Frontal sinusitis
Rhinitis and Sinusitis,121629017,73237007,121629017,H132.00,H132.00,Chronic ethmoidal sinusitis
Rhinitis and Sinusitis,65349012,38961000,65349012,H133.00,H133.00,Chronic sphenoidal sinusitis
Rhinitis and Sinusitis,301210011,195788001,301210011,H135.00,H135.00,Recurrent sinusitis
Rhinitis and Sinusitis,301211010,40055000,66718013,H13y.00,H13y.00,Other chronic sinusitis
Rhinitis and Sinusitis,147320013,88850006,147320013,H13y000,H13y000,Chronic pansinusitis
Rhinitis and Sinusitis,301212015,195790000,301212015,H13y100,H13y100,Pansinusitis
Rhinitis and Sinusitis,301213013,40055000,66718013,H13yz00,H13yz00,Other chronic sinusitis NOS
Rhinitis and Sinusitis,301214019,40055000,66718013,H13z.00,H13z.00,Chronic sinusitis NOS
Rhinitis and Sinusitis,477701000006111,61582004,102311013,H17..12,H17..12,Allergic rhinosinusitis
Rhinitis and Sinusitis,301825016,40055000,66718013,Hyu2200,Hyu2200,[X]Other chronic sinusitis
Rhinitis and Sinusitis,481105015,21719001,885121000006110,,H170.99,Hay fever
Rhinitis and Sinusitis,6298141000006118,367498001,2119211000000114,,,Hay fever
Rhinitis and Sinusitis,933361000006117,61582004,933361000006117,,H17..99,Hay fever
Rhinitis and Sinusitis,492457012,367498001,1956781000006116,,,Seasonal allergic rhinitis
Rhinitis and Sinusitis,142764012,86094006,142764012,H120.00,H120.00,Chronic rhinitis
Rhinitis and Sinusitis,301176016,195765002,301176016,H120000,H120000,Chronic simple rhinitis
Rhinitis and Sinusitis,396095011,266342009,396095011,H120100,H120100,Chronic catarrhal rhinitis
Rhinitis and Sinusitis,301181013,195768000,301181013,H120200,H120200,Chronic hypertrophic rhinitis
Rhinitis and Sinusitis,301182018,195769008,301182018,H120300,H120300,Chronic atrophic rhinitis
Rhinitis and Sinusitis,301183011,195770009,301183011,H120400,H120400,Chronic infective rhinitis
Rhinitis and Sinusitis,301184017,195771008,301184017,H120500,H120500,Chronic ulcerative rhinitis
Rhinitis and Sinusitis,301185016,195772001,301185016,H120600,H120600,Chronic membranous rhinitis
Rhinitis and Sinusitis,301186015,195773006,301186015,H120700,H120700,Chronic fibrinous rhinitis
Rhinitis and Sinusitis,301187012,86094006,142764012,H120z00,H120z00,Chronic rhinitis NOS
Rhinitis and Sinusitis,102311013,61582004,102311013,H17..00,H17..00,Allergic rhinitis
Rhinitis and Sinusitis,224001000000114,446096008,2883237016,H17..11,H17..11,Perennial rhinitis
Rhinitis and Sinusitis,481104016,21719001,481104016,H170.00,H170.00,Allergic rhinitis due to pollens
Rhinitis and Sinusitis,817341000006110,21719001,481104016,H170.11,H170.11,Hay fever - pollens
Rhinitis and Sinusitis,36447011,21719001,36447011,H170.12,H170.12,Pollinosis
Rhinitis and Sinusitis,396097015,61582004,102311013,H171.00,H171.00,Allergic rhinitis due to other allergens
Rhinitis and Sinusitis,348103016,232346004,348103016,H171.11,H171.11,Cat allergy
Rhinitis and Sinusitis,348104010,232347008,348105011,H171.12,H171.12,Dander (animal) allergy
Rhinitis and Sinusitis,348106012,232348003,348106012,H171.13,H171.13,Feather allergy
Rhinitis and Sinusitis,348109017,21719001,36446019,H171.14,H171.14,Hay fever - other allergen
Rhinitis and Sinusitis,348107015,232349006,348107015,H171.15,H171.15,House dust allergy
Rhinitis and Sinusitis,348108013,232350006,348108013,H171.16,H171.16,House dust mite allergy
Rhinitis and Sinusitis,1495072016,717234006,3308773018,H171000,H171000,Allergy to animal
Rhinitis and Sinusitis,634501000000119,419271008,634501000000119,H171100,H171100,Dog allergy
Rhinitis and Sinusitis,396098013,61582004,499054013,H172.00,H172.00,Allergic rhinitis due to unspecified allergen
Rhinitis and Sinusitis,348110010,21719001,481105015,H172.11,H172.11,Hay fever - unspecified allergen
Rhinitis and Sinusitis,301268012,61582004,102311013,H17z.00,H17z.00,Allergic rhinitis NOS
Rhinitis and Sinusitis,14582019,8229003,14582019,H18..00,H18..00,Vasomotor rhinitis
Rhinitis and Sinusitis,817361000006114,233683003,350153016,H330.13,H330.13,Hay fever with asthma
Rhinitis and Sinusitis,350153016,233683003,350153016,H330011,H330011,Hay fever with asthma
Rhinitis and Sinusitis,301823011,367498001,492457012,Hyu2000,Hyu2000,[X]Other seasonal allergic rhinitis
Rhinitis and Sinusitis,301824017,61582004,102311013,Hyu2100,Hyu2100,[X]Other allergic rhinitis
