Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Spinal degenerative disease ,890841000006118,267970006,890841000006118,,N110.99,Cervical spond.- no myelopathy
Spinal degenerative disease ,890851000006116,65260001,890851000006116,,N111.99,Cervical spond.with myelopathy
Spinal degenerative disease ,890861000006119,202677007,890861000006119,,N115.99,Lumbosacral spond + myelopathy
Spinal degenerative disease ,318465011,207968008,318465011,,S105200,"Open fracture lumbar vertebra, spondylolysis"
Spinal degenerative disease ,890831000006111,267969005,890831000006111,,N11..99,Spondyloses
Spinal degenerative disease ,990511000006110,666611000000101,990511000006110,,N11zz99,Spondyloses
Spinal degenerative disease ,12759411000006116,666611000000101,1463151000000118,,,osteoarthritis of spine nos
Spinal degenerative disease ,12724881000006110,666611000000101,1463161000000115,,,spondylosis nos
Spinal degenerative disease ,297150011,192907007,297150011,F163200,F163200,Myelopathy due to spondylosis
Spinal degenerative disease ,297465015,193120004,297465015,F337200,F337200,Nerve root and plexus compressions in spondylosis
Spinal degenerative disease ,400266016,267969005,400266016,N11..00,N11..00,Spondylosis and allied disorders
Spinal degenerative disease ,1209790019,8847002,508047017,N11..11,N11..11,Arthritis of spine
Spinal degenerative disease ,18181000006118,8847002,508047017,N11..12,N11..12,Osteoarthritis of spine
Spinal degenerative disease ,400267013,267970006,400267013,N110.00,N110.00,Cervical spondylosis without myelopathy
Spinal degenerative disease ,1481870016,387800004,1481870016,N110.11,N110.11,Cervical spondylosis
Spinal degenerative disease ,219611000000112,387800004,1492276018,N110.12,N110.12,Osteoarthritis cervical spine
Spinal degenerative disease ,311055019,202657000,311055019,N110000,N110000,Single-level cervical spondylosis without myelopathy
Spinal degenerative disease ,311056018,202658005,311056018,N110100,N110100,Two-level cervical spondylosis without myelopathy
Spinal degenerative disease ,311057010,202659002,311057010,N110200,N110200,Multiple-level cervical spondylosis without myelopathy
Spinal degenerative disease ,108431018,65260001,108431018,N111.00,N111.00,Cervical spondylosis with myelopathy
Spinal degenerative disease ,311061016,202661006,311061016,N111000,N111000,Single-level cervical spondylosis with myelopathy
Spinal degenerative disease ,311062011,202662004,311062011,N111100,N111100,Two-level cervical spondylosis with myelopathy
Spinal degenerative disease ,311063018,202663009,311063018,N111200,N111200,Multiple-level cervical spondylosis with myelopathy
Spinal degenerative disease ,400268015,267971005,400268015,N112.00,N112.00,Thoracic spondylosis without myelopathy
Spinal degenerative disease ,1481872012,387802007,1481872012,N112.11,N112.11,Thoracic spondylosis
Spinal degenerative disease ,311068010,202666001,311068010,N112000,N112000,Single-level thoracic spondylosis without myelopathy
Spinal degenerative disease ,311069019,202667005,311069019,N112100,N112100,Two-level thoracic spondylosis without myelopathy
Spinal degenerative disease ,311070018,202668000,311070018,N112200,N112200,Multiple-level thoracic spondylosis without myelopathy
Spinal degenerative disease ,400269011,267971005,400269011,N112300,N112300,Dorsal spondylosis without myelopathy
Spinal degenerative disease ,19006012,10948005,19006012,N113.00,N113.00,Thoracic spondylosis with myelopathy
Spinal degenerative disease ,311072014,202670009,311072014,N113000,N113000,Single-level thoracic spondylosis with myelopathy
Spinal degenerative disease ,311074010,202672001,311074010,N113200,N113200,Multiple-level thoracic spondylosis with myelopathy
Spinal degenerative disease ,80324016,48210000,80324016,N114.00,N114.00,Lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,611421000006111,239880009,359432012,N114.11,N114.11,Degeneration of lumbar spine
Spinal degenerative disease ,359432012,239880009,359432012,N114.12,N114.12,Lumbar spondylosis
Spinal degenerative disease ,311079017,202674000,311079017,N114000,N114000,Single-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,311080019,202675004,311080019,N114100,N114100,Two-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,311081015,202676003,311081015,N114200,N114200,Multiple-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,311082010,202677007,311082010,N115.00,N115.00,Lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,311083017,202678002,311083017,N115000,N115000,Single-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,311084011,202679005,311084011,N115100,N115100,Two-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,311085012,202680008,311085012,N115200,N115200,Multiple-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,311091014,202683005,311091014,N119.00,N119.00,Cervical spondylosis with radiculopathy
Spinal degenerative disease ,311093012,202684004,311093012,N119000,N119000,Single-level cervical spondylosis with radiculopathy
Spinal degenerative disease ,311094018,202685003,311094018,N119100,N119100,Two-level cervical spondylosis with radiculopathy
Spinal degenerative disease ,311095017,202686002,311095017,N119200,N119200,Multiple-level cervical spondylosis with radiculopathy
Spinal degenerative disease ,311096016,202687006,311096016,N11A.00,N11A.00,Cervical spondylosis with vascular compression
Spinal degenerative disease ,311097013,202688001,311097013,N11B.00,N11B.00,Thoracic spondylosis with radiculopathy
Spinal degenerative disease ,311099011,202689009,311099011,N11B000,N11B000,Single-level thoracic spondylosis with radiculopathy
Spinal degenerative disease ,311100015,202690000,311100015,N11B100,N11B100,Two-level thoracic spondylosis with radiculopathy
Spinal degenerative disease ,311103018,202692008,311103018,N11B200,N11B200,Multiple-level thoracic spondylosis with radiculopathy
Spinal degenerative disease ,311106014,202693003,311106014,N11C.00,N11C.00,Lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,311108010,202694009,311108010,N11C000,N11C000,Single-level lumbosacral spondylosis with radiculopathy
