Condition,MedCodeId,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,ICD10Code,Term
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V382,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V383,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V335,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V551,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V552,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V553,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V253,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V558,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V385,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,527151000006116.0,7J341-2,7J34112,265717009.0,394583018.0,V559,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,276668012.0,7J48K,7J48K00,178805003.0,276668012.0,V551,Reduction of spondylolisthesis and fusion
Spondylolisthesis  ,276668012.0,7J48K,7J48K00,178805003.0,276668012.0,V553,Reduction of spondylolisthesis and fusion
Spondylolisthesis  ,276668012.0,7J48K,7J48K00,178805003.0,276668012.0,V559,Reduction of spondylolisthesis and fusion
Spondylolisthesis  ,276668012.0,7J48K,7J48K00,178805003.0,276668012.0,V552,Reduction of spondylolisthesis and fusion
Spondylolisthesis  ,276668012.0,7J48K,7J48K00,178805003.0,276668012.0,V558,Reduction of spondylolisthesis and fusion
