Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Systemic connective tissue disorders,2534171012,414341000,2534171012,G755,G755.00,Giant cell arteritis
Systemic connective tissue disorders,2534171012,414341000,2534171012,G755z,G755z00,Giant cell arteritis
Systemic connective tissue disorders,2534171012,414341000,2534171012,Nyu41,Nyu4100,Giant cell arteritis
Systemic connective tissue disorders,1787109017,400130008,1787109017,^ESCTTA663525,,Cranial arteritis
Systemic connective tissue disorders,1787109017,400130008,1787109017,^ESCTTE663526,,Cranial arteritis
Systemic connective tissue disorders,1787109017,400130008,1787109017,G7551,G755100,Cranial arteritis
Systemic connective tissue disorders,1787109017,400130008,1787109017,G7552,G755200,Cranial arteritis
Systemic connective tissue disorders,1787109017,400130008,1787109017,G7550,G755000,Cranial arteritis
Systemic connective tissue disorders,1779388019,400130008,1779388019,^ESCTTA663525,,Temporal arteritis
Systemic connective tissue disorders,1779388019,400130008,1779388019,^ESCTTE663526,,Temporal arteritis
Systemic connective tissue disorders,1779388019,400130008,1779388019,G7551,G755100,Temporal arteritis
Systemic connective tissue disorders,1779388019,400130008,1779388019,G7552,G755200,Temporal arteritis
Systemic connective tissue disorders,1779388019,400130008,1779388019,G7550,G755000,Temporal arteritis
Systemic connective tissue disorders,1787110010,400130008,1787110010,^ESCTTA663525,,Horton's disease
Systemic connective tissue disorders,1787110010,400130008,1787110010,^ESCTTE663526,,Horton's disease
Systemic connective tissue disorders,1787110010,400130008,1787110010,G7551,G755100,Horton's disease
Systemic connective tissue disorders,1787110010,400130008,1787110010,G7552,G755200,Horton's disease
Systemic connective tissue disorders,1787110010,400130008,1787110010,G7550,G755000,Horton's disease
Systemic connective tissue disorders,300584016,414341000,2534171012,G755,G755.00,Giant cell arteritis NOS
Systemic connective tissue disorders,300584016,414341000,2534171012,G755z,G755z00,Giant cell arteritis NOS
Systemic connective tissue disorders,300584016,414341000,2534171012,Nyu41,Nyu4100,Giant cell arteritis NOS
Systemic connective tissue disorders,359513016,239938009,359513016,N200,N200.00,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,312576015,414341000,2534171012,G755,G755.00,[X]Other giant cell arteritis
Systemic connective tissue disorders,312576015,414341000,2534171012,G755z,G755z00,[X]Other giant cell arteritis
Systemic connective tissue disorders,312576015,414341000,2534171012,Nyu41,Nyu4100,[X]Other giant cell arteritis
Systemic connective tissue disorders,108529013,65323003,108529013,^ESCTRH356200,,Polymyalgia rheumatica
Systemic connective tissue disorders,108529013,65323003,108529013,^ESCTSE356201,,Polymyalgia rheumatica
Systemic connective tissue disorders,108529013,65323003,108529013,^ESCTPM356202,,Polymyalgia rheumatica
Systemic connective tissue disorders,108529013,65323003,108529013,^ESCTFO356199,,Polymyalgia rheumatica
Systemic connective tissue disorders,108529013,65323003,108529013,N20,N20..00,Polymyalgia rheumatica
Systemic connective tissue disorders,108529013,65323003,108529013,N20-1,N20..11,Polymyalgia rheumatica
Systemic connective tissue disorders,158050019,65323003,108529013,^ESCTRH356200,,Polymyalgia
Systemic connective tissue disorders,158050019,65323003,108529013,^ESCTSE356201,,Polymyalgia
Systemic connective tissue disorders,158050019,65323003,108529013,^ESCTPM356202,,Polymyalgia
Systemic connective tissue disorders,158050019,65323003,108529013,^ESCTFO356199,,Polymyalgia
Systemic connective tissue disorders,158050019,65323003,108529013,N20,N20..00,Polymyalgia
Systemic connective tissue disorders,158050019,65323003,108529013,N20-1,N20..11,Polymyalgia
Systemic connective tissue disorders,297542011,193178008,297542011,F3710,F371000,Polyneuropathy in disseminated lupus erythematosus
Systemic connective tissue disorders,297639014,193248005,297639014,F3961,F396100,Myopathy due to disseminated lupus erythematosus
Systemic connective tissue disorders,660871000006118,79291003,1234339017,F4D33,F4D3300,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,660871000006118,79291003,1234339017,^ESCTDI378950,,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,660871000006118,79291003,1234339017,^ESCTDI378951,,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,660871000006118,79291003,1234339017,^ESCTDI378949,,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,301721015,196138005,301721015,H57y4,H57y400,Lung disease with systemic lupus erythematosus
Systemic connective tissue disorders,677561000006119,68815009,114310015,^ESCTSL361922,,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,677561000006119,68815009,114310015,^ESCTSY361924,,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,677561000006119,68815009,114310015,K01x4,K01x400,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,677561000006119,68815009,114310015,K01x4-1,K01x411,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,114310015,68815009,114310015,^ESCTSL361922,,Lupus nephritis
Systemic connective tissue disorders,114310015,68815009,114310015,^ESCTSY361924,,Lupus nephritis
Systemic connective tissue disorders,114310015,68815009,114310015,K01x4,K01x400,Lupus nephritis
Systemic connective tissue disorders,114310015,68815009,114310015,K01x4-1,K01x411,Lupus nephritis
Systemic connective tissue disorders,177301000006114,307755009,451122013,K0B40,K0B4000,Renal tubulo-interstitial disorder in systemic lupus erythematosus
Systemic connective tissue disorders,308697013,200936003,308697013,M154z,M154z00,Lupus erythematosus
Systemic connective tissue disorders,308697013,200936003,308697013,^ESCTLU480560,,Lupus erythematosus
Systemic connective tissue disorders,308697013,200936003,308697013,M154,M154.00,Lupus erythematosus
Systemic connective tissue disorders,308697013,200936003,308697013,^ESCTLE480559,,Lupus erythematosus
Systemic connective tissue disorders,308700012,200937007,308700012,M1540,M154000,Lupus erythematosus chronicus
Systemic connective tissue disorders,308701011,200938002,308701011,^ESCTDL480563,,Discoid lupus erythematosus
Systemic connective tissue disorders,308701011,200938002,308701011,^ESCTLE480564,,Discoid lupus erythematosus
Systemic connective tissue disorders,308701011,200938002,308701011,M1541,M154100,Discoid lupus erythematosus
Systemic connective tissue disorders,308704015,200939005,308704015,M1542,M154200,Lupus erythematosus migrans
Systemic connective tissue disorders,308705019,200940007,308705019,M1543,M154300,Lupus erythematosus nodularis
Systemic connective tissue disorders,25612013,15084002,25612013,^ESCTLU273907,,Lupus erythematosus profundus
Systemic connective tissue disorders,25612013,15084002,25612013,M1544,M154400,Lupus erythematosus profundus
Systemic connective tissue disorders,308706018,200941006,308706018,M1545,M154500,Lupus erythematosus tumidus
Systemic connective tissue disorders,308707010,200942004,308707010,M1546,M154600,Lupus erythematosus unguium mutilans
Systemic connective tissue disorders,308709013,200936003,308697013,M154z,M154z00,Lupus erythematosus NOS
Systemic connective tissue disorders,308709013,200936003,308697013,^ESCTLU480560,,Lupus erythematosus NOS
Systemic connective tissue disorders,308709013,200936003,308697013,M154,M154.00,Lupus erythematosus NOS
Systemic connective tissue disorders,308709013,200936003,308697013,^ESCTLE480559,,Lupus erythematosus NOS
Systemic connective tissue disorders,309383019,7119001,12747019,Myu78,Myu7800,Cutaneous lupus erythematosus
Systemic connective tissue disorders,92208011,55464009,92208011,N000z,N000z00,Systemic lupus erythematosus
Systemic connective tissue disorders,92208011,55464009,92208011,Nyu43,Nyu4300,Systemic lupus erythematosus
Systemic connective tissue disorders,92208011,55464009,92208011,^ESCTSL340060,,Systemic lupus erythematosus
Systemic connective tissue disorders,92208011,55464009,92208011,N0000,N000000,Systemic lupus erythematosus
