Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Tuberculosis,7551011,4445009,1230097015,A16,A16..00,Tuberculosis of genitourinary system
Tuberculosis,303573012,39621005,66448010,J65,J65..00,Other gallbladder disorders
Tuberculosis,286297010,56717001,94320019,A17,A17..00,Tuberculosis of other organs
Tuberculosis,1494889019,17653001,1494889019,A15,A15..00,Tuberculosis of bones and joints
Tuberculosis,679381000006111,189361002,290904010,B90,B90..00,Neop uncertain behaviour of digestive and respiratory system
Tuberculosis,79348014,47604008,79348014,A18,A18..00,Miliary tuberculosis
Tuberculosis,281631019,182159002,281631019,A19,A19..00,Disseminated tuberculosis
Tuberculosis,24141013,14188007,476139013,A151,A151.00,Tuberculosis of hip
Tuberculosis,286294015,74181004,123189010,A167,A167.00,Tuberculosis of other female genital organs
Tuberculosis,40681016,24235005,40681016,A1202,A120200,Tuberculous hydrothorax
Tuberculosis,286239011,186195008,286239011,A1242,A124200,"Tuberculosis of lung, confirmed histologically"
Tuberculosis,286270015,186225008,286270015,A14,A14..00,"Tuberculosis of intestines, peritoneum and mesenteric glands"
Tuberculosis,89021000006112,82796002,137345013,A1702,A170200,Tuberculosis - scrofuloderma
Tuberculosis,311912015,203263006,311912015,N3040,N304000,Tuberculosis of cervical spine
Tuberculosis,451125010,161414005,251538012,ZV12A,ZV12A00,[V] Personal history of pulmonary tuberculosis
Tuberculosis,82541000006118,35984006,60049017,N304-1,N304.11,Tuberculosis of spine
Tuberculosis,89121000006113,15284007,195678010,A178,A178.00,Tuberculosis oesophagus
Tuberculosis,311927015,203278004,311927015,N3061,N306100,Tuberculosis of the bones of the shoulder region
Tuberculosis,286223016,154283005,239551014,A12,A12..00,Other respiratory tuberculosis
Tuberculosis,1140001000000117,473151000,2956178010,14P9,14P9.00,History of tuberculosis drug therapy
Tuberculosis,175131000006112,186192006,286236016,A124,A124.00,Resp TB bacteriologically and histologically confirmed
Tuberculosis,18908019,10893003,18908019,A1722,A172200,Tuberculous adenitis
