Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Visual disturbances and blindness,855291000006110,855291000006106,855291000006110,,,Blind (subjectively)
Visual disturbances and blindness,1963661000006119,1963661000006103,1963661000006119,,,Disability code - Sight
Visual disturbances and blindness,7973691000006117,2531000000100,17781000000113,,,England and Wales partially sighted certification
Visual disturbances and blindness,1583901000006115,1583901000006104,1583901000006115,,,Ineligibility for diab. eye screen: Blind (screening contraind)
Visual disturbances and blindness,856171000006114,856171000006105,856171000006114,,,Partially sighted (subjectively)
Visual disturbances and blindness,982291000006118,982291000006102,982291000006118,,,Sight impairment
Visual disturbances and blindness,857631000006118,857631000006102,857631000006118,,,Vision - blind despite any aid
Visual disturbances and blindness,2627081000006116,7973008,2164155010,,,sight impaired
Visual disturbances and blindness,12731791000006116,566991000000106,1260591000000113,,,visual loss nos
Visual disturbances and blindness,734661000006116,240311000000103,390341000000115,1B75.00,1B75.00,Loss of vision
Visual disturbances and blindness,255275013,163946009,255275013,2B6A.11,2B6A.11,O/E - blind R-eye
Visual disturbances and blindness,255276014,163946009,255276014,2B6B.00,2B6B.00,O/E - R-eye completely blind
Visual disturbances and blindness,2163962013,408322003,2163962013,2B6S.00,2B6S.00,O/E - pinhole R-eye completely blind
Visual disturbances and blindness,255292016,163960006,255292016,2B7A.11,2B7A.11,O/E - blind L-eye
Visual disturbances and blindness,255293014,163960006,255293014,2B7B.00,2B7B.00,O/E - L-eye completely blind
Visual disturbances and blindness,2163958019,408318008,2163958019,2B7S.00,2B7S.00,O/E - pinhole L-eye completely blind
Visual disturbances and blindness,2549896013,417677008,2549896013,2BBo.00,2BBo.00,O/E - sight threatening diabetic retinopathy
Visual disturbances and blindness,733161000000116,373041000000101,733161000000116,2BBr.00,2BBr.00,Impaired vision due to diabetic retinopathy
Visual disturbances and blindness,442202014,300994001,442202014,6688,6688.00,Registered partially sighted
Visual disturbances and blindness,17791000000110,2531000000100,17791000000110,6688.11,6688.11,Registered partially blind
Visual disturbances and blindness,264661019,170727003,264661019,6689,6689.00,Registered blind
Visual disturbances and blindness,1564221000000111,170727003,1564221000000111,6689.11,6689.11,Registered severely sight impaired
Visual disturbances and blindness,1563201000000117,713031000000100,1563201000000117,668D.00,668D.00,Registered sight impaired
Visual disturbances and blindness,515731000006113,183361009,283416014,8F6..11,8F6..11,Blind rehabilitation
Visual disturbances and blindness,283416014,183361009,283416014,8F61.00,8F61.00,Blind rehabilitation
Visual disturbances and blindness,515711000006119,29960003,484447014,8F62.00,8F62.00,Blind lead dog rehabilitation
Visual disturbances and blindness,1779881000000115,796201000000109,1779881000000115,9NfB.00,9NfB.00,Requires deafblind communicator guide
Visual disturbances and blindness,746431000000113,378931000000102,746431000000113,9NlD.00,9NlD.00,Seen by visual impairment teacher
Visual disturbances and blindness,736911000000111,374691000000100,736911000000111,9m08.00,9m08.00,Excluded from diabetic retinopathy screening as blind
Visual disturbances and blindness,493267010,4229009,493267010,F404100,F404100,Blind hypotensive eye
Visual disturbances and blindness,1529013,264008,1529013,F404200,F404200,Blind hypertensive eye
Visual disturbances and blindness,515791000006112,397540003,3011990016,F49..00,F49..00,Blindness and low vision
Visual disturbances and blindness,14191011,397540003,3011990016,F49..11,F49..11,Impaired vision
Visual disturbances and blindness,2164158012,7973008,2164158012,F49..13,F49..13,Partial sight
Visual disturbances and blindness,2164155010,397540003,3011990016,F49..14,F49..14,Sight impaired
Visual disturbances and blindness,515811000006111,193699007,298251016,F490.00,F490.00,"Blindness, both eyes"
Visual disturbances and blindness,298252011,193699007,298251016,F490000,F490000,Unspecified blindness both eyes
Visual disturbances and blindness,2619503012,193699007,2619503012,F490100,F490100,Both eyes total visual impairment
Visual disturbances and blindness,510281000006111,193699007,298251016,F490200,F490200,"Better eye: near total VI, Lesser eye: unspecified"
Visual disturbances and blindness,510261000006118,193704004,298256014,F490400,F490400,"Better eye: near total VI, Lesser eye: near total VI"
Visual disturbances and blindness,510311000006113,13734003,23430013,F490600,F490600,"Better eye: profound VI, Lesser eye: total VI"
Visual disturbances and blindness,456798010,193709009,3670145014,F490900,F490900,"Acquired blindness, both eyes"
Visual disturbances and blindness,298262016,193699007,298251016,F490z00,F490z00,Blindness both eyes NOS
Visual disturbances and blindness,510181000006115,193711000,298263014,F491.00,F491.00,"Better eye: low vision, Lesser eye: profound VI"
Visual disturbances and blindness,298264015,193712007,298264015,F491000,F491000,"One eye blind, one eye low vision"
Visual disturbances and blindness,510331000006119,193711000,298263014,F491100,F491100,"Better eye: severe VI, Lesser eye: blind, unspecified"
Visual disturbances and blindness,510351000006114,1909000,4295011,F491300,F491300,"Better eye: severe VI, Lesser eye: near total VI"
Visual disturbances and blindness,510361000006111,193716005,298271013,F491400,F491400,"Better eye: severe VI, Lesser eye: profound VI"
Visual disturbances and blindness,510191000006117,193711000,298263014,F491500,F491500,"Better eye: moderate VI, Lesser eye: blind, unspecified"
Visual disturbances and blindness,510221000006112,193719003,298274017,F491700,F491700,"Better eye: moderate VI, Lesser eye: near total VI"
Visual disturbances and blindness,298276015,193711000,298263014,F491z00,F491z00,"One eye blind, one eye low vision NOS"
Visual disturbances and blindness,298277012,193722001,298277012,F492.00,F492.00,"Low vision, both eyes"
Visual disturbances and blindness,298278019,193722001,298277012,F492000,F492000,"Low vision, both eyes unspecified"
Visual disturbances and blindness,510371000006116,193725004,298280013,F492200,F492200,"Better eye: severe VI, Lesser eye: severe VI"
Visual disturbances and blindness,510201000006119,193722001,298277012,F492300,F492300,"Better eye: moderate VI, Lesser eye: low vision unspecified"
Visual disturbances and blindness,510241000006117,193727007,298282017,F492400,F492400,"Better eye: moderate VI, Lesser eye: severe VI"
Visual disturbances and blindness,510211000006116,193728002,298283010,F492500,F492500,"Better eye: moderate VI, Lesser eye: moderate VI"
Visual disturbances and blindness,298284016,193722001,298277012,F492z00,F492z00,"Low vision, both eyes NOS"
Visual disturbances and blindness,298285015,267727004,399719011,F493.00,F493.00,"Visual loss, both eyes unqualified"
Visual disturbances and blindness,298286019,193731001,298286019,F494.00,F494.00,Legal blindness USA
Visual disturbances and blindness,298287011,193732008,298287011,F495.00,F495.00,"Profound impairment, one eye"
Visual disturbances and blindness,298288018,22950006,38553019,F495000,F495000,"Blindness, one eye, unspecified"
Visual disturbances and blindness,298289014,193732008,298287011,F495100,F495100,"Lesser eye: total visual impairment, Better eye: unspecified"
Visual disturbances and blindness,747421000006119,193735005,298290017,F495200,F495200,"Lesser eye: total VI, Better eye: near normal vision"
Visual disturbances and blindness,747431000006116,193736006,298291018,F495300,F495300,"Lesser eye: total VI, Better eye: normal vision"
Visual disturbances and blindness,747351000006116,193732008,298287011,F495400,F495400,"Lesser eye: near total VI, Better eye: unspecified"
Visual disturbances and blindness,747341000006118,193738007,298293015,F495500,F495500,"Lesser eye: near total VI, Better eye: near normal vision"
Visual disturbances and blindness,734951000006114,111519001,2618966018,F495600,F495600,"Lesser eye: near total VI, Better eye: normal vision"
Visual disturbances and blindness,747361000006119,193741003,298296011,F495800,F495800,"Lesser eye: profound VI, Better eye: near normal vision"
Visual disturbances and blindness,456799019,22950006,38553019,F495A00,F495A00,"Acquired blindness, one eye"
Visual disturbances and blindness,298299016,193732008,298287011,F495z00,F495z00,Profound impairment one eye NOS
Visual disturbances and blindness,298300012,193745007,298300012,F496.00,F496.00,"Low vision, one eye"
Visual disturbances and blindness,298301011,193745007,298300012,F496000,F496000,"Low vision, one eye, unspecified"
Visual disturbances and blindness,747411000006110,193745007,298300012,F496100,F496100,"Lesser eye: severe VI, Better eye: unspecified"
Visual disturbances and blindness,747391000006110,193748009,298303014,F496200,F496200,"Lesser eye: severe VI, Better eye: near normal vision"
Visual disturbances and blindness,747401000006112,193749001,298304015,F496300,F496300,"Lesser eye: severe VI, Better eye: normal vision"
Visual disturbances and blindness,747331000006111,193745007,298300012,F496400,F496400,"Lesser eye: moderate VI, Better eye: unspecified"
Visual disturbances and blindness,747311000006117,193751002,298306018,F496500,F496500,"Lesser eye: moderate VI, Better eye: near normal vision"
Visual disturbances and blindness,747321000006113,16169003,27365013,F496600,F496600,"Lesser eye: moderate VI, Better eye: normal vision"
Visual disturbances and blindness,298308017,193745007,298300012,F496z00,F496z00,"Low vision, one eye NOS"
Visual disturbances and blindness,2168181000000116,813871000000108,2168181000000116,F497.00,F497.00,"Severe visual impairment, binocular"
Visual disturbances and blindness,2168201000000116,813891000000107,2168201000000116,F498.00,,"Moderate visual impairment, binocular"
Visual disturbances and blindness,1816031000006118,815051000000106,2124351000000112,F499.00,F499.00,"Mild or no visual impairment, binocular"
Visual disturbances and blindness,1816041000006111,22950006,38553019,F49A.00,,"Blindness, monocular"
Visual disturbances and blindness,2168191000000119,813881000000105,2168191000000119,F49B.00,,"Severe visual impairment, monocular"
Visual disturbances and blindness,2168211000000115,813901000000108,2168211000000115,F49C.00,,"Moderate visual impairment, monocular"
Visual disturbances and blindness,298309013,267728009,399720017,F49y.00,F49y.00,"Visual loss, one eye, unqualified"
Visual disturbances and blindness,399455016,240311000000103,390341000000115,F49z.00,F49z.00,Visual loss NOS
Visual disturbances and blindness,347842017,105597003,169718011,F49z.11,F49z.11,Acquired blindness
