Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
polyneuropathies,883141000006119,193125009,883141000006119,,F34..99,Mononeuritis - upper limb
polyneuropathies,891791000006110,667651000000100,891791000006110,,N242.93,Neuralgia/neurit.-pelvis/thigh
polyneuropathies,891861000006112,16269008,891861000006112,,N242z99,Neuralgia/neuritis - NOS
polyneuropathies,891811000006114,667651000000100,891811000006114,,N242.95,Neuralgia/neuritis - fore arm
polyneuropathies,891801000006111,667651000000100,891801000006111,,N242.94,Neuralgia/neuritis - hand
polyneuropathies,891781000006112,667651000000100,891781000006112,,N242.92,Neuralgia/neuritis - lower leg
polyneuropathies,891831000006115,667651000000100,891831000006115,,N242.97,Neuralgia/neuritis - shoulder
polyneuropathies,891821000006118,667651000000100,891821000006118,,N242.96,Neuralgia/neuritis - upper arm
polyneuropathies,891771000006114,667651000000100,891771000006114,,N242.91,Neuralgia/neuritis -ankle/foot
polyneuropathies,891851000006110,667651000000100,891851000006110,,N242.99,Neuralgia/neuritis NOS
polyneuropathies,883151000006117,620651000000108,883151000006117,,F35x.99,Other mononeuritis -lower limb
polyneuropathies,2533651000006115,2177002,1222663014,,,PHN - Post-herpetic neuralgia
polyneuropathies,5008921000006119,230507009,345410015,,,Retrobulbar neuritis
polyneuropathies,883541000006113,66760008,883541000006113,,F4H3.99,Retrobulbar neuritis
polyneuropathies,905761000006111,905761000006107,905761000006111,,,[RFC] Neuralgia
polyneuropathies,2626141000006112,7916009,14103017,,,alcoholic polyneuropathy
polyneuropathies,1672021000006115,1672021000006104,1672021000006115,,,axonal sensorimotor neuropathy
polyneuropathies,913981000006115,201724008,309740011,,C10EJ12,insulin dependent diab mell with neuropathic arthropathy
polyneuropathies,913771000006115,230577008,345492010,,C10EB12,insulin dependent diabetes mellitus with mononeuropathy
polyneuropathies,11925181000006112,397751001,712521000006112,,,median nerve lesions nos
polyneuropathies,12717011000006112,193125009,297470010,,,mononeuritis of upper limb and mononeuritis multiplex
polyneuropathies,2984161000006113,30085007,2984161000006113,,,morton's metatarsalgia
polyneuropathies,1724321000006115,1724321000006104,1724321000006115,,,neuropathic foot ulcer
polyneuropathies,12730151000006120,620651000000108,1370521000000114,,,other mononeuritis lower limb
polyneuropathies,12719611000006112,587991000000106,1304141000000110,,,peripheral nervous system disorder nos
polyneuropathies,3743811000006112,76462000,2920407018,,,postherpetic polyneuropathy
polyneuropathies,84351000006117,420918009,2618199015,,C108B12,type 1 diabetes mellitus with mononeuropathy
polyneuropathies,84421000006115,713705003,3297342019,,C108C12,type 1 diabetes mellitus with polyneuropathy
polyneuropathies,84531000006118,420436000,2618201018,,C109A12,type 2 diabetes mellitus with mononeuropathy
polyneuropathies,913791000006119,420918009,3697664014,,C10EB11,type i diabetes mellitus with mononeuropathy
polyneuropathies,459295013,71771000119100,3010513018,,C10EJ11,type i diabetes mellitus with neuropathic arthropathy
polyneuropathies,84791000006110,713705003,3297390014,,C108C11,type i diabetes mellitus with polyneuropathy
polyneuropathies,211231000006113,76462000,126981019,A531300,A531300,Postherpetic polyneuropathy
polyneuropathies,52697011,31524007,52697011,A72x100,A72x100,Mumps polyneuropathy
polyneuropathies,345487013,230572002,345487013,C106.12,C106.12,Diabetes mellitus with neuropathy
polyneuropathies,616451000006110,49455004,82373015,C106.13,C106.13,Diabetes mellitus with polyneuropathy
polyneuropathies,771371000006118,230577008,345492010,C108B00,C108B00,Insulin dependent diabetes mellitus with mononeuropathy
polyneuropathies,84721000006113,420918009,3697664014,C108B11,C108B11,Type I diabetes mellitus with mononeuropathy
polyneuropathies,771401000006115,49455004,82373015,C108C00,C108C00,Insulin dependent diabetes mellitus with polyneuropathy
polyneuropathies,772131000006111,201724008,309740011,C108J00,C108J00,Insulin dependent diab mell with neuropathic arthropathy
polyneuropathies,84761000006119,71771000119100,3010513018,C108J11,C108J11,Type I diabetes mellitus with neuropathic arthropathy
polyneuropathies,84391000006111,71771000119100,3010513018,C108J12,C108J12,Type 1 diabetes mellitus with neuropathic arthropathy
polyneuropathies,280521000006117,420436000,3697667019,C109A00,C109A00,Non-insulin dependent diabetes mellitus with mononeuropathy
polyneuropathies,84901000006117,420436000,3697667019,C109A11,C109A11,Type II diabetes mellitus with mononeuropathy
polyneuropathies,280541000006112,713706002,3297353013,C109B00,C109B00,Non-insulin dependent diabetes mellitus with polyneuropathy
polyneuropathies,84971000006111,713706002,3297353013,C109B11,C109B11,Type II diabetes mellitus with polyneuropathy
polyneuropathies,84601000006110,713706002,3297353013,C109B12,C109B12,Type 2 diabetes mellitus with polyneuropathy
polyneuropathies,281181000006116,314904008,459314010,C109H00,C109H00,Non-insulin dependent d m with neuropathic arthropathy
polyneuropathies,84941000006115,314904008,459312014,C109H11,C109H11,Type II diabetes mellitus with neuropathic arthropathy
polyneuropathies,84571000006115,314904008,459313016,C109H12,C109H12,Type 2 diabetes mellitus with neuropathic arthropathy
polyneuropathies,913781000006117,420918009,2618199015,C10EB00,C10EB00,Type 1 diabetes mellitus with mononeuropathy
polyneuropathies,913811000006115,713705003,3297342019,C10EC00,C10EC00,Type 1 diabetes mellitus with polyneuropathy
polyneuropathies,913821000006111,713705003,3297390014,C10EC11,C10EC11,Type I diabetes mellitus with polyneuropathy
polyneuropathies,913801000006118,49455004,82373015,C10EC12,C10EC12,Insulin dependent diabetes mellitus with polyneuropathy
polyneuropathies,459296014,71771000119100,3010513018,C10EJ00,C10EJ00,Type 1 diabetes mellitus with neuropathic arthropathy
polyneuropathies,914221000006113,420436000,2618201018,C10FA00,C10FA00,Type 2 diabetes mellitus with mononeuropathy
polyneuropathies,914231000006111,420436000,3697667019,C10FA11,C10FA11,Type II diabetes mellitus with mononeuropathy
polyneuropathies,914241000006118,713706002,3297353013,C10FB00,C10FB00,Type 2 diabetes mellitus with polyneuropathy
polyneuropathies,914251000006116,713706002,3297353013,C10FB11,C10FB11,Type II diabetes mellitus with polyneuropathy
polyneuropathies,459313016,314904008,459313016,C10FH00,C10FH00,Type 2 diabetes mellitus with neuropathic arthropathy
polyneuropathies,459312014,314904008,459312014,C10FH11,C10FH11,Type II diabetes mellitus with neuropathic arthropathy
polyneuropathies,16455010,9386003,16455010,C34y400,C34y400,Gouty neuritis
polyneuropathies,294662017,191471000,294662017,E011100,E011100,Korsakov's alcoholic psychosis with peripheral neuritis
polyneuropathies,297470010,193125009,297470010,F34..00,F34..00,Mononeuritis of upper limb and mononeuritis multiplex
polyneuropathies,297475017,397751001,1777362011,F341.00,F341.00,Other median nerve lesions
polyneuropathies,29902012,17689009,29902012,F341000,F341000,Median nerve neuritis
polyneuropathies,297477013,193129003,297477013,F341100,F341100,Median nerve compression in forearm
polyneuropathies,297479011,397751001,1777362011,F341z00,F341z00,Median nerve lesions NOS
polyneuropathies,399414019,367475009,492283017,F342.00,F342.00,Ulnar nerve lesions
polyneuropathies,345456011,95675005,158497012,F342.11,F342.11,Neuritis ulnar nerve
polyneuropathies,93418010,56177003,93418010,F342000,F342000,Cubital tunnel syndrome
polyneuropathies,97213016,58497009,97213016,F342100,F342100,Tardy ulnar nerve palsy
polyneuropathies,297485016,193134004,297485016,F342200,F342200,Canal of Guyon compression
polyneuropathies,413630015,277188003,413630015,F342300,F342300,Ulnar nerve entrapment
polyneuropathies,475273015,359837005,475273015,F342400,F342400,Ulnar neuropathy
polyneuropathies,297487012,367475009,492283017,F342z00,F342z00,Ulnar nerve lesion NOS
polyneuropathies,297488019,193137006,297488019,F343.00,F343.00,Radial nerve lesions
polyneuropathies,297489010,193138001,297489010,F343100,F343100,Sensory branch of radial nerve lesion
polyneuropathies,297490018,193139009,297490018,F343200,F343200,Posterior interosseous nerve lesion
polyneuropathies,297491019,193137006,297488019,F343z00,F343z00,Radial nerve lesion NOS
polyneuropathies,2536776010,408751001,2536776010,F344.00,F344.00,Causalgia
polyneuropathies,50702011,30292005,50702011,F345.00,F345.00,Mononeuritis multiplex
polyneuropathies,297492014,193141005,297492014,F345000,F345000,Diabetic mononeuritis multiplex
polyneuropathies,368388010,246611002,368388010,F346.00,F346.00,Median nerve entrapment
polyneuropathies,297493016,297945000,438534013,F34y.00,F34y.00,Other upper limb mononeuritis
polyneuropathies,297494010,609591000,2967951017,F34z.00,F34z.00,Mononeuritis upper limb NOS
polyneuropathies,698001000006119,609592007,2967939019,F35..00,F35..00,Mononeuritis lower limb
polyneuropathies,490703010,367137004,490703010,F350.00,F350.00,Sciatic nerve lesion
polyneuropathies,140945016,85007004,140945016,F351.00,F351.00,Meralgia paraesthetica
polyneuropathies,483022012,25690000,483022012,F352.00,F352.00,Femoral nerve lesions
polyneuropathies,1778567016,399107008,1778567016,F353.00,F353.00,Common peroneal nerve lesion
polyneuropathies,1786691018,399107008,1786691018,F353.11,F353.11,Lateral popliteal nerve lesion
polyneuropathies,1778686017,399233006,1778686017,F354.00,F354.00,Tibial nerve lesion
polyneuropathies,712431000006111,399233006,1778686017,F354.11,F354.11,Medial popliteal nerve lesion
polyneuropathies,78977014,47374004,78977014,F355.00,F355.00,Tarsal tunnel syndrome
polyneuropathies,297500014,193148004,297500014,F356.00,F356.00,Plantar nerve lesion
polyneuropathies,50335015,30085007,484476012,F356000,F356000,Morton's metatarsalgia
polyneuropathies,50336019,30085007,50336019,F356100,F356100,Morton's neuralgia
polyneuropathies,297503011,193148004,297500014,F356z00,F356z00,Plantar nerve lesion NOS
polyneuropathies,474333019,128194008,474333019,F357.00,F357.00,Superficial peroneal nerve lesion
polyneuropathies,297504017,193152004,297504017,F358.00,F358.00,Deep peroneal nerve lesion
polyneuropathies,297505016,609592007,2967939019,F35x.00,F35x.00,Other mononeuritis lower limb
polyneuropathies,297506015,609592007,2967939019,F35y.00,F35y.00,Unspecified mononeuritis lower limb
polyneuropathies,399415018,128189008,206412019,F35z.00,F35z.00,Mononeuritis of unspecified site NOS
polyneuropathies,297510017,193141005,297492014,F35z000,F35z000,Diabetic mononeuritis NOS
polyneuropathies,187824013,111499002,187824013,F360000,F360000,Dejerine-Sottas disease
polyneuropathies,84200019,398100001,1777664015,F361.00,F361.00,Peroneal muscular atrophy
polyneuropathies,84201015,398100001,3007425011,F361000,F361000,Charcot-Marie-Tooth disease
polyneuropathies,545421000006111,398100001,1777664015,F361011,F361011,Charcot's atrophy
polyneuropathies,1846861000006111,398100001,1777664015,F361012,,Charcot-Marie-Tooth syndrome
polyneuropathies,297522019,398100001,1777664015,F361z00,F361z00,Peroneal muscular atrophy NOS
polyneuropathies,42524012,25362006,42524012,F363.00,F363.00,Refsum's disease
polyneuropathies,55426011,33209009,55426011,F364.00,F364.00,Idiopathic progressive polyneuropathy
polyneuropathies,70659018,42345000,70659018,F366.00,F366.00,Polyneuropathy
polyneuropathies,71168014,302226006,2870944013,F367.00,F367.00,Peripheral neuropathy
polyneuropathies,297528015,22722001,38139010,F36y.00,F36y.00,Other idiopathic peripheral neuropathy
polyneuropathies,297530018,22722001,38139010,F36yz00,F36yz00,Other idiopathic peripheral neuropathy NOS
