ICD-10,MLTC Condition,Inflammatory Condition,Code
A15-A19,Tuberculosis,Y,TBC
A69,Other spirochaetal infections,Y,SPI
B18-B19,Chronic viral hepatitis,Y,HEP
B20-B24,HIV disease,N,HIV
"C00-C80, C97, D37-D44, D47, D48",Malignant neoplasms,N,NEO
C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",N,LYH
D00-D09,In situ neoplasms,N,ISN
D50,Iron deficiency anaemia,N,IDA
E00-E07,Disorders of thryoid gland,N,THY
E10-E14,Diabetes,N,DBT
E20,Hypoparathyroidism,N,HPO
E21,Hyperparathyroidism,N,HPR
E27,Addison's disease,N,ADI
F00-F03,Dementia,N,DEM
F10-F19,Drug or alcohol misuse,N,SUB
F20-F29,Schizophrenia,N,SCZ
F30-F39,Mood disorders,N,MOD
F40-F48,"Neurotic, stress-related and somatoform disorders",N,NRS
F50,Eating disorders,N,EAT
G20-G21,Parkinson disease,N,PKN
"G35, H46",Multiple sclerosis (and optic neuritis),Y,MSN
"G40, F80.3",Epilepsy,N,EPI
G43,Migraine,N,MIG
G47,Sleep disorders,N,SLP
G61-G64,Polyneuropathies and other disorders of the peripheral nervous system,N,PNS
H25,Cataract,N,CAT
H33,Retinal detachments and breaks ,N,RTD
H35,Other reintal disorders (Macular degeneration),N,MAC
H40-H42,Glaucoma,N,GLA
H53-H54,Visual disturbances and blindness,N,VIS
H81.0,Meniere disease,N,MEN
H90-H91,Conductive and sensorineural hearing loss,N,HRL
I05-I09,Chronic rheumatic heart diseases,Y,RHD
I10-I15,Hypertensive diseases,N,HTN
I20-I25,Ischaemic heart diseases,N,IHD
I30-I52,Other forms of heart disease,N,OHD
I60-I69,CVD,N,CVD
I70-I79,"Disease of arteries, arterioles and capilleries",N,ART
I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",N,VEN
J30-J32,Rhinitis and Sinusitis,Y,RNS
J40-J47,Chronic lower respiratory diseases,Y,CRD
J84,Other interstitial pulmonary diseases,Y,ILD
"K21, K27, K29 ","Diseases of oesophagus, stomach and duodenum",N,OGD
K50-K52,Noninfective enteritis and colitis,Y,COL
K57,Diverticular disease of the intestine,Y,DIV
K58,Irritable Bowel Sydrome,N,IBS
K70-K77,Diseases of the liver,N,LIV
K80-K87,"Disorders of gallbladder, biliary tract and pancreas",N,BIL
L20-L30,Dermatitis and eczema,Y,ECZ
L40,Psoriasis,Y,PSO
M05-M14,Inflammatory polyarthropathies,Y,IAR
M15-M19,Osteoarthritis,N,OST
M30-M36,Systemic connective tissue disorders,Y,CTD
M45,Ankylosing spondylitis,Y,ANK
"M47, M51",Spinal degenerative disease,N,SPD
M80-M85,Disorders of bone density and structure,N,BON
N18-N19,Chronic kidney disease,N,CKD
N40-N42,Disorders of the prostate,N,PRS
N70-N77,Inflammatory diseases of the female pelvic organs,Y,PID
N80,Endometriosis,Y,END
