Condition,MedCodeId,Term
Addison's disease,266381013.0,Bilateral adrenalectomy and transposition of adrenal tissue
Addison's disease,266382018.0,Bilateral adrenalectomy NEC
Addison's disease,1491626013.0,Corticoadrenal insufficiency
Addison's disease,485624014.0,Addison's disease
Addison's disease,398809019.0,Corticoadrenal insufficiency NOS
Addison's disease,178805019.0,Adrenal hypofunction
Addison's disease,356317017.0,Adrenal insufficiency NEC
Addison's disease,292837019.0,Other adrenal hypofunction
Addison's disease,292838012.0,Other adrenal hypofunction NOS
Addison's disease,682621000006119.0,Myopathy due to Addison's disease
